# k,abs_F_direct,abs_F_parallel,abs_error
8.80000000e+01,3.09670277e+01,3.09670277e+01,1.06581410e-14
8.90000000e+01,4.30251845e+01,4.30251845e+01,7.10542736e-15
9.00000000e+01,1.15991474e+01,1.15991474e+01,5.32907052e-15
9.10000000e+01,4.60669198e+00,4.60669198e+00,7.16072335e-15
9.20000000e+01,2.71756108e+01,2.71756108e+01,1.00485917e-14
9.30000000e+01,1.05574454e+01,1.05574454e+01,3.20237283e-15
9.40000000e+01,3.01165436e+01,3.01165436e+01,1.74950859e-14
9.50000000e+01,1.52874355e+01,1.52874355e+01,3.55271368e-15
9.60000000e+01,1.34318202e+01,1.34318202e+01,5.32907052e-15
9.70000000e+01,1.55953056e+01,1.55953056e+01,0.00000000e+00
9.80000000e+01,4.45962862e+01,4.45962862e+01,0.00000000e+00
9.90000000e+01,1.13197950e+01,1.13197950e+01,2.51214793e-15
1.00000000e+02,1.84316721e+01,1.84316721e+01,6.40474567e-15
1.01000000e+02,3.37719460e+01,3.37719460e+01,3.55271368e-15
1.02000000e+02,1.47119090e+01,1.47119090e+01,3.55271368e-15
1.03000000e+02,2.35810359e+01,2.35810359e+01,8.62265274e-15
1.04000000e+02,2.00177327e+01,2.00177327e+01,3.66205344e-15
1.05000000e+02,8.84008382e+00,8.84008382e+00,4.78298717e-15
1.06000000e+02,2.06668171e+01,2.06668171e+01,7.10542736e-15
1.07000000e+02,1.34217757e+01,1.34217757e+01,5.02429587e-15
1.08000000e+02,2.19301659e+01,2.19301659e+01,1.13742335e-14
1.09000000e+02,1.87515035e+01,1.87515035e+01,6.40474567e-15
1.10000000e+02,3.58684206e+01,3.58684206e+01,8.88178420e-15
1.11000000e+02,3.15551284e+01,3.15551284e+01,1.06581410e-14
1.12000000e+02,1.39229134e+01,1.39229134e+01,0.00000000e+00
1.13000000e+02,3.78787724e+01,3.78787724e+01,5.32907052e-15
1.14000000e+02,7.76643607e+00,7.76643607e+00,5.61733355e-15
1.15000000e+02,3.42542359e+01,3.42542359e+01,3.55271368e-15
1.16000000e+02,3.49433403e+01,3.49433403e+01,7.11929162e-15
1.17000000e+02,1.64702676e+01,1.64702676e+01,7.10542736e-15
1.18000000e+02,6.01970859e+00,6.01970859e+00,4.44089210e-15
1.19000000e+02,4.93819544e+00,4.93819544e+00,3.97205465e-15
1.20000000e+02,2.35071941e+01,2.35071941e+01,5.02429587e-15
1.21000000e+02,2.05233072e+01,2.05233072e+01,9.56597434e-15
1.22000000e+02,1.25982937e+01,1.25982937e+01,1.06581410e-14
1.23000000e+02,2.01597378e+01,2.01597378e+01,1.13742335e-14
