# K,N,T1_sec,T2_sec,T4_sec,SU_P2,SU_P4
6.00000000e+00,4.09600000e+03,4.95000000e+01,2.95000000e+01,1.95000000e+01,1.67796610e+00,2.53846154e+00
7.00000000e+00,1.63840000e+04,5.15000000e+01,3.05000000e+01,1.85000000e+01,1.68852459e+00,2.78378378e+00
8.00000000e+00,6.55360000e+04,6.55000000e+01,3.35000000e+01,1.95000000e+01,1.95522388e+00,3.35897436e+00
9.00000000e+00,2.62144000e+05,9.75000000e+01,6.10000000e+01,3.45000000e+01,1.59836066e+00,2.82608696e+00
