# K,N,SU_shared_P2,SU_shared_P4,SU_MPI_P2,SU_MPI_P4
6.45728643e+00,7.72100464e+03,3.81002787e+00,7.63242169e+00,3.71018865e+00,7.42271951e+00
6.48241206e+00,7.99467749e+03,3.81051324e+00,7.63356437e+00,3.71118986e+00,7.42475513e+00
6.50753769e+00,8.27805074e+03,3.81099119e+00,7.63469476e+00,3.71218315e+00,7.42677541e+00
6.53266332e+00,8.57146823e+03,3.81146175e+00,7.63581294e+00,3.71316860e+00,7.42878051e+00
6.55778894e+00,8.87528597e+03,3.81192493e+00,7.63691897e+00,3.71414628e+00,7.43077058e+00
6.58291457e+00,9.18987260e+03,3.81238074e+00,7.63801292e+00,3.71511625e+00,7.43274577e+00
6.60804020e+00,9.51560983e+03,3.81282919e+00,7.63909485e+00,3.71607859e+00,7.43470621e+00
6.63316583e+00,9.85289289e+03,3.81327030e+00,7.64016482e+00,3.71703336e+00,7.43665205e+00
6.65829146e+00,1.02021310e+04,3.81370407e+00,7.64122288e+00,3.71798063e+00,7.43858343e+00
6.68341709e+00,1.05637480e+04,3.81413051e+00,7.64226909e+00,3.71892046e+00,7.44050048e+00
6.70854271e+00,1.09381826e+04,3.81454962e+00,7.64330351e+00,3.71985292e+00,7.44240335e+00
6.73366834e+00,1.13258891e+04,3.81496141e+00,7.64432618e+00,3.72077807e+00,7.44429217e+00
6.75879397e+00,1.17273379e+04,3.81536588e+00,7.64533716e+00,3.72169597e+00,7.44616707e+00
6.78391960e+00,1.21430162e+04,3.81576304e+00,7.64633649e+00,3.72260667e+00,7.44802817e+00
6.80904523e+00,1.25734283e+04,3.81615287e+00,7.64732422e+00,3.72351025e+00,7.44987560e+00
6.83417085e+00,1.30190965e+04,3.81653539e+00,7.64830039e+00,3.72440675e+00,7.45170950e+00
6.85929648e+00,1.34805615e+04,3.81691059e+00,7.64926505e+00,3.72529624e+00,7.45352997e+00
6.88442211e+00,1.39583832e+04,3.81727846e+00,7.65021822e+00,3.72617877e+00,7.45533715e+00
6.90954774e+00,1.44531414e+04,3.81763900e+00,7.65115995e+00,3.72705439e+00,7.45713115e+00
6.93467337e+00,1.49654365e+04,3.81799221e+00,7.65209028e+00,3.72792316e+00,7.45891210e+00
6.95979899e+00,1.54958899e+04,3.81833808e+00,7.65300924e+00,3.72878513e+00,7.46068009e+00
6.98492462e+00,1.60451454e+04,3.81867659e+00,7.65391685e+00,3.72964035e+00,7.46243526e+00
7.01005025e+00,1.66138694e+04,3.81900773e+00,7.65481315e+00,3.73048888e+00,7.46417771e+00
7.03517588e+00,1.72027520e+04,3.81933151e+00,7.65569817e+00,3.73133077e+00,7.46590755e+00
7.06030151e+00,1.78125077e+04,3.81964789e+00,7.65657193e+00,3.73216605e+00,7.46762488e+00
7.08542714e+00,1.84438763e+04,3.81995687e+00,7.65743446e+00,3.73299479e+00,7.46932983e+00
7.11055276e+00,1.90976239e+04,3.82025844e+00,7.65828578e+00,3.73381702e+00,7.47102248e+00
7.13567839e+00,1.97745437e+04,3.82055256e+00,7.65912590e+00,3.73463280e+00,7.47270295e+00
7.16080402e+00,2.04754571e+04,3.82083924e+00,7.65995485e+00,3.73544217e+00,7.47437134e+00
7.18592965e+00,2.12012146e+04,3.82111844e+00,7.66077264e+00,3.73624517e+00,7.47602774e+00
7.21105528e+00,2.19526967e+04,3.82139014e+00,7.66157929e+00,3.73704185e+00,7.47767225e+00
7.23618090e+00,2.27308153e+04,3.82165433e+00,7.66237480e+00,3.73783225e+00,7.47930498e+00
7.26130653e+00,2.35365144e+04,3.82191097e+00,7.66315920e+00,3.73861640e+00,7.48092601e+00
7.28643216e+00,2.43707718e+04,3.82216005e+00,7.66393248e+00,3.73939436e+00,7.48253544e+00
7.31155779e+00,2.52345997e+04,3.82240154e+00,7.66469466e+00,3.74016616e+00,7.48413335e+00
7.33668342e+00,2.61290461e+04,3.82263540e+00,7.66544574e+00,3.74093185e+00,7.48571985e+00
7.36180905e+00,2.70551963e+04,3.82286161e+00,7.66618573e+00,3.74169144e+00,7.48729502e+00
7.38693467e+00,2.80141742e+04,3.82308014e+00,7.66691461e+00,3.74244500e+00,7.48885895e+00
7.41206030e+00,2.90071433e+04,3.82329096e+00,7.66763240e+00,3.74319255e+00,7.49041172e+00
7.43718593e+00,3.00353084e+04,3.82349402e+00,7.66833910e+00,3.74393412e+00,7.49195342e+00
7.46231156e+00,3.10999171e+04,3.82368931e+00,7.66903468e+00,3.74466976e+00,7.49348412e+00
7.48743719e+00,3.22022611e+04,3.82387677e+00,7.66971916e+00,3.74539949e+00,7.49500392e+00
7.51256281e+00,3.33436780e+04,3.82405638e+00,7.67039252e+00,3.74612335e+00,7.49651290e+00
7.53768844e+00,3.45255526e+04,3.82422809e+00,7.67105476e+00,3.74684138e+00,7.49801112e+00
7.56281407e+00,3.57493190e+04,3.82439186e+00,7.67170585e+00,3.74755360e+00,7.49949867e+00
7.58793970e+00,3.70164622e+04,3.82454765e+00,7.67234579e+00,3.74826004e+00,7.50097562e+00
7.61306533e+00,3.83285195e+04,3.82469542e+00,7.67297455e+00,3.74896073e+00,7.50244206e+00
7.63819095e+00,3.96870831e+04,3.82483512e+00,7.67359214e+00,3.74965571e+00,7.50389804e+00
7.66331658e+00,4.10938012e+04,3.82496670e+00,7.67419851e+00,3.75034501e+00,7.50534366e+00
7.68844221e+00,4.25503808e+04,3.82509012e+00,7.67479365e+00,3.75102864e+00,7.50677896e+00
7.71356784e+00,4.40585892e+04,3.82520533e+00,7.67537755e+00,3.75170663e+00,7.50820403e+00
7.73869347e+00,4.56202564e+04,3.82531227e+00,7.67595016e+00,3.75237902e+00,7.50961893e+00
7.76381910e+00,4.72372773e+04,3.82541089e+00,7.67651147e+00,3.75304583e+00,7.51102373e+00
