# K,N,SU_shared_P2,SU_shared_P4,SU_MPI_P2,SU_MPI_P4
6.66582915e+00,1.03092967e+04,2.06010681e+00,4.42388357e+00,2.23691811e+00,4.52198549e+00
6.68592965e+00,1.06006073e+04,2.05915478e+00,4.42526847e+00,2.23921834e+00,4.52722117e+00
6.70603015e+00,1.09001495e+04,2.05815410e+00,4.42658206e+00,2.24150011e+00,4.53242792e+00
6.72613065e+00,1.12081559e+04,2.05710457e+00,4.42782396e+00,2.24376338e+00,4.53760575e+00
6.74623116e+00,1.15248656e+04,2.05600602e+00,4.42899378e+00,2.24600809e+00,4.54275464e+00
6.76633166e+00,1.18505247e+04,2.05485827e+00,4.43009115e+00,2.24823418e+00,4.54787457e+00
6.78643216e+00,1.21853859e+04,2.05366112e+00,4.43111569e+00,2.25044162e+00,4.55296555e+00
6.80653266e+00,1.25297093e+04,2.05241440e+00,4.43206701e+00,2.25263033e+00,4.55802754e+00
6.82663317e+00,1.28837623e+04,2.05111794e+00,4.43294472e+00,2.25480026e+00,4.56306054e+00
6.84673367e+00,1.32478198e+04,2.04977156e+00,4.43374842e+00,2.25695135e+00,4.56806452e+00
6.86683417e+00,1.36221645e+04,2.04837508e+00,4.43447773e+00,2.25908355e+00,4.57303947e+00
6.88693467e+00,1.40070871e+04,2.04692832e+00,4.43513223e+00,2.26119678e+00,4.57798536e+00
6.90703518e+00,1.44028865e+04,2.04543113e+00,4.43571154e+00,2.26329098e+00,4.58290216e+00
6.92713568e+00,1.48098700e+04,2.04388333e+00,4.43621524e+00,2.26536610e+00,4.58778984e+00
6.94723618e+00,1.52283537e+04,2.04228475e+00,4.43664292e+00,2.26742205e+00,4.59264839e+00
6.96733668e+00,1.56586625e+04,2.04063523e+00,4.43699419e+00,2.26945878e+00,4.59747775e+00
6.98743719e+00,1.61011306e+04,2.03893461e+00,4.43726863e+00,2.27147621e+00,4.60227791e+00
7.00753769e+00,1.65561015e+04,2.03718273e+00,4.43746582e+00,2.27347427e+00,4.60704882e+00
7.02763819e+00,1.70239286e+04,2.03537944e+00,4.43758534e+00,2.27545289e+00,4.61179044e+00
7.04773869e+00,1.75049751e+04,2.03352457e+00,4.43762679e+00,2.27741199e+00,4.61650274e+00
7.06783920e+00,1.79996145e+04,2.03161798e+00,4.43758973e+00,2.27935149e+00,4.62118566e+00
7.08793970e+00,1.85082311e+04,2.02965953e+00,4.43747374e+00,2.28127132e+00,4.62583917e+00
7.10804020e+00,1.90312197e+04,2.02764905e+00,4.43727840e+00,2.28317139e+00,4.63046322e+00
7.12814070e+00,1.95689863e+04,2.02558642e+00,4.43700329e+00,2.28505163e+00,4.63505775e+00
7.14824121e+00,2.01219487e+04,2.02347150e+00,4.43664796e+00,2.28691196e+00,4.63962271e+00
7.16834171e+00,2.06905363e+04,2.02130414e+00,4.43621200e+00,2.28875227e+00,4.64415805e+00
7.18844221e+00,2.12751904e+04,2.01908422e+00,4.43569497e+00,2.29057250e+00,4.64866372e+00
7.20854271e+00,2.18763651e+04,2.01681161e+00,4.43509643e+00,2.29237255e+00,4.65313964e+00
7.22864322e+00,2.24945273e+04,2.01448619e+00,4.43441596e+00,2.29415233e+00,4.65758577e+00
7.24874372e+00,2.31301570e+04,2.01210783e+00,4.43365311e+00,2.29591175e+00,4.66200203e+00
7.26884422e+00,2.37837477e+04,2.00967641e+00,4.43280744e+00,2.29765072e+00,4.66638836e+00
7.28894472e+00,2.44558069e+04,2.00719183e+00,4.43187852e+00,2.29936914e+00,4.67074470e+00
7.30904523e+00,2.51468566e+04,2.00465398e+00,4.43086591e+00,2.30106691e+00,4.67507096e+00
7.32914573e+00,2.58574333e+04,2.00206274e+00,4.42976917e+00,2.30274394e+00,4.67936708e+00
7.34924623e+00,2.65880889e+04,1.99941803e+00,4.42858785e+00,2.30440013e+00,4.68363298e+00
7.36934673e+00,2.73393906e+04,1.99671974e+00,4.42732151e+00,2.30603537e+00,4.68786858e+00
7.38944724e+00,2.81119220e+04,1.99396779e+00,4.42596971e+00,2.30764956e+00,4.69207380e+00
7.40954774e+00,2.89062828e+04,1.99116208e+00,4.42453201e+00,2.30924259e+00,4.69624855e+00
7.42964824e+00,2.97230899e+04,1.98830255e+00,4.42300796e+00,2.31081436e+00,4.70039276e+00
7.44974874e+00,3.05629777e+04,1.98538910e+00,4.42139712e+00,2.31236476e+00,4.70450633e+00
7.46984925e+00,3.14265982e+04,1.98242167e+00,4.41969905e+00,2.31389368e+00,4.70858917e+00
7.48994975e+00,3.23146220e+04,1.97940020e+00,4.41791330e+00,2.31540101e+00,4.71264120e+00
7.51005025e+00,3.32277389e+04,1.97632462e+00,4.41603943e+00,2.31688663e+00,4.71666230e+00
7.53015075e+00,3.41666578e+04,1.97319488e+00,4.41407699e+00,2.31835042e+00,4.72065238e+00
7.55025126e+00,3.51321077e+04,1.97001092e+00,4.41202555e+00,2.31979227e+00,4.72461135e+00
7.57035176e+00,3.61248385e+04,1.96677271e+00,4.40988466e+00,2.32121206e+00,4.72853910e+00
7.59045226e+00,3.71456209e+04,1.96348020e+00,4.40765388e+00,2.32260966e+00,4.73243552e+00
7.61055276e+00,3.81952477e+04,1.96013337e+00,4.40533277e+00,2.32398496e+00,4.73630050e+00
7.63065327e+00,3.92745339e+04,1.95673218e+00,4.40292090e+00,2.32533783e+00,4.74013393e+00
7.65075377e+00,4.03843175e+04,1.95327662e+00,4.40041781e+00,2.32666814e+00,4.74393570e+00
7.67085427e+00,4.15254604e+04,1.94976667e+00,4.39782309e+00,2.32797576e+00,4.74770569e+00
7.69095477e+00,4.26988486e+04,1.94620232e+00,4.39513629e+00,2.32926057e+00,4.75144378e+00
7.71105528e+00,4.39053934e+04,1.94258358e+00,4.39235698e+00,2.33052243e+00,4.75514985e+00
7.73115578e+00,4.51460316e+04,1.93891045e+00,4.38948473e+00,2.33176121e+00,4.75882377e+00
7.75125628e+00,4.64217266e+04,1.93518294e+00,4.38651912e+00,2.33297676e+00,4.76246541e+00
7.77135678e+00,4.77334690e+04,1.93140106e+00,4.38345970e+00,2.33416896e+00,4.76607465e+00
7.79145729e+00,4.90822775e+04,1.92756485e+00,4.38030607e+00,2.33533767e+00,4.76965135e+00
7.81155779e+00,5.04691993e+04,1.92367434e+00,4.37705780e+00,2.33648273e+00,4.77319538e+00
7.83165829e+00,5.18953115e+04,1.91972957e+00,4.37371447e+00,2.33760402e+00,4.77670659e+00
7.85175879e+00,5.33617214e+04,1.91573057e+00,4.37027567e+00,2.33870138e+00,4.78018485e+00
7.87185930e+00,5.48695679e+04,1.91167742e+00,4.36674098e+00,2.33977467e+00,4.78363000e+00
7.89195980e+00,5.64200216e+04,1.90757017e+00,4.36310999e+00,2.34082373e+00,4.78704191e+00
7.91206030e+00,5.80142867e+04,1.90340889e+00,4.35938231e+00,2.34184843e+00,4.79042042e+00
7.93216080e+00,5.96536010e+04,1.89919365e+00,4.35555752e+00,2.34284860e+00,4.79376537e+00
7.95226131e+00,6.13392375e+04,1.89492455e+00,4.35163523e+00,2.34382409e+00,4.79707662e+00
7.97236181e+00,6.30725053e+04,1.89060167e+00,4.34761504e+00,2.34477474e+00,4.80035400e+00
7.99246231e+00,6.48547501e+04,1.88622511e+00,4.34349657e+00,2.34570041e+00,4.80359735e+00
8.01256281e+00,6.66873559e+04,1.88179498e+00,4.33927944e+00,2.34660092e+00,4.80680651e+00
8.03266332e+00,6.85717458e+04,1.87731140e+00,4.33496325e+00,2.34747612e+00,4.80998131e+00
8.05276382e+00,7.05093831e+04,1.87277450e+00,4.33054765e+00,2.34832583e+00,4.81312157e+00
8.07286432e+00,7.25017724e+04,1.86818440e+00,4.32603225e+00,2.34914991e+00,4.81622712e+00
8.09296482e+00,7.45504607e+04,1.86354124e+00,4.32141669e+00,2.34994817e+00,4.81929779e+00
8.11306533e+00,7.66570390e+04,1.85884518e+00,4.31670062e+00,2.35072046e+00,4.82233340e+00
8.13316583e+00,7.88231431e+04,1.85409637e+00,4.31188367e+00,2.35146659e+00,4.82533375e+00
8.15326633e+00,8.10504549e+04,1.84929499e+00,4.30696552e+00,2.35218640e+00,4.82829867e+00
8.17336683e+00,8.33407041e+04,1.84444119e+00,4.30194580e+00,2.35287971e+00,4.83122797e+00
8.19346734e+00,8.56956690e+04,1.83953518e+00,4.29682420e+00,2.35354635e+00,4.83412146e+00
8.21356784e+00,8.81171784e+04,1.83457713e+00,4.29160038e+00,2.35418613e+00,4.83697893e+00
8.23366834e+00,9.06071125e+04,1.82956726e+00,4.28627402e+00,2.35479888e+00,4.83980018e+00
8.25376884e+00,9.31674049e+04,1.82450577e+00,4.28084480e+00,2.35538442e+00,4.84258503e+00
8.27386935e+00,9.58000437e+04,1.81939288e+00,4.27531243e+00,2.35594255e+00,4.84533326e+00
8.29396985e+00,9.85070732e+04,1.81422882e+00,4.26967661e+00,2.35647310e+00,4.84804466e+00
8.31407035e+00,1.01290595e+05,1.80901382e+00,4.26393703e+00,2.35697588e+00,4.85071903e+00
8.33417085e+00,1.04152772e+05,1.80374814e+00,4.25809343e+00,2.35745070e+00,4.85335614e+00
8.35427136e+00,1.07095825e+05,1.79843202e+00,4.25214553e+00,2.35789737e+00,4.85595578e+00
8.37437186e+00,1.10122040e+05,1.79306573e+00,4.24609305e+00,2.35831569e+00,4.85851773e+00
8.39447236e+00,1.13233768e+05,1.78764954e+00,4.23993575e+00,2.35870547e+00,4.86104176e+00
8.41457286e+00,1.16433423e+05,1.78218375e+00,4.23367338e+00,2.35906651e+00,4.86352765e+00
8.43467337e+00,1.19723492e+05,1.77666863e+00,4.22730570e+00,2.35939862e+00,4.86597516e+00
8.45477387e+00,1.23106528e+05,1.77110448e+00,4.22083248e+00,2.35970160e+00,4.86838405e+00
8.47487437e+00,1.26585159e+05,1.76549163e+00,4.21425350e+00,2.35997524e+00,4.87075410e+00
8.49497487e+00,1.30162086e+05,1.75983038e+00,4.20756855e+00,2.36021934e+00,4.87308506e+00
8.51507538e+00,1.33840086e+05,1.75412108e+00,4.20077744e+00,2.36043370e+00,4.87537669e+00
8.53517588e+00,1.37622016e+05,1.74836404e+00,4.19387997e+00,2.36061810e+00,4.87762873e+00
8.55527638e+00,1.41510812e+05,1.74255963e+00,4.18687597e+00,2.36077235e+00,4.87984093e+00
8.57537688e+00,1.45509495e+05,1.73670820e+00,4.17976528e+00,2.36089623e+00,4.88201305e+00
8.59547739e+00,1.49621168e+05,1.73081011e+00,4.17254772e+00,2.36098953e+00,4.88414482e+00
8.61557789e+00,1.53849025e+05,1.72486574e+00,4.16522317e+00,2.36105204e+00,4.88623597e+00
8.63567839e+00,1.58196350e+05,1.71887547e+00,4.15779149e+00,2.36108354e+00,4.88828625e+00
8.65577889e+00,1.62666516e+05,1.71283971e+00,4.15025257e+00,2.36108381e+00,4.89029539e+00
8.67587940e+00,1.67262997e+05,1.70675884e+00,4.14260628e+00,2.36105264e+00,4.89226311e+00
8.69597990e+00,1.71989361e+05,1.70063328e+00,4.13485254e+00,2.36098981e+00,4.89418913e+00
8.71608040e+00,1.76849278e+05,1.69446345e+00,4.12699126e+00,2.36089509e+00,4.89607319e+00
8.73618090e+00,1.81846522e+05,1.68824979e+00,4.11902238e+00,2.36076827e+00,4.89791499e+00
8.75628141e+00,1.86984974e+05,1.68199272e+00,4.11094584e+00,2.36060912e+00,4.89971424e+00
8.77638191e+00,1.92268623e+05,1.67569271e+00,4.10276159e+00,2.36041741e+00,4.90147067e+00
8.79648241e+00,1.97701573e+05,1.66935020e+00,4.09446960e+00,2.36019292e+00,4.90318397e+00
8.81658291e+00,2.03288042e+05,1.66296566e+00,4.08606986e+00,2.35993542e+00,4.90485385e+00
8.83668342e+00,2.09032368e+05,1.65653957e+00,4.07756237e+00,2.35964468e+00,4.90648000e+00
8.85678392e+00,2.14939013e+05,1.65007241e+00,4.06894714e+00,2.35932046e+00,4.90806213e+00
8.87688442e+00,2.21012562e+05,1.64356467e+00,4.06022419e+00,2.35896255e+00,4.90959992e+00
8.89698492e+00,2.27257731e+05,1.63701684e+00,4.05139357e+00,2.35857069e+00,4.91109306e+00
8.91708543e+00,2.33679371e+05,1.63042945e+00,4.04245533e+00,2.35814466e+00,4.91254124e+00
8.93718593e+00,2.40282468e+05,1.62380301e+00,4.03340955e+00,2.35768422e+00,4.91394415e+00
8.95728643e+00,2.47072148e+05,1.61713804e+00,4.02425632e+00,2.35718913e+00,4.91530144e+00
8.97738693e+00,2.54053686e+05,1.61043508e+00,4.01499573e+00,2.35665916e+00,4.91661281e+00
8.99748744e+00,2.61232501e+05,1.60369467e+00,4.00562790e+00,2.35609406e+00,4.91787792e+00
9.01758794e+00,2.68614169e+05,1.59691735e+00,3.99615297e+00,2.35549360e+00,4.91909643e+00
9.03768844e+00,2.76204421e+05,1.59010370e+00,3.98657110e+00,2.35485753e+00,4.92026802e+00
9.05778894e+00,2.84009151e+05,1.58325426e+00,3.97688244e+00,2.35418560e+00,4.92139233e+00
9.07788945e+00,2.92034420e+05,1.57636963e+00,3.96708719e+00,2.35347759e+00,4.92246903e+00
9.09798995e+00,3.00286460e+05,1.56945037e+00,3.95718553e+00,2.35273323e+00,4.92349777e+00
9.11809045e+00,3.08771678e+05,1.56249707e+00,3.94717770e+00,2.35195229e+00,4.92447820e+00
9.13819095e+00,3.17496664e+05,1.55551034e+00,3.93706392e+00,2.35113451e+00,4.92540995e+00
9.15829146e+00,3.26468193e+05,1.54849077e+00,3.92684446e+00,2.35027966e+00,4.92629268e+00
9.17839196e+00,3.35693231e+05,1.54143897e+00,3.91651957e+00,2.34938748e+00,4.92712601e+00
9.19849246e+00,3.45178941e+05,1.53435557e+00,3.90608954e+00,2.34845772e+00,4.92790959e+00
9.21859296e+00,3.54932690e+05,1.52724117e+00,3.89555469e+00,2.34749013e+00,4.92864304e+00
9.23869347e+00,3.64962051e+05,1.52009642e+00,3.88491532e+00,2.34648447e+00,4.92932599e+00
9.25879397e+00,3.75274813e+05,1.51292195e+00,3.87417180e+00,2.34544049e+00,4.92995806e+00
9.27889447e+00,3.85878983e+05,1.50571840e+00,3.86332447e+00,2.34435792e+00,4.93053887e+00
9.29899497e+00,3.96782796e+05,1.49848642e+00,3.85237371e+00,2.34323653e+00,4.93106804e+00
9.31909548e+00,4.07994720e+05,1.49122666e+00,3.84131992e+00,2.34207605e+00,4.93154518e+00
9.33919598e+00,4.19523459e+05,1.48393979e+00,3.83016352e+00,2.34087624e+00,4.93196989e+00
9.35929648e+00,4.31377967e+05,1.47662647e+00,3.81890493e+00,2.33963684e+00,4.93234179e+00
9.37939698e+00,4.43567448e+05,1.46928737e+00,3.80754462e+00,2.33835760e+00,4.93266047e+00
9.39949749e+00,4.56101369e+05,1.46192316e+00,3.79608305e+00,2.33703827e+00,4.93292553e+00
9.41959799e+00,4.68989462e+05,1.45453454e+00,3.78452071e+00,2.33567860e+00,4.93313656e+00
9.43969849e+00,4.82241734e+05,1.44712217e+00,3.77285812e+00,2.33427832e+00,4.93329316e+00
9.45979899e+00,4.95868477e+05,1.43968676e+00,3.76109580e+00,2.33283719e+00,4.93339491e+00
9.47989950e+00,5.09880273e+05,1.43222900e+00,3.74923430e+00,2.33135496e+00,4.93344140e+00
9.50000000e+00,5.24288000e+05,1.42474959e+00,3.73727420e+00,2.32983136e+00,4.93343220e+00
