# Figure 2: RI/MSbar matching and RG evolution at NNLO
# Quenched QCD: N_c=3, N_f=0
# Columns: mu_GeV, delta_z_ri_msbar, c_s_msbar, rg_ratio_to_2GeV
mu_GeV,delta_z_ri_msbar,c_s_msbar,rg_ratio_to_2GeV
3.86466165,1.10061479,1.86144910,0.90273328
3.88721805,1.10036439,1.86288436,0.90203777
3.90977444,1.10011667,1.86430898,0.90134847
3.93233083,1.09987159,1.86572311,0.90066530
3.95488722,1.09962909,1.86712688,0.89998814
3.97744361,1.09938914,1.86852044,0.89931692
4.00000000,1.09915169,1.86990393,0.89865154
4.02255639,1.09891670,1.87127748,0.89799192
4.04511278,1.09868412,1.87264122,0.89733796
4.06766917,1.09845392,1.87399529,0.89668958
4.09022556,1.09822606,1.87533980,0.89604671
4.11278195,1.09800049,1.87667489,0.89540925
4.13533835,1.09777718,1.87800068,0.89477713
4.15789474,1.09755610,1.87931728,0.89415027
4.18045113,1.09733719,1.88062482,0.89352859
4.20300752,1.09712044,1.88192341,0.89291203
4.22556391,1.09690581,1.88321317,0.89230050
4.24812030,1.09669325,1.88449420,0.89169394
4.27067669,1.09648275,1.88576662,0.89109227
4.29323308,1.09627426,1.88703053,0.89049543
4.31578947,1.09606775,1.88828603,0.88990334
4.33834586,1.09586320,1.88953324,0.88931595
4.36090226,1.09566058,1.89077225,0.88873319
4.38345865,1.09545984,1.89200317,0.88815499
4.40601504,1.09526097,1.89322609,0.88758129
4.42857143,1.09506394,1.89444110,0.88701203
4.45112782,1.09486871,1.89564831,0.88644716
4.47368421,1.09467527,1.89684780,0.88588660
4.49624060,1.09448358,1.89803968,0.88533031
4.51879699,1.09429362,1.89922401,0.88477823
4.54135338,1.09410536,1.90040091,0.88423029
4.56390977,1.09391877,1.90157044,0.88368646
4.58646617,1.09373384,1.90273271,0.88314667
4.60902256,1.09355054,1.90388778,0.88261087
4.63157895,1.09336885,1.90503575,0.88207901
4.65413534,1.09318873,1.90617670,0.88155104
4.67669173,1.09301018,1.90731070,0.88102691
4.69924812,1.09283316,1.90843783,0.88050657
4.72180451,1.09265766,1.90955818,0.87998998
4.74436090,1.09248365,1.91067181,0.87947708
4.76691729,1.09231111,1.91177880,0.87896783
4.78947368,1.09214003,1.91287923,0.87846218
4.81203008,1.09197038,1.91397316,0.87796009
4.83458647,1.09180214,1.91506068,0.87746152
4.85714286,1.09163530,1.91614184,0.87696642
4.87969925,1.09146983,1.91721672,0.87647476
4.90225564,1.09130571,1.91828538,0.87598648
4.92481203,1.09114293,1.91934790,0.87550155
4.94736842,1.09098147,1.92040433,0.87501992
4.96992481,1.09082131,1.92145475,0.87454157
4.99248120,1.09066244,1.92249922,0.87406644
5.01503759,1.09050483,1.92353779,0.87359451
5.03759398,1.09034848,1.92457053,0.87312573
5.06015038,1.09019336,1.92559750,0.87266007
5.08270677,1.09003945,1.92661877,0.87219749
5.10526316,1.08988675,1.92763439,0.87173795
5.12781955,1.08973524,1.92864441,0.87128143
5.15037594,1.08958489,1.92964890,0.87082788
5.17293233,1.08943571,1.93064791,0.87037727
5.19548872,1.08928766,1.93164150,0.86992956
5.21804511,1.08914075,1.93262973,0.86948474
5.24060150,1.08899494,1.93361264,0.86904276
5.26315789,1.08885024,1.93459028,0.86860358
5.28571429,1.08870662,1.93556272,0.86816719
5.30827068,1.08856407,1.93653001,0.86773355
5.33082707,1.08842258,1.93749219,0.86730262
5.35338346,1.08828214,1.93844931,0.86687439
5.37593985,1.08814273,1.93940143,0.86644881
5.39849624,1.08800434,1.94034859,0.86602586
5.42105263,1.08786696,1.94129083,0.86560552
5.44360902,1.08773058,1.94222822,0.86518774
5.46616541,1.08759518,1.94316080,0.86477252
5.48872180,1.08746075,1.94408860,0.86435981
5.51127820,1.08732728,1.94501168,0.86394960
5.53383459,1.08719476,1.94593008,0.86354185
5.55639098,1.08706318,1.94684384,0.86313654
