# Figure 4: Scale dependence of the chiral condensate
# Input: -<psibar psi>^MSbar(2 GeV) = 0.0147 GeV^3
# Columns: mu_GeV, condensate_lo, condensate_nlo, condensate_nnlo
mu_GeV,condensate_lo_GeV3,condensate_nlo_GeV3,condensate_nnlo_GeV3
3.86466165,0.01608446,0.01625285,0.01628388
3.88721805,0.01609555,0.01626520,0.01629644
3.90977444,0.01610657,0.01627746,0.01630890
3.93233083,0.01611751,0.01628963,0.01632127
3.95488722,0.01612837,0.01630171,0.01633355
3.97744361,0.01613915,0.01631370,0.01634574
4.00000000,0.01614985,0.01632561,0.01635784
4.02255639,0.01616048,0.01633743,0.01636986
4.04511278,0.01617104,0.01634917,0.01638179
4.06766917,0.01618152,0.01636082,0.01639363
4.09022556,0.01619193,0.01637240,0.01640539
4.11278195,0.01620226,0.01638389,0.01641707
4.13533835,0.01621253,0.01639530,0.01642867
4.15789474,0.01622273,0.01640664,0.01644019
4.18045113,0.01623286,0.01641789,0.01645163
4.20300752,0.01624292,0.01642907,0.01646299
4.22556391,0.01625291,0.01644018,0.01647427
4.24812030,0.01626284,0.01645121,0.01648548
4.27067669,0.01627270,0.01646217,0.01649661
4.29323308,0.01628250,0.01647305,0.01650766
4.31578947,0.01629223,0.01648386,0.01651865
4.33834586,0.01630190,0.01649460,0.01652956
4.36090226,0.01631151,0.01650527,0.01654040
4.38345865,0.01632105,0.01651587,0.01655117
4.40601504,0.01633054,0.01652640,0.01656186
4.42857143,0.01633996,0.01653687,0.01657249
4.45112782,0.01634933,0.01654726,0.01658305
4.47368421,0.01635863,0.01655760,0.01659355
4.49624060,0.01636788,0.01656786,0.01660397
4.51879699,0.01637708,0.01657806,0.01661433
4.54135338,0.01638621,0.01658820,0.01662463
4.56390977,0.01639529,0.01659827,0.01663486
4.58646617,0.01640431,0.01660829,0.01664503
4.60902256,0.01641328,0.01661824,0.01665513
4.63157895,0.01642220,0.01662813,0.01666517
4.65413534,0.01643106,0.01663796,0.01667515
4.67669173,0.01643986,0.01664773,0.01668507
4.69924812,0.01644862,0.01665744,0.01669494
4.72180451,0.01645732,0.01666709,0.01670474
4.74436090,0.01646598,0.01667669,0.01671448
4.76691729,0.01647458,0.01668622,0.01672416
4.78947368,0.01648313,0.01669571,0.01673379
4.81203008,0.01649163,0.01670513,0.01674336
4.83458647,0.01650008,0.01671450,0.01675287
4.85714286,0.01650849,0.01672382,0.01676233
4.87969925,0.01651685,0.01673308,0.01677173
4.90225564,0.01652516,0.01674229,0.01678108
4.92481203,0.01653342,0.01675145,0.01679038
4.94736842,0.01654163,0.01676056,0.01679962
4.96992481,0.01654980,0.01676961,0.01680881
4.99248120,0.01655793,0.01677861,0.01681794
5.01503759,0.01656601,0.01678756,0.01682703
5.03759398,0.01657404,0.01679646,0.01683606
5.06015038,0.01658203,0.01680532,0.01684505
5.08270677,0.01658998,0.01681412,0.01685398
5.10526316,0.01659788,0.01682287,0.01686287
5.12781955,0.01660575,0.01683158,0.01687170
5.15037594,0.01661356,0.01684024,0.01688049
5.17293233,0.01662134,0.01684885,0.01688923
5.19548872,0.01662908,0.01685742,0.01689792
5.21804511,0.01663677,0.01686594,0.01690656
5.24060150,0.01664442,0.01687441,0.01691516
5.26315789,0.01665204,0.01688284,0.01692372
5.28571429,0.01665961,0.01689122,0.01693222
5.30827068,0.01666715,0.01689956,0.01694068
5.33082707,0.01667464,0.01690786,0.01694910
5.35338346,0.01668210,0.01691611,0.01695747
5.37593985,0.01668952,0.01692432,0.01696580
5.39849624,0.01669689,0.01693249,0.01697409
5.42105263,0.01670424,0.01694061,0.01698233
5.44360902,0.01671154,0.01694870,0.01699053
5.46616541,0.01671881,0.01695674,0.01699869
5.48872180,0.01672604,0.01696474,0.01700681
5.51127820,0.01673324,0.01697270,0.01701488
5.53383459,0.01674040,0.01698062,0.01702292
5.55639098,0.01674752,0.01698850,0.01703091
5.57894737,0.01675461,0.01699634,0.01703886
5.60150376,0.01676166,0.01700414,0.01704678
5.62406015,0.01676868,0.01701190,0.01705465
5.64661654,0.01677567,0.01701963,0.01706249
5.66917293,0.01678262,0.01702732,0.01707028
5.69172932,0.01678954,0.01703496,0.01707804
5.71428571,0.01679642,0.01704258,0.01708576
5.73684211,0.01680327,0.01705015,0.01709344
5.75939850,0.01681009,0.01705769,0.01710109
5.78195489,0.01681688,0.01706519,0.01710870
5.80451128,0.01682363,0.01707266,0.01711627
5.82706767,0.01683035,0.01708009,0.01712380
5.84962406,0.01683704,0.01708748,0.01713130
5.87218045,0.01684370,0.01709484,0.01713877
5.89473684,0.01685033,0.01710217,0.01714619
5.91729323,0.01685693,0.01710946,0.01715359
5.93984962,0.01686349,0.01711672,0.01716095
5.96240602,0.01687003,0.01712394,0.01716827
5.98496241,0.01687654,0.01713113,0.01717556
6.00751880,0.01688302,0.01713829,0.01718282
6.03007519,0.01688946,0.01714541,0.01719004
6.05263158,0.01689588,0.01715250,0.01719723
6.07518797,0.01690227,0.01715956,0.01720439
6.09774436,0.01690863,0.01716658,0.01721151
6.12030075,0.01691496,0.01717358,0.01721860
6.14285714,0.01692127,0.01718054,0.01722566
6.16541353,0.01692754,0.01718747,0.01723269
6.18796992,0.01693379,0.01719437,0.01723968
6.21052632,0.01694001,0.01720124,0.01724665
6.23308271,0.01694621,0.01720808,0.01725358
6.25563910,0.01695237,0.01721489,0.01726049
6.27819549,0.01695851,0.01722167,0.01726736
6.30075188,0.01696462,0.01722842,0.01727420
6.32330827,0.01697071,0.01723514,0.01728101
6.34586466,0.01697677,0.01724183,0.01728779
6.36842105,0.01698280,0.01724849,0.01729455
6.39097744,0.01698881,0.01725512,0.01730127
6.41353383,0.01699480,0.01726173,0.01730796
6.43609023,0.01700075,0.01726830,0.01731463
6.45864662,0.01700668,0.01727485,0.01732127
6.48120301,0.01701259,0.01728137,0.01732787
6.50375940,0.01701847,0.01728786,0.01733445
6.52631579,0.01702433,0.01729433,0.01734101
6.54887218,0.01703017,0.01730076,0.01734753
6.57142857,0.01703597,0.01730717,0.01735403
6.59398496,0.01704176,0.01731356,0.01736050
6.61654135,0.01704752,0.01731991,0.01736694
