# Figure 1: Running coupling alpha_s^MSbar(mu) at NNLO
# Quenched QCD: N_c=3, N_f=0, Lambda_QCD=0.251 GeV
# Columns: mu_GeV, alpha_s_central, alpha_s_low, alpha_s_high
mu_GeV,alpha_s_central,alpha_s_low,alpha_s_high
3.14148297,0.17448260,0.16926094,0.17960300
3.15991984,0.17412200,0.16892325,0.17921908
3.17835671,0.17376511,0.16858896,0.17883917
3.19679359,0.17341184,0.16825802,0.17846318
3.21523046,0.17306214,0.16793037,0.17809105
3.23366733,0.17271595,0.16760595,0.17772271
3.25210421,0.17237321,0.16728472,0.17735810
3.27054108,0.17203386,0.16696661,0.17699716
3.28897796,0.17169785,0.16665159,0.17663983
3.30741483,0.17136512,0.16633959,0.17628604
3.32585170,0.17103562,0.16603057,0.17593574
3.34428858,0.17070930,0.16572448,0.17558887
3.36272545,0.17038611,0.16542129,0.17524537
3.38116232,0.17006599,0.16512093,0.17490519
3.39959920,0.16974889,0.16482336,0.17456828
3.41803607,0.16943478,0.16452855,0.17423458
3.43647295,0.16912359,0.16423645,0.17390404
3.45490982,0.16881530,0.16394702,0.17357662
3.47334669,0.16850984,0.16366021,0.17325226
3.49178357,0.16820718,0.16337600,0.17293091
3.51022044,0.16790728,0.16309433,0.17261253
3.52865731,0.16761009,0.16281517,0.17229708
3.54709419,0.16731558,0.16253848,0.17198451
3.56553106,0.16702369,0.16226423,0.17167477
3.58396794,0.16673440,0.16199238,0.17136782
3.60240481,0.16644766,0.16172289,0.17106363
3.62084168,0.16616344,0.16145573,0.17076214
3.63927856,0.16588170,0.16119087,0.17046332
3.65771543,0.16560240,0.16092827,0.17016713
3.67615230,0.16532551,0.16066791,0.16987353
3.69458918,0.16505099,0.16040974,0.16958248
3.71302605,0.16477881,0.16015374,0.16929394
3.73146293,0.16450894,0.15989988,0.16900789
3.74989980,0.16424134,0.15964812,0.16872428
3.76833667,0.16397598,0.15939845,0.16844308
3.78677355,0.16371283,0.15915082,0.16816425
3.80521042,0.16345186,0.15890521,0.16788777
3.82364729,0.16319304,0.15866160,0.16761359
3.84208417,0.16293633,0.15841995,0.16734169
3.86052104,0.16268172,0.15818024,0.16707203
3.87895792,0.16242916,0.15794245,0.16680459
3.89739479,0.16217864,0.15770654,0.16653933
3.91583166,0.16193013,0.15747249,0.16627622
3.93426854,0.16168359,0.15724029,0.16601524
3.95270541,0.16143901,0.15700989,0.16575635
3.97114228,0.16119635,0.15678129,0.16549953
3.98957916,0.16095560,0.15655445,0.16524474
4.00801603,0.16071672,0.15632935,0.16499197
4.02645291,0.16047969,0.15610598,0.16474119
4.04488978,0.16024449,0.15588430,0.16449236
4.06332665,0.16001109,0.15566431,0.16424547
4.08176353,0.15977947,0.15544596,0.16400049
4.10020040,0.15954961,0.15522925,0.16375739
4.11863727,0.15932149,0.15501416,0.16351615
4.13707415,0.15909508,0.15480066,0.16327675
4.15551102,0.15887036,0.15458873,0.16303915
4.17394790,0.15864731,0.15437836,0.16280335
4.19238477,0.15842591,0.15416952,0.16256932
4.21082164,0.15820614,0.15396220,0.16233703
4.22925852,0.15798798,0.15375637,0.16210646
4.24769539,0.15777141,0.15355203,0.16187759
4.26613226,0.15755640,0.15334914,0.16165040
4.28456914,0.15734295,0.15314770,0.16142488
4.30300601,0.15713103,0.15294769,0.16120099
4.32144289,0.15692062,0.15274909,0.16097872
4.33987976,0.15671171,0.15255188,0.16075805
4.35831663,0.15650427,0.15235604,0.16053896
4.37675351,0.15629830,0.15216157,0.16032144
4.39519038,0.15609376,0.15196844,0.16010545
4.41362725,0.15589066,0.15177663,0.15989099
4.43206413,0.15568896,0.15158614,0.15967803
4.45050100,0.15548865,0.15139695,0.15946657
4.46893788,0.15528971,0.15120904,0.15925657
4.48737475,0.15509214,0.15102240,0.15904803
4.50581162,0.15489591,0.15083702,0.15884092
4.52424850,0.15470102,0.15065287,0.15863524
4.54268537,0.15450743,0.15046995,0.15843095
4.56112224,0.15431514,0.15028824,0.15822806
4.57955912,0.15412414,0.15010773,0.15802654
4.59799599,0.15393441,0.14992840,0.15782637
4.61643287,0.15374593,0.14975025,0.15762754
4.63486974,0.15355869,0.14957325,0.15743004
4.65330661,0.15337269,0.14939740,0.15723385
4.67174349,0.15318789,0.14922269,0.15703896
4.69018036,0.15300430,0.14904909,0.15684535
4.70861723,0.15282189,0.14887661,0.15665300
4.72705411,0.15264066,0.14870522,0.15646191
4.74549098,0.15246059,0.14853491,0.15627206
4.76392786,0.15228167,0.14836568,0.15608344
4.78236473,0.15210388,0.14819751,0.15589603
4.80080160,0.15192723,0.14803040,0.15570981
4.81923848,0.15175168,0.14786432,0.15552479
4.83767535,0.15157723,0.14769927,0.15534094
4.85611222,0.15140388,0.14753524,0.15515825
4.87454910,0.15123160,0.14737222,0.15497671
4.89298597,0.15106039,0.14721019,0.15479631
4.91142285,0.15089023,0.14704915,0.15461703
4.92985972,0.15072112,0.14688909,0.15443886
4.94829659,0.15055304,0.14672999,0.15426180
4.96673347,0.15038598,0.14657185,0.15408583
4.98517034,0.15021994,0.14641466,0.15391093
5.00360721,0.15005489,0.14625840,0.15373710
5.02204409,0.14989084,0.14610307,0.15356433
5.04048096,0.14972777,0.14594866,0.15339261
5.05891784,0.14956567,0.14579516,0.15322192
5.07735471,0.14940454,0.14564256,0.15305225
5.09579158,0.14924435,0.14549085,0.15288360
5.11422846,0.14908511,0.14534002,0.15271595
5.13266533,0.14892681,0.14519007,0.15254930
5.15110220,0.14876942,0.14504098,0.15238363
5.16953908,0.14861295,0.14489275,0.15221893
5.18797595,0.14845739,0.14474537,0.15205520
5.20641283,0.14830272,0.14459882,0.15189243
5.22484970,0.14814895,0.14445311,0.15173060
5.24328657,0.14799605,0.14430822,0.15156970
5.26172345,0.14784402,0.14416415,0.15140973
5.28016032,0.14769286,0.14402089,0.15125068
5.29859719,0.14754255,0.14387842,0.15109254
5.31703407,0.14739309,0.14373675,0.15093530
5.33547094,0.14724446,0.14359587,0.15077896
5.35390782,0.14709667,0.14345576,0.15062349
5.37234469,0.14694969,0.14331643,0.15046890
5.39078156,0.14680354,0.14317785,0.15031518
5.40921844,0.14665819,0.14304004,0.15016231
5.42765531,0.14651363,0.14290297,0.15001029
5.44609218,0.14636988,0.14276665,0.14985912
5.46452906,0.14622690,0.14263106,0.14970878
5.48296593,0.14608470,0.14249620,0.14955927
5.50140281,0.14594328,0.14236206,0.14941057
5.51983968,0.14580261,0.14222864,0.14926269
5.53827655,0.14566270,0.14209593,0.14911561
5.55671343,0.14552355,0.14196392,0.14896933
5.57515030,0.14538513,0.14183261,0.14882383
5.59358717,0.14524745,0.14170199,0.14867912
5.61202405,0.14511050,0.14157205,0.14853518
5.63046092,0.14497427,0.14144279,0.14839201
5.64889780,0.14483876,0.14131420,0.14824960
5.66733467,0.14470396,0.14118628,0.14810795
5.68577154,0.14456986,0.14105902,0.14796704
5.70420842,0.14443645,0.14093241,0.14782687
5.72264529,0.14430374,0.14080645,0.14768744
5.74108216,0.14417172,0.14068113,0.14754873
5.75951904,0.14404037,0.14055645,0.14741075
5.77795591,0.14390970,0.14043241,0.14727347
5.79639279,0.14377969,0.14030899,0.14713691
5.81482966,0.14365034,0.14018619,0.14700105
5.83326653,0.14352165,0.14006400,0.14686589
5.85170341,0.14339362,0.13994243,0.14673141
5.87014028,0.14326622,0.13982146,0.14659762
5.88857715,0.14313946,0.13970110,0.14646451
5.90701403,0.14301334,0.13958132,0.14633207
5.92545090,0.14288785,0.13946214,0.14620029
5.94388778,0.14276298,0.13934355,0.14606918
5.96232465,0.14263872,0.13922553,0.14593872
5.98076152,0.14251508,0.13910809,0.14580891
5.99919840,0.14239204,0.13899122,0.14567975
6.01763527,0.14226961,0.13887491,0.14555123
6.03607214,0.14214778,0.13875917,0.14542333
6.05450902,0.14202653,0.13864398,0.14529607
6.07294589,0.14190588,0.13852935,0.14516943
6.09138277,0.14178581,0.13841526,0.14504341
6.10981964,0.14166631,0.13830172,0.14491800
6.12825651,0.14154739,0.13818871,0.14479319
6.14669339,0.14142904,0.13807624,0.14466899
6.16513026,0.14131124,0.13796430,0.14454539
6.18356713,0.14119401,0.13785289,0.14442238
6.20200401,0.14107734,0.13774199,0.14429996
6.22044088,0.14096121,0.13763162,0.14417812
6.23887776,0.14084563,0.13752176,0.14405686
6.25731463,0.14073059,0.13741240,0.14393617
6.27575150,0.14061609,0.13730356,0.14381605
6.29418838,0.14050212,0.13719521,0.14369650
6.31262525,0.14038868,0.13708736,0.14357751
6.33106212,0.14027576,0.13698000,0.14345907
6.34949900,0.14016337,0.13687314,0.14334118
6.36793587,0.14005149,0.13676676,0.14322384
6.38637275,0.13994012,0.13666086,0.14310705
6.40480962,0.13982926,0.13655544,0.14299079
6.42324649,0.13971891,0.13645049,0.14287506
6.44168337,0.13960905,0.13634602,0.14275987
6.46012024,0.13949969,0.13624201,0.14264520
6.47855711,0.13939083,0.13613847,0.14253105
6.49699399,0.13928245,0.13603538,0.14241742
6.51543086,0.13917456,0.13593276,0.14230431
6.53386774,0.13906715,0.13583059,0.14219170
6.55230461,0.13896022,0.13572886,0.14207960
6.57074148,0.13885376,0.13562759,0.14196800
6.58917836,0.13874777,0.13552675,0.14185690
6.60761523,0.13864225,0.13542636,0.14174630
6.62605210,0.13853719,0.13532640,0.14163618
6.64448898,0.13843260,0.13522688,0.14152656
6.66292585,0.13832846,0.13512778,0.14141741
6.68136273,0.13822477,0.13502912,0.14130875
6.69979960,0.13812153,0.13493087,0.14120056
6.71823647,0.13801874,0.13483305,0.14109284
6.73667335,0.13791640,0.13473565,0.14098559
6.75511022,0.13781449,0.13463866,0.14087881
6.77354709,0.13771302,0.13454208,0.14077249
6.79198397,0.13761198,0.13444591,0.14066663
6.81042084,0.13751137,0.13435014,0.14056123
6.82885772,0.13741119,0.13425478,0.14045627
6.84729459,0.13731144,0.13415982,0.14035177
6.86573146,0.13721210,0.13406526,0.14024771
6.88416834,0.13711319,0.13397108,0.14014409
6.90260521,0.13701469,0.13387730,0.14004091
6.92104208,0.13691660,0.13378391,0.13993817
6.93947896,0.13681892,0.13369091,0.13983586
6.95791583,0.13672165,0.13359829,0.13973398
6.97635271,0.13662478,0.13350604,0.13963252
6.99478958,0.13652831,0.13341418,0.13953149
7.01322645,0.13643224,0.13332269,0.13943088
7.03166333,0.13633656,0.13323158,0.13933069
7.05010020,0.13624127,0.13314083,0.13923091
7.06853707,0.13614638,0.13305045,0.13913155
7.08697395,0.13605187,0.13296043,0.13903259
7.10541082,0.13595775,0.13287078,0.13893404
7.12384770,0.13586400,0.13278149,0.13883589
7.14228457,0.13577064,0.13269255,0.13873814
7.16072144,0.13567765,0.13260397,0.13864079
7.17915832,0.13558504,0.13251574,0.13854383
7.19759519,0.13549279,0.13242786,0.13844727
7.21603206,0.13540092,0.13234033,0.13835109
7.23446894,0.13530941,0.13225315,0.13825530
7.25290581,0.13521826,0.13216630,0.13815990
7.27134269,0.13512747,0.13207980,0.13806487
7.28977956,0.13503705,0.13199364,0.13797023
7.30821643,0.13494698,0.13190781,0.13787596
7.32665331,0.13485726,0.13182232,0.13778207
7.34509018,0.13476789,0.13173715,0.13768854
7.36352705,0.13467888,0.13165232,0.13759539
7.38196393,0.13459021,0.13156781,0.13750260
7.40040080,0.13450188,0.13148363,0.13741017
7.41883768,0.13441390,0.13139978,0.13731811
7.43727455,0.13432625,0.13131624,0.13722640
7.45571142,0.13423895,0.13123302,0.13713505
7.47414830,0.13415198,0.13115012,0.13704406
7.49258517,0.13406534,0.13106753,0.13695341
7.51102204,0.13397903,0.13098526,0.13686312
7.52945892,0.13389305,0.13090329,0.13677317
7.54789579,0.13380740,0.13082164,0.13668357
7.56633267,0.13372207,0.13074029,0.13659431
7.58476954,0.13363707,0.13065924,0.13650539
7.60320641,0.13355238,0.13057850,0.13641681
7.62164329,0.13346802,0.13049806,0.13632856
7.64008016,0.13338397,0.13041791,0.13624065
7.65851703,0.13330023,0.13033807,0.13615307
7.67695391,0.13321681,0.13025852,0.13606582
7.69539078,0.13313369,0.13017926,0.13597890
7.71382766,0.13305089,0.13010029,0.13589230
7.73226453,0.13296839,0.13002161,0.13580602
7.75070140,0.13288619,0.12994322,0.13572007
7.76913828,0.13280430,0.12986512,0.13563444
7.78757515,0.13272271,0.12978730,0.13554912
7.80601202,0.13264141,0.12970976,0.13546411
7.82444890,0.13256042,0.12963250,0.13537942
7.84288577,0.13247972,0.12955552,0.13529505
7.86132265,0.13239931,0.12947882,0.13521098
7.87975952,0.13231919,0.12940239,0.13512721
7.89819639,0.13223936,0.12932624,0.13504376
7.91663327,0.13215982,0.12925035,0.13496060
7.93507014,0.13208057,0.12917474,0.13487775
7.95350701,0.13200159,0.12909940,0.13479520
7.97194389,0.13192291,0.12902432,0.13471294
7.99038076,0.13184450,0.12894951,0.13463098
8.00881764,0.13176637,0.12887497,0.13454932
8.02725451,0.13168852,0.12880068,0.13446795
8.04569138,0.13161094,0.12872666,0.13438686
8.06412826,0.13153364,0.12865289,0.13430607
8.08256513,0.13145661,0.12857938,0.13422556
8.10100200,0.13137985,0.12850613,0.13414534
8.11943888,0.13130336,0.12843313,0.13406541
8.13787575,0.13122714,0.12836039,0.13398575
8.15631263,0.13115118,0.12828789,0.13390637
8.17474950,0.13107549,0.12821565,0.13382728
8.19318637,0.13100005,0.12814365,0.13374846
8.21162325,0.13092488,0.12807190,0.13366991
8.23006012,0.13084997,0.12800040,0.13359164
8.24849699,0.13077532,0.12792914,0.13351364
8.26693387,0.13070093,0.12785812,0.13343591
8.28537074,0.13062678,0.12778735,0.13335845
8.30380762,0.13055290,0.12771681,0.13328125
8.32224449,0.13047926,0.12764652,0.13320432
8.34068136,0.13040588,0.12757645,0.13312766
8.35911824,0.13033274,0.12750663,0.13305126
8.37755511,0.13025985,0.12743704,0.13297511
8.39599198,0.13018721,0.12736768,0.13289923
8.41442886,0.13011481,0.12729855,0.13282361
8.43286573,0.13004265,0.12722966,0.13274824
8.45130261,0.12997074,0.12716099,0.13267312
