k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
10.72606825,0.00000000,0.00000000,0.40653747,0.40653747,0.40653747,0.51565869,0.51565869,0.51565869,0.54771895,0.54771895
10.99813815,0.02890236,0.02890236,0.40613026,0.40613026,0.40616141,0.51571947,0.51571947,0.51600731,0.54701558,0.54833274
11.27020805,0.05768551,0.05768551,0.40495073,0.40495073,0.40506105,0.51585610,0.51585610,0.51702605,0.54500287,0.55005243
11.54227796,0.08622750,0.08622750,0.40311430,0.40311430,0.40331455,0.51596736,0.51596736,0.51863850,0.54193435,0.55190308
11.81434786,0.11440089,0.11440089,0.40078286,0.40078286,0.40103670,0.51596970,0.51596970,0.52073152,0.53813609,0.55170283
12.08641777,0.14207029,0.14207029,0.39813483,0.39813483,0.39836223,0.51584607,0.51584607,0.52317039,0.53393361,0.55015639
12.35848767,0.16909025,0.16909025,0.39534174,0.39534174,0.39543080,0.51564818,0.51564818,0.52581198,0.52961312,0.54808946
12.63055758,0.19530395,0.19530395,0.39237597,0.39255451,0.39255451,0.51547324,0.51547324,0.52540935,0.52851432,0.54572793
12.90262748,0.22054305,0.22054305,0.38931821,0.38989776,0.38989776,0.51543765,0.51543765,0.52150620,0.53114304,0.54318402
13.17469739,0.24462923,0.24462923,0.38636091,0.38746947,0.38746947,0.51565417,0.51565417,0.51804068,0.53357656,0.54054851
13.44676729,0.26737775,0.26737775,0.38358828,0.38534409,0.38534409,0.51510655,0.51620867,0.51620867,0.53571145,0.53791594
13.71883720,0.28860187,0.28860187,0.38106441,0.38357897,0.38357897,0.51275660,0.51712912,0.51712912,0.53540462,0.53540462
13.99090710,0.30811461,0.30811461,0.37883309,0.38222641,0.38222641,0.51100421,0.51833399,0.51833399,0.53319288,0.53319288
14.26297701,0.32571674,0.32571674,0.37691852,0.38135862,0.38135862,0.50982468,0.51954295,0.51954295,0.53159151,0.53159151
14.53504691,0.34114432,0.34114432,0.37532672,0.38112644,0.38112644,0.50915754,0.52022518,0.52022518,0.53107638,0.53107638
14.80711681,0.35391843,0.35391843,0.37404818,0.38190118,0.38190118,0.50891067,0.51999669,0.51999669,0.53181697,0.53181697
15.07918672,0.36313976,0.36313976,0.37306149,0.38445067,0.38445067,0.50896742,0.51913484,0.51913484,0.53030884,0.53030884
15.35125662,0.36822205,0.36822205,0.37233808,0.38915688,0.38915688,0.50919736,0.51809345,0.51809345,0.52232298,0.52232298
15.62332653,0.37040620,0.37040620,0.37184760,0.39445327,0.39445327,0.50947096,0.51536595,0.51536595,0.51747613,0.51747613
15.89539643,0.37125862,0.37125862,0.37156341,0.39833189,0.39833189,0.50967703,0.51109008,0.51109008,0.51682448,0.51682448
16.16746634,0.37146742,0.37147977,0.37147977,0.39966730,0.39966730,0.50964116,0.50964116,0.50973988,0.51662660,0.51662660
16.38961048,0.37125491,0.37144776,0.37150165,0.39846388,0.39908037,0.50973186,0.51013034,0.51105359,0.51663835,0.51687774
16.61175463,0.37057334,0.37136292,0.37146600,0.39495795,0.39723959,0.50996967,0.51136798,0.51526970,0.51666607,0.51763922
16.83389878,0.36945229,0.37095795,0.37118695,0.39010664,0.39414307,0.51035460,0.51340455,0.51667212,0.51891198,0.52168012
17.05604293,0.36791972,0.36887182,0.37086788,0.38563469,0.38979415,0.51090316,0.51616286,0.51658639,0.52067556,0.52940283
17.27818707,0.36380036,0.36601342,0.37034254,0.38346866,0.38421027,0.51165094,0.51629783,0.51952734,0.52288121,0.53279933
17.50033122,0.35618429,0.36377979,0.36953331,0.37743456,0.38355728,0.51264755,0.51566856,0.52327061,0.52545788,0.53102752
17.72247537,0.34734109,0.36127276,0.36835853,0.36954741,0.38486097,0.51394585,0.51460747,0.52666098,0.52832124,0.52976413
17.94461951,0.33803558,0.35855162,0.36067549,0.36674315,0.38681315,0.51318473,0.51559358,0.52798043,0.52913352,0.53137925
18.16676366,0.32866026,0.35098608,0.35568766,0.36463282,0.38916555,0.51164442,0.51762824,0.52776638,0.52907267,0.53454473
18.38890781,0.31945702,0.34070351,0.35274264,0.36200908,0.39178381,0.51028212,0.52007407,0.52735645,0.52943804,0.53773070
18.61105195,0.31060353,0.33007656,0.34979230,0.35890212,0.39457190,0.50933464,0.52294001,0.52709187,0.53010157,0.53850126
18.83319610,0.30224669,0.31938502,0.34690888,0.35539710,0.39744485,0.50894286,0.52621076,0.52703624,0.53097861,0.53749144
19.05534025,0.29451676,0.30892630,0.34416378,0.35163151,0.40031779,0.50915290,0.52713623,0.52989287,0.53202480,0.53625911
19.27748439,0.28753329,0.29900724,0.34162549,0.34778393,0.40310148,0.50992685,0.52738811,0.53322985,0.53389134,0.53487160
19.49962854,0.28140682,0.28993557,0.33935778,0.34405704,0.40570109,0.51115333,0.52771815,0.53341871,0.53461425,0.53813472
19.72177269,0.27623824,0.28201005,0.33741792,0.34065879,0.40801767,0.51265654,0.52807292,0.53200685,0.53622384,0.54246843
19.94391684,0.27211656,0.27550820,0.33585520,0.33778447,0.40995227,0.51420875,0.52840353,0.53074981,0.53810660,0.54662592
20.16606098,0.26911588,0.27067140,0.33470946,0.33560165,0.41141281,0.51555741,0.52866963,0.52975702,0.54023374,0.55015242
20.38820513,0.26729215,0.26768848,0.33401004,0.33423840,0.41232313,0.51647209,0.52884143,0.52912021,0.54227955,0.55244792
20.61034928,0.26668029,0.26668029,0.33377489,0.33377489,0.41263251,0.51679528,0.52890074,0.52890074,0.54325193,0.55320308
