delta,gap_percent
-0.03000000,22.94480623
-0.02500000,25.53168668
-0.02000000,27.66895081
-0.01500000,27.66895081
-0.01000000,28.71868013
-0.00500000,29.53374900
0.00000000,29.53374900
0.00500000,29.29181032
0.01000000,29.05594217
0.01500000,28.63044728
0.02000000,27.54121632
0.02500000,26.93322430
0.03000000,26.20966414
