# Figure 2: Dispersion relations at theta_k=85deg
# Columns: k [m^-1], omega_magnetosonic/omega_ci, omega_whistler/omega_ci, omega_analytic/omega_ci
k,omega_magnetosonic,omega_whistler,omega_analytic
340.25083612,15.49575581,20.92770168,26.04010648
343.24414716,15.63207764,21.29753864,26.41868663
346.23745819,15.76839947,21.67061495,26.80033533
349.23076923,15.90472130,22.04693059,27.18505671
352.22408027,16.04104313,22.42648558,27.57285477
355.21739130,16.17736496,22.80927991,27.96373342
358.21070234,16.31368679,23.19531358,28.35769647
361.20401338,16.45000862,23.58458660,28.75474758
364.19732441,16.58633045,23.97709895,29.15489036
367.19063545,16.72265228,24.37285065,29.55812829
370.18394649,16.85897411,24.77184169,29.96446477
373.17725753,16.99529594,25.17407207,30.37390309
376.17056856,17.13161777,25.57954180,30.78644647
379.16387960,17.26793960,25.98825087,31.20209803
382.15719064,17.40426144,26.40019928,31.62086080
385.15050167,17.54058327,26.81538703,32.04273775
388.14381271,17.67690510,27.23381412,32.46773176
391.13712375,17.81322693,27.65548056,32.89584561
394.13043478,17.94954876,28.08038633,33.32708204
397.12374582,18.08587059,28.50853145,33.76144370
400.11705686,18.22219242,28.93991592,34.19893317
403.11036789,18.35851425,29.37453972,34.63955296
406.10367893,18.49483608,29.81240287,35.08330552
409.09698997,18.63115791,30.25350536,35.53019324
412.09030100,18.76747974,30.69784719,35.98021842
415.08361204,18.90380157,31.14542836,36.43338334
418.07692308,19.04012340,31.59624888,36.88969019
421.07023411,19.17644523,32.05030873,37.34914111
424.06354515,19.31276707,32.50760793,37.81173819
427.05685619,19.44908890,32.96814647,38.27748347
430.05016722,19.58541073,33.43192436,38.74637892
433.04347826,19.72173256,33.89894158,39.21842648
436.03678930,19.85805439,34.36919815,39.69362802
439.03010033,19.99437622,34.84269406,40.17198539
442.02341137,20.13069805,35.31942931,40.65350035
445.01672241,20.26701988,35.79940391,41.13817467
448.01003344,20.40334171,36.28261785,41.62601003
451.00334448,20.53966354,36.76907113,42.11700808
453.99665552,20.67598537,37.25876375,42.61117045
456.98996656,20.81230720,37.75169571,43.10849870
459.98327759,20.94862903,38.24786701,43.60899437
462.97658863,21.08495086,38.74727766,44.11265895
465.96989967,21.22127270,39.24992765,44.61949390
468.96321070,21.35759453,39.75581698,45.12950064
471.95652174,21.49391636,40.26494566,45.64268057
474.94983278,21.63023819,40.77731367,46.15903503
477.94314381,21.76656002,41.29292103,46.67856534
480.93645485,21.90288185,41.81176773,47.20127280
483.92976589,22.03920368,42.33385378,47.72715867
486.92307692,22.17552551,42.85917916,48.25622416
489.91638796,22.31184734,43.38774389,48.78847048
492.90969900,22.44816917,43.91954796,49.32389879
495.90301003,22.58449100,44.45459137,49.86251024
498.89632107,22.72081283,44.99287412,50.40430594
501.88963211,22.85713466,45.53439622,50.94928698
504.88294314,22.99345649,46.07915766,51.49745442
507.87625418,23.12977832,46.62715844,52.04880930
510.86956522,23.26610016,47.17839856,52.60335262
513.86287625,23.40242199,47.73287802,53.16108538
516.85618729,23.53874382,48.29059683,53.72200855
519.84949833,23.67506565,48.85155498,54.28612306
522.84280936,23.81138748,49.41575247,54.85342984
525.83612040,23.94770931,49.98318930,55.42392979
528.82943144,24.08403114,50.55386548,55.99762379
531.82274247,24.22035297,51.12778099,56.57451270
534.81605351,24.35667480,51.70493585,57.15459736
537.80936455,24.49299663,52.28533005,57.73787858
540.80267559,24.62931846,52.86896360,58.32435718
543.79598662,24.76564029,53.45583648,58.91403393
546.78929766,24.90196212,54.04594871,59.50690960
549.78260870,25.03828395,54.63930028,60.10298494
552.77591973,25.17460579,55.23589120,60.70226069
555.76923077,25.31092762,55.83572145,61.30473755
558.76254181,25.44724945,56.43879105,61.91041624
561.75585284,25.58357128,57.04509999,62.51929743
564.74916388,25.71989311,57.65464827,63.13138180
567.74247492,25.85621494,58.26743589,63.74667000
570.73578595,25.99253677,58.88346286,64.36516267
573.72909699,26.12885860,59.50272916,64.98686044
576.72240803,26.26518043,60.12523481,65.61176392
579.71571906,26.40150226,60.75097980,66.23987371
582.70903010,26.53782409,61.37996414,66.87119040
585.70234114,26.67414592,62.01218781,67.50571456
588.69565217,26.81046775,62.64765083,68.14344676
591.68896321,26.94678958,63.28635319,68.78438754
594.68227425,27.08311142,63.92829490,69.42853745
597.67558528,27.21943325,64.57347594,70.07589701
600.66889632,27.35575508,65.22189633,70.72646673
603.66220736,27.49207691,65.87355606,71.38024713
606.65551839,27.62839874,66.52845513,72.03723869
609.64882943,27.76472057,67.18659354,72.69744191
612.64214047,27.90104240,67.84797130,73.36085725
615.63545151,28.03736423,68.51258839,74.02748518
618.62876254,28.17368606,69.18044483,74.69732615
621.62207358,28.31000789,69.85154062,75.37038061
624.61538462,28.44632972,70.52587574,76.04664900
627.60869565,28.58265155,71.20345021,76.72613174
630.60200669,28.71897338,71.88426402,77.40882925
633.59531773,28.85529521,72.56831717,78.09474194
636.58862876,28.99161704,73.25560966,78.78387021
639.58193980,29.12793888,73.94614149,79.47621446
642.57525084,29.26426071,74.63991267,80.17177507
645.56856187,29.40058254,75.33692319,80.87055242
648.56187291,29.53690437,76.03717305,81.57254689
651.55518395,29.67322620,76.74066226,82.27775882
654.54849498,29.80954803,77.44739080,82.98618858
657.54180602,29.94586986,78.15735869,83.69783653
660.53511706,30.08219169,78.87056592,84.41270299
663.52842809,30.21851352,79.58701249,85.13078830
666.52173913,30.35483535,80.30669841,85.85209280
669.51505017,30.49115718,81.02962366,86.57661681
672.50836120,30.62747901,81.75578826,87.30436063
675.50167224,30.76380084,82.48519220,88.03532459
678.49498328,30.90012267,83.21783549,88.76950898
681.48829431,31.03644451,83.95371811,89.50691410
684.48160535,31.17276634,84.69284008,90.24754025
687.47491639,31.30908817,85.43520139,90.99138772
690.46822742,31.44541000,86.18080204,91.73845677
693.46153846,31.58173183,86.92964204,92.48874769
696.45484950,31.71805366,87.68172137,93.24226075
699.44816054,31.85437549,88.43704005,93.99899622
702.44147157,31.99069732,89.19559807,94.75895435
705.43478261,32.12701915,89.95739543,95.52213541
708.42809365,32.26334098,90.72243214,96.28853963
711.42140468,32.39966281,91.49070818,97.05816727
714.41471572,32.53598464,92.26222357,97.83101857
717.40802676,32.67230647,93.03697830,98.60709377
720.40133779,32.80862830,93.81497238,99.38639310
723.39464883,32.94495014,94.59620579,100.16891679
726.38795987,33.08127197,95.38067855,100.95466505
729.38127090,33.21759380,96.16839065,101.74363812
732.37458194,33.35391563,96.95934209,102.53583621
735.36789298,33.49023746,97.75353288,103.33125952
738.36120401,33.62655929,98.55096300,104.12990828
741.35451505,33.76288112,99.35163247,104.93178268
744.34782609,33.89920295,100.15554128,105.73688292
747.34113712,34.03552478,100.96268944,106.54520921
750.33444816,34.17184661,101.77307693,107.35676173
753.32775920,34.30816844,102.58670377,108.17154067
756.32107023,34.44449027,103.40356995,108.98954623
759.31438127,34.58081210,104.22367547,109.81077859
762.30769231,34.71713393,105.04702033,110.63523792
765.30100334,34.85345576,105.87360454,111.46292440
768.29431438,34.98977760,106.70342809,112.29383822
771.28762542,35.12609943,107.53649098,113.12797953
774.28093645,35.26242126,108.37279321,113.96534851
777.27424749,35.39874309,109.21233478,114.80594532
780.26755853,35.53506492,110.05511570,115.64977013
783.26086957,35.67138675,110.90113596,116.49682309
786.25418060,35.80770858,111.75039556,117.34710436
789.24749164,35.94403041,112.60289450,118.20061409
792.24080268,36.08035224,113.45863279,119.05735245
795.23411371,36.21667407,114.31761041,119.91731957
798.22742475,36.35299590,115.17982738,120.78051559
801.22073579,36.48931773,116.04528370,121.64694068
804.21404682,36.62563956,116.91397935,122.51659496
807.20735786,36.76196139,117.78591435,123.38947858
810.20066890,36.89828323,118.66108868,124.26559167
813.19397993,37.03460506,119.53950236,125.14493436
816.18729097,37.17092689,120.42115539,126.02750680
819.18060201,37.30724872,121.30604775,126.91330910
822.17391304,37.44357055,122.19417946,127.80234141
825.16722408,37.57989238,123.08555051,128.69460383
828.16053512,37.71621421,123.98016090,129.59009650
831.15384615,37.85253604,124.87801063,130.48881954
834.14715719,37.98885787,125.77909971,131.39077306
837.14046823,38.12517970,126.68342812,132.29595719
840.13377926,38.26150153,127.59099588,133.20437204
843.12709030,38.39782336,128.50180299,134.11601772
846.12040134,38.53414519,129.41584943,135.03089435
849.11371237,38.67046702,130.33313522,135.94900204
852.10702341,38.80678886,131.25366035,136.87034089
855.10033445,38.94311069,132.17742482,137.79491101
858.09364548,39.07943252,133.10442863,138.72271251
861.08695652,39.21575435,134.03467178,139.65374549
864.08026756,39.35207618,134.96815428,140.58801005
867.07357860,39.48839801,135.90487612,141.52550629
870.06688963,39.62471984,136.84483730,142.46623431
873.06020067,39.76104167,137.78803782,143.41019421
876.05351171,39.89736350,138.73447769,144.35738607
