# Figure 3: Growth rate vs wave number at theta_k=85deg
# Analytical columns: k [m^-1], gamma_eq22/omega_ci, gamma_eq20/omega_ci
k,gamma_eq22,gamma_eq20
780.60301508,1.53098716,0.82188611
785.02512563,1.53102243,0.81641038
789.44723618,1.53092714,0.81084557
793.86934673,1.53070117,0.80519310
798.29145729,1.53034440,0.79945436
802.71356784,1.52985664,0.79363078
807.13567839,1.52923772,0.78772376
811.55778894,1.52848742,0.78173473
815.97989950,1.52760549,0.77566511
820.40201005,1.52659169,0.76951634
824.82412060,1.52544569,0.76328985
829.24623116,1.52416720,0.75698709
833.66834171,1.52275587,0.75060950
838.09045226,1.52121132,0.74415856
842.51256281,1.51953315,0.73763573
846.93467337,1.51772094,0.73104248
851.35678392,1.51577423,0.72438030
855.77889447,1.51369255,0.71765069
860.20100503,1.51147539,0.71085516
864.62311558,1.50912221,0.70399522
869.04522613,1.50663245,0.69707239
873.46733668,1.50400552,0.69008824
877.88944724,1.50124079,0.68304429
882.31155779,1.49833763,0.67594213
886.73366834,1.49529535,0.66878334
891.15577889,1.49211325,0.66156950
895.57788945,1.48879060,0.65430223
900.00000000,1.48532664,0.64698315
# Numerical data points: k [m^-1], gamma_numerical/omega_ci
# num,50.00000000,0.00010442
# num,71.79487179,0.00220807
# num,93.58974359,0.01181126
# num,115.38461538,0.03427912
# num,137.17948718,0.07165299
# num,158.97435897,0.12289648
# num,180.76923077,0.18529121
# num,202.56410256,0.25560401
# num,224.35897436,0.33076858
# num,246.15384615,0.40819148
# num,267.94871795,0.48583386
# num,289.74358974,0.56217967
# num,311.53846154,0.63615756
# num,333.33333333,0.70705207
# num,355.12820513,0.77442093
# num,376.92307692,0.83802522
# num,398.71794872,0.89777315
# num,420.51282051,0.95367669
# num,442.30769231,1.00581874
# num,464.10256410,1.05432881
# num,485.89743590,1.09936536
# num,507.69230769,1.14110306
# num,529.48717949,1.17972387
# num,551.28205128,1.21541083
# num,573.07692308,1.24834388
# num,594.87179487,1.27869711
# num,616.66666667,1.30663713
# num,638.46153846,1.33232205
# num,660.25641026,1.35590113
# num,682.05128205,1.37751461
# num,703.84615385,1.39729395
# num,725.64102564,1.41536206
# num,747.43589744,1.43183374
# num,769.23076923,1.44681614
# num,791.02564103,1.46040920
# num,812.82051282,1.47270611
# num,834.61538462,1.48379382
# num,856.41025641,1.49375344
# num,878.20512821,1.50266067
# num,900.00000000,1.51058620
