# Fig 1(a): Band structure with Delta = gamma1
# Columns: vp_over_gamma1, E_band1_eV, E_band2_eV, E_band3_eV, E_band4_eV
vp_over_gamma1,E_band1_eV,E_band2_eV,E_band3_eV,E_band4_eV
2.13426854,-1.12793956,-0.58443515,0.58443515,1.12793956
2.13927856,-1.12985282,-0.58630860,0.58630860,1.12985282
2.14428858,-1.13176625,-0.58818253,0.58818253,1.13176625
2.14929860,-1.13367985,-0.59005691,0.59005691,1.13367985
2.15430862,-1.13559362,-0.59193176,0.59193176,1.13559362
2.15931864,-1.13750755,-0.59380706,0.59380706,1.13750755
2.16432866,-1.13942165,-0.59568281,0.59568281,1.13942165
2.16933868,-1.14133590,-0.59755901,0.59755901,1.14133590
2.17434870,-1.14325032,-0.59943565,0.59943565,1.14325032
2.17935872,-1.14516491,-0.60131273,0.60131273,1.14516491
2.18436874,-1.14707965,-0.60319025,0.60319025,1.14707965
2.18937876,-1.14899455,-0.60506820,0.60506820,1.14899455
2.19438878,-1.15090960,-0.60694658,0.60694658,1.15090960
2.19939880,-1.15282482,-0.60882539,0.60882539,1.15282482
2.20440882,-1.15474019,-0.61070461,0.61070461,1.15474019
2.20941884,-1.15665572,-0.61258425,0.61258425,1.15665572
2.21442886,-1.15857140,-0.61446431,0.61446431,1.15857140
2.21943888,-1.16048723,-0.61634478,0.61634478,1.16048723
2.22444890,-1.16240322,-0.61822566,0.61822566,1.16240322
2.22945892,-1.16431935,-0.62010694,0.62010694,1.16431935
2.23446894,-1.16623564,-0.62198862,0.62198862,1.16623564
2.23947896,-1.16815208,-0.62387069,0.62387069,1.16815208
2.24448898,-1.17006866,-0.62575317,0.62575317,1.17006866
2.24949900,-1.17198540,-0.62763603,0.62763603,1.17198540
2.25450902,-1.17390228,-0.62951928,0.62951928,1.17390228
2.25951904,-1.17581930,-0.63140291,0.63140291,1.17581930
2.26452906,-1.17773648,-0.63328693,0.63328693,1.17773648
2.26953908,-1.17965379,-0.63517132,0.63517132,1.17965379
2.27454910,-1.18157125,-0.63705609,0.63705609,1.18157125
2.27955912,-1.18348886,-0.63894123,0.63894123,1.18348886
2.28456914,-1.18540660,-0.64082674,0.64082674,1.18540660
2.28957916,-1.18732448,-0.64271262,0.64271262,1.18732448
2.29458918,-1.18924251,-0.64459886,0.64459886,1.18924251
2.29959920,-1.19116067,-0.64648546,0.64648546,1.19116067
2.30460922,-1.19307898,-0.64837242,0.64837242,1.19307898
2.30961924,-1.19499742,-0.65025973,0.65025973,1.19499742
2.31462926,-1.19691599,-0.65214739,0.65214739,1.19691599
2.31963928,-1.19883471,-0.65403540,0.65403540,1.19883471
2.32464930,-1.20075356,-0.65592376,0.65592376,1.20075356
2.32965932,-1.20267254,-0.65781246,0.65781246,1.20267254
2.33466934,-1.20459166,-0.65970151,0.65970151,1.20459166
2.33967936,-1.20651091,-0.66159089,0.66159089,1.20651091
2.34468938,-1.20843029,-0.66348060,0.66348060,1.20843029
2.34969940,-1.21034980,-0.66537065,0.66537065,1.21034980
2.35470942,-1.21226945,-0.66726103,0.66726103,1.21226945
2.35971944,-1.21418922,-0.66915174,0.66915174,1.21418922
2.36472946,-1.21610912,-0.67104277,0.67104277,1.21610912
2.36973948,-1.21802915,-0.67293412,0.67293412,1.21802915
2.37474950,-1.21994931,-0.67482580,0.67482580,1.21994931
2.37975952,-1.22186960,-0.67671779,0.67671779,1.22186960
2.38476954,-1.22379001,-0.67861010,0.67861010,1.22379001
2.38977956,-1.22571055,-0.68050272,0.68050272,1.22571055
2.39478958,-1.22763121,-0.68239565,0.68239565,1.22763121
2.39979960,-1.22955200,-0.68428889,0.68428889,1.22955200
2.40480962,-1.23147291,-0.68618243,0.68618243,1.23147291
2.40981964,-1.23339394,-0.68807628,0.68807628,1.23339394
2.41482966,-1.23531510,-0.68997043,0.68997043,1.23531510
2.41983968,-1.23723637,-0.69186487,0.69186487,1.23723637
2.42484970,-1.23915777,-0.69375962,0.69375962,1.23915777
2.42985972,-1.24107929,-0.69565465,0.69565465,1.24107929
2.43486974,-1.24300092,-0.69754999,0.69754999,1.24300092
2.43987976,-1.24492268,-0.69944561,0.69944561,1.24492268
2.44488978,-1.24684455,-0.70134151,0.70134151,1.24684455
2.44989980,-1.24876654,-0.70323771,0.70323771,1.24876654
2.45490982,-1.25068865,-0.70513419,0.70513419,1.25068865
2.45991984,-1.25261087,-0.70703094,0.70703094,1.25261087
2.46492986,-1.25453321,-0.70892798,0.70892798,1.25453321
2.46993988,-1.25645566,-0.71082530,0.71082530,1.25645566
2.47494990,-1.25837823,-0.71272289,0.71272289,1.25837823
2.47995992,-1.26030091,-0.71462075,0.71462075,1.26030091
2.48496994,-1.26222370,-0.71651889,0.71651889,1.26222370
2.48997996,-1.26414661,-0.71841729,0.71841729,1.26414661
2.49498998,-1.26606963,-0.72031597,0.72031597,1.26606963
2.50000000,-1.26799276,-0.72221490,0.72221490,1.26799276
