# Fig 1(a): Band structure with Delta = gamma1
# Columns: vp_over_gamma1, E_band1_eV, E_band2_eV, E_band3_eV, E_band4_eV
vp_over_gamma1,E_band1_eV,E_band2_eV,E_band3_eV,E_band4_eV
0.48096192,-0.52693454,-0.14442597,0.14442597,0.52693454
0.48597194,-0.52845692,-0.14396460,0.14396460,0.52845692
0.49098196,-0.52998507,-0.14351753,0.14351753,0.52998507
0.49599198,-0.53151887,-0.14308509,0.14308509,0.53151887
0.50100200,-0.53305822,-0.14266763,0.14266763,0.53305822
0.50601202,-0.53460301,-0.14226550,0.14226550,0.53460301
0.51102204,-0.53615315,-0.14187902,0.14187902,0.53615315
0.51603206,-0.53770854,-0.14150853,0.14150853,0.53770854
0.52104208,-0.53926908,-0.14115435,0.14115435,0.53926908
0.52605210,-0.54083467,-0.14081679,0.14081679,0.54083467
0.53106212,-0.54240523,-0.14049616,0.14049616,0.54240523
0.53607214,-0.54398066,-0.14019276,0.14019276,0.54398066
0.54108216,-0.54556088,-0.13990689,0.13990689,0.54556088
0.54609218,-0.54714579,-0.13963882,0.13963882,0.54714579
0.55110220,-0.54873531,-0.13938883,0.13938883,0.54873531
0.55611222,-0.55032937,-0.13915719,0.13915719,0.55032937
0.56112224,-0.55192787,-0.13894416,0.13894416,0.55192787
0.56613226,-0.55353075,-0.13874997,0.13874997,0.55353075
0.57114228,-0.55513792,-0.13857488,0.13857488,0.55513792
0.57615230,-0.55674931,-0.13841910,0.13841910,0.55674931
0.58116232,-0.55836484,-0.13828286,0.13828286,0.55836484
0.58617234,-0.55998444,-0.13816636,0.13816636,0.55998444
0.59118236,-0.56160804,-0.13806979,0.13806979,0.56160804
0.59619238,-0.56323558,-0.13799334,0.13799334,0.56323558
0.60120240,-0.56486697,-0.13793719,0.13793719,0.56486697
0.60621242,-0.56650217,-0.13790148,0.13790148,0.56650217
0.61122244,-0.56814109,-0.13788637,0.13788637,0.56814109
0.61623246,-0.56978369,-0.13789200,0.13789200,0.56978369
0.62124248,-0.57142989,-0.13791848,0.13791848,0.57142989
0.62625251,-0.57307963,-0.13796594,0.13796594,0.57307963
0.63126253,-0.57473287,-0.13803446,0.13803446,0.57473287
0.63627255,-0.57638953,-0.13812415,0.13812415,0.57638953
0.64128257,-0.57804955,-0.13823506,0.13823506,0.57804955
0.64629259,-0.57971290,-0.13836727,0.13836727,0.57971290
0.65130261,-0.58137950,-0.13852083,0.13852083,0.58137950
0.65631263,-0.58304931,-0.13869576,0.13869576,0.58304931
0.66132265,-0.58472227,-0.13889209,0.13889209,0.58472227
0.66633267,-0.58639834,-0.13910985,0.13910985,0.58639834
0.67134269,-0.58807746,-0.13934902,0.13934902,0.58807746
0.67635271,-0.58975958,-0.13960959,0.13960959,0.58975958
0.68136273,-0.59144465,-0.13989154,0.13989154,0.59144465
0.68637275,-0.59313263,-0.14019484,0.14019484,0.59313263
0.69138277,-0.59482348,-0.14051944,0.14051944,0.59482348
0.69639279,-0.59651714,-0.14086527,0.14086527,0.59651714
0.70140281,-0.59821356,-0.14123228,0.14123228,0.59821356
0.70641283,-0.59991272,-0.14162038,0.14162038,0.59991272
0.71142285,-0.60161456,-0.14202948,0.14202948,0.60161456
0.71643287,-0.60331905,-0.14245948,0.14245948,0.60331905
0.72144289,-0.60502613,-0.14291027,0.14291027,0.60502613
0.72645291,-0.60673578,-0.14338173,0.14338173,0.60673578
0.73146293,-0.60844795,-0.14387374,0.14387374,0.60844795
0.73647295,-0.61016261,-0.14438616,0.14438616,0.61016261
0.74148297,-0.61187971,-0.14491884,0.14491884,0.61187971
0.74649299,-0.61359922,-0.14547163,0.14547163,0.61359922
0.75150301,-0.61532110,-0.14604437,0.14604437,0.61532110
0.75651303,-0.61704532,-0.14663689,0.14663689,0.61704532
0.76152305,-0.61877184,-0.14724902,0.14724902,0.61877184
0.76653307,-0.62050062,-0.14788057,0.14788057,0.62050062
0.77154309,-0.62223165,-0.14853137,0.14853137,0.62223165
0.77655311,-0.62396487,-0.14920123,0.14920123,0.62396487
0.78156313,-0.62570026,-0.14988993,0.14988993,0.62570026
0.78657315,-0.62743779,-0.15059729,0.15059729,0.62743779
0.79158317,-0.62917742,-0.15132309,0.15132309,0.62917742
0.79659319,-0.63091913,-0.15206713,0.15206713,0.63091913
0.80160321,-0.63266289,-0.15282920,0.15282920,0.63266289
0.80661323,-0.63440866,-0.15360907,0.15360907,0.63440866
0.81162325,-0.63615642,-0.15440653,0.15440653,0.63615642
0.81663327,-0.63790613,-0.15522135,0.15522135,0.63790613
0.82164329,-0.63965778,-0.15605332,0.15605332,0.63965778
0.82665331,-0.64141133,-0.15690221,0.15690221,0.64141133
0.83166333,-0.64316676,-0.15776778,0.15776778,0.64316676
0.83667335,-0.64492404,-0.15864981,0.15864981,0.64492404
0.84168337,-0.64668314,-0.15954808,0.15954808,0.64668314
0.84669339,-0.64844405,-0.16046234,0.16046234,0.64844405
0.85170341,-0.65020672,-0.16139238,0.16139238,0.65020672
0.85671343,-0.65197115,-0.16233795,0.16233795,0.65197115
0.86172345,-0.65373730,-0.16329884,0.16329884,0.65373730
0.86673347,-0.65550516,-0.16427480,0.16427480,0.65550516
0.87174349,-0.65727470,-0.16526561,0.16526561,0.65727470
0.87675351,-0.65904589,-0.16627104,0.16627104,0.65904589
0.88176353,-0.66081871,-0.16729086,0.16729086,0.66081871
0.88677355,-0.66259315,-0.16832484,0.16832484,0.66259315
0.89178357,-0.66436918,-0.16937276,0.16937276,0.66436918
0.89679359,-0.66614678,-0.17043440,0.17043440,0.66614678
0.90180361,-0.66792593,-0.17150953,0.17150953,0.66792593
0.90681363,-0.66970661,-0.17259794,0.17259794,0.66970661
0.91182365,-0.67148880,-0.17369939,0.17369939,0.67148880
0.91683367,-0.67327247,-0.17481368,0.17481368,0.67327247
0.92184369,-0.67505762,-0.17594059,0.17594059,0.67505762
0.92685371,-0.67684421,-0.17707991,0.17707991,0.67684421
0.93186373,-0.67863224,-0.17823143,0.17823143,0.67863224
0.93687375,-0.68042168,-0.17939494,0.17939494,0.68042168
0.94188377,-0.68221251,-0.18057023,0.18057023,0.68221251
0.94689379,-0.68400472,-0.18175711,0.18175711,0.68400472
0.95190381,-0.68579829,-0.18295537,0.18295537,0.68579829
0.95691383,-0.68759321,-0.18416481,0.18416481,0.68759321
0.96192385,-0.68938945,-0.18538524,0.18538524,0.68938945
0.96693387,-0.69118700,-0.18661646,0.18661646,0.69118700
0.97194389,-0.69298584,-0.18785830,0.18785830,0.69298584
0.97695391,-0.69478596,-0.18911055,0.18911055,0.69478596
0.98196393,-0.69658733,-0.19037304,0.19037304,0.69658733
0.98697395,-0.69838996,-0.19164559,0.19164559,0.69838996
0.99198397,-0.70019381,-0.19292801,0.19292801,0.70019381
0.99699399,-0.70199888,-0.19422014,0.19422014,0.70199888
1.00200401,-0.70380515,-0.19552179,0.19552179,0.70380515
1.00701403,-0.70561260,-0.19683281,0.19683281,0.70561260
1.01202405,-0.70742123,-0.19815301,0.19815301,0.70742123
1.01703407,-0.70923101,-0.19948225,0.19948225,0.70923101
1.02204409,-0.71104194,-0.20082035,0.20082035,0.71104194
1.02705411,-0.71285399,-0.20216716,0.20216716,0.71285399
1.03206413,-0.71466716,-0.20352252,0.20352252,0.71466716
1.03707415,-0.71648143,-0.20488628,0.20488628,0.71648143
1.04208417,-0.71829680,-0.20625829,0.20625829,0.71829680
1.04709419,-0.72011324,-0.20763840,0.20763840,0.72011324
1.05210421,-0.72193074,-0.20902647,0.20902647,0.72193074
1.05711423,-0.72374930,-0.21042235,0.21042235,0.72374930
1.06212425,-0.72556889,-0.21182590,0.21182590,0.72556889
1.06713427,-0.72738951,-0.21323700,0.21323700,0.72738951
1.07214429,-0.72921115,-0.21465549,0.21465549,0.72921115
1.07715431,-0.73103379,-0.21608126,0.21608126,0.73103379
1.08216433,-0.73285743,-0.21751417,0.21751417,0.73285743
1.08717435,-0.73468205,-0.21895409,0.21895409,0.73468205
1.09218437,-0.73650763,-0.22040090,0.22040090,0.73650763
1.09719439,-0.73833418,-0.22185448,0.22185448,0.73833418
1.10220441,-0.74016167,-0.22331471,0.22331471,0.74016167
1.10721443,-0.74199010,-0.22478147,0.22478147,0.74199010
1.11222445,-0.74381946,-0.22625464,0.22625464,0.74381946
1.11723447,-0.74564973,-0.22773412,0.22773412,0.74564973
1.12224449,-0.74748091,-0.22921979,0.22921979,0.74748091
1.12725451,-0.74931299,-0.23071154,0.23071154,0.74931299
1.13226453,-0.75114595,-0.23220927,0.23220927,0.75114595
1.13727455,-0.75297979,-0.23371287,0.23371287,0.75297979
1.14228457,-0.75481450,-0.23522224,0.23522224,0.75481450
1.14729459,-0.75665007,-0.23673728,0.23673728,0.75665007
1.15230461,-0.75848648,-0.23825789,0.23825789,0.75848648
1.15731463,-0.76032373,-0.23978397,0.23978397,0.76032373
1.16232465,-0.76216181,-0.24131544,0.24131544,0.76216181
1.16733467,-0.76400072,-0.24285219,0.24285219,0.76400072
1.17234469,-0.76584043,-0.24439414,0.24439414,0.76584043
1.17735471,-0.76768095,-0.24594120,0.24594120,0.76768095
1.18236473,-0.76952227,-0.24749328,0.24749328,0.76952227
1.18737475,-0.77136437,-0.24905030,0.24905030,0.77136437
1.19238477,-0.77320725,-0.25061217,0.25061217,0.77320725
1.19739479,-0.77505090,-0.25217881,0.25217881,0.77505090
1.20240481,-0.77689532,-0.25375014,0.25375014,0.77689532
1.20741483,-0.77874048,-0.25532607,0.25532607,0.77874048
1.21242485,-0.78058640,-0.25690655,0.25690655,0.78058640
1.21743487,-0.78243305,-0.25849148,0.25849148,0.78243305
1.22244489,-0.78428043,-0.26008079,0.26008079,0.78428043
1.22745491,-0.78612854,-0.26167442,0.26167442,0.78612854
1.23246493,-0.78797736,-0.26327228,0.26327228,0.78797736
1.23747495,-0.78982689,-0.26487432,0.26487432,0.78982689
1.24248497,-0.79167712,-0.26648046,0.26648046,0.79167712
1.24749499,-0.79352805,-0.26809063,0.26809063,0.79352805
1.25250501,-0.79537966,-0.26970477,0.26970477,0.79537966
1.25751503,-0.79723196,-0.27132281,0.27132281,0.79723196
1.26252505,-0.79908492,-0.27294470,0.27294470,0.79908492
1.26753507,-0.80093856,-0.27457036,0.27457036,0.80093856
1.27254509,-0.80279285,-0.27619974,0.27619974,0.80279285
1.27755511,-0.80464780,-0.27783278,0.27783278,0.80464780
1.28256513,-0.80650339,-0.27946942,0.27946942,0.80650339
1.28757515,-0.80835963,-0.28110960,0.28110960,0.80835963
1.29258517,-0.81021650,-0.28275327,0.28275327,0.81021650
1.29759519,-0.81207400,-0.28440037,0.28440037,0.81207400
1.30260521,-0.81393212,-0.28605085,0.28605085,0.81393212
1.30761523,-0.81579085,-0.28770465,0.28770465,0.81579085
1.31262525,-0.81765020,-0.28936172,0.28936172,0.81765020
1.31763527,-0.81951015,-0.29102202,0.29102202,0.81951015
1.32264529,-0.82137069,-0.29268548,0.29268548,0.82137069
1.32765531,-0.82323183,-0.29435207,0.29435207,0.82323183
1.33266533,-0.82509356,-0.29602174,0.29602174,0.82509356
1.33767535,-0.82695587,-0.29769443,0.29769443,0.82695587
1.34268537,-0.82881875,-0.29937010,0.29937010,0.82881875
1.34769539,-0.83068220,-0.30104871,0.30104871,0.83068220
1.35270541,-0.83254622,-0.30273021,0.30273021,0.83254622
1.35771543,-0.83441080,-0.30441456,0.30441456,0.83441080
1.36272545,-0.83627593,-0.30610171,0.30610171,0.83627593
1.36773547,-0.83814161,-0.30779163,0.30779163,0.83814161
1.37274549,-0.84000783,-0.30948426,0.30948426,0.84000783
1.37775551,-0.84187459,-0.31117958,0.31117958,0.84187459
1.38276553,-0.84374189,-0.31287754,0.31287754,0.84374189
1.38777555,-0.84560971,-0.31457810,0.31457810,0.84560971
1.39278557,-0.84747806,-0.31628122,0.31628122,0.84747806
1.39779559,-0.84934692,-0.31798688,0.31798688,0.84934692
1.40280561,-0.85121630,-0.31969502,0.31969502,0.85121630
1.40781563,-0.85308620,-0.32140561,0.32140561,0.85308620
1.41282565,-0.85495659,-0.32311862,0.32311862,0.85495659
1.41783567,-0.85682749,-0.32483402,0.32483402,0.85682749
1.42284569,-0.85869888,-0.32655177,0.32655177,0.85869888
1.42785571,-0.86057076,-0.32827183,0.32827183,0.86057076
1.43286573,-0.86244313,-0.32999417,0.32999417,0.86244313
1.43787575,-0.86431598,-0.33171876,0.33171876,0.86431598
1.44288577,-0.86618931,-0.33344557,0.33344557,0.86618931
1.44789579,-0.86806311,-0.33517457,0.33517457,0.86806311
1.45290581,-0.86993739,-0.33690572,0.33690572,0.86993739
1.45791583,-0.87181212,-0.33863900,0.33863900,0.87181212
1.46292585,-0.87368732,-0.34037437,0.34037437,0.87368732
1.46793587,-0.87556298,-0.34211182,0.34211182,0.87556298
1.47294589,-0.87743909,-0.34385130,0.34385130,0.87743909
1.47795591,-0.87931565,-0.34559279,0.34559279,0.87931565
1.48296593,-0.88119266,-0.34733626,0.34733626,0.88119266
1.48797595,-0.88307010,-0.34908169,0.34908169,0.88307010
1.49298597,-0.88494799,-0.35082906,0.35082906,0.88494799
1.49799599,-0.88682630,-0.35257832,0.35257832,0.88682630
1.50300601,-0.88870505,-0.35432946,0.35432946,0.88870505
1.50801603,-0.89058423,-0.35608245,0.35608245,0.89058423
1.51302605,-0.89246382,-0.35783728,0.35783728,0.89246382
1.51803607,-0.89434384,-0.35959390,0.35959390,0.89434384
1.52304609,-0.89622427,-0.36135230,0.36135230,0.89622427
1.52805611,-0.89810511,-0.36311246,0.36311246,0.89810511
1.53306613,-0.89998637,-0.36487436,0.36487436,0.89998637
1.53807615,-0.90186802,-0.36663796,0.36663796,0.90186802
1.54308617,-0.90375008,-0.36840325,0.36840325,0.90375008
1.54809619,-0.90563254,-0.37017020,0.37017020,0.90563254
1.55310621,-0.90751539,-0.37193880,0.37193880,0.90751539
1.55811623,-0.90939864,-0.37370902,0.37370902,0.90939864
1.56312625,-0.91128227,-0.37548084,0.37548084,0.91128227
1.56813627,-0.91316628,-0.37725424,0.37725424,0.91316628
1.57314629,-0.91505068,-0.37902921,0.37902921,0.91505068
1.57815631,-0.91693546,-0.38080571,0.38080571,0.91693546
1.58316633,-0.91882061,-0.38258374,0.38258374,0.91882061
1.58817635,-0.92070614,-0.38436326,0.38436326,0.92070614
1.59318637,-0.92259204,-0.38614427,0.38614427,0.92259204
1.59819639,-0.92447830,-0.38792675,0.38792675,0.92447830
1.60320641,-0.92636492,-0.38971067,0.38971067,0.92636492
1.60821643,-0.92825191,-0.39149602,0.39149602,0.92825191
1.61322645,-0.93013925,-0.39328278,0.39328278,0.93013925
1.61823647,-0.93202695,-0.39507093,0.39507093,0.93202695
1.62324649,-0.93391500,-0.39686046,0.39686046,0.93391500
1.62825651,-0.93580340,-0.39865135,0.39865135,0.93580340
1.63326653,-0.93769215,-0.40044358,0.40044358,0.93769215
1.63827655,-0.93958123,-0.40223714,0.40223714,0.93958123
1.64328657,-0.94147066,-0.40403200,0.40403200,0.94147066
1.64829659,-0.94336043,-0.40582816,0.40582816,0.94336043
1.65330661,-0.94525053,-0.40762560,0.40762560,0.94525053
1.65831663,-0.94714097,-0.40942430,0.40942430,0.94714097
1.66332665,-0.94903174,-0.41122425,0.41122425,0.94903174
1.66833667,-0.95092283,-0.41302543,0.41302543,0.95092283
1.67334669,-0.95281425,-0.41482784,0.41482784,0.95281425
1.67835671,-0.95470599,-0.41663144,0.41663144,0.95470599
1.68336673,-0.95659805,-0.41843624,0.41843624,0.95659805
1.68837675,-0.95849042,-0.42024221,0.42024221,0.95849042
1.69338677,-0.96038312,-0.42204934,0.42204934,0.96038312
1.69839679,-0.96227612,-0.42385762,0.42385762,0.96227612
1.70340681,-0.96416944,-0.42566704,0.42566704,0.96416944
1.70841683,-0.96606306,-0.42747758,0.42747758,0.96606306
1.71342685,-0.96795699,-0.42928923,0.42928923,0.96795699
1.71843687,-0.96985122,-0.43110197,0.43110197,0.96985122
1.72344689,-0.97174575,-0.43291580,0.43291580,0.97174575
1.72845691,-0.97364058,-0.43473070,0.43473070,0.97364058
1.73346693,-0.97553570,-0.43654666,0.43654666,0.97553570
1.73847695,-0.97743112,-0.43836367,0.43836367,0.97743112
1.74348697,-0.97932683,-0.44018171,0.44018171,0.97932683
1.74849699,-0.98122284,-0.44200077,0.44200077,0.98122284
1.75350701,-0.98311912,-0.44382085,0.44382085,0.98311912
1.75851703,-0.98501570,-0.44564193,0.44564193,0.98501570
1.76352705,-0.98691255,-0.44746400,0.44746400,0.98691255
1.76853707,-0.98880969,-0.44928705,0.44928705,0.98880969
1.77354709,-0.99070710,-0.45111107,0.45111107,0.99070710
