# alpha,gamma_b,dominant_mode_id,max_growth_rate
1.000000e-01,1.000000e+00,0.000000e+00,3.190465e-01
1.029576e-01,1.000000e+00,0.000000e+00,3.221613e-01
1.060026e-01,1.000000e+00,0.000000e+00,3.253065e-01
1.091377e-01,1.000000e+00,0.000000e+00,3.284825e-01
1.123655e-01,1.000000e+00,0.000000e+00,3.316894e-01
1.156888e-01,1.000000e+00,0.000000e+00,3.349277e-01
1.191103e-01,1.000000e+00,0.000000e+00,3.381975e-01
1.226331e-01,1.000000e+00,0.000000e+00,3.414993e-01
1.262600e-01,1.000000e+00,0.000000e+00,3.448333e-01
1.299942e-01,1.000000e+00,0.000000e+00,3.481999e-01
1.338389e-01,1.000000e+00,0.000000e+00,3.515993e-01
1.377972e-01,1.000000e+00,0.000000e+00,3.550320e-01
1.418727e-01,1.000000e+00,0.000000e+00,3.584981e-01
1.460686e-01,1.000000e+00,0.000000e+00,3.619981e-01
1.503887e-01,1.000000e+00,0.000000e+00,3.655322e-01
1.548365e-01,1.000000e+00,0.000000e+00,3.691009e-01
1.594159e-01,1.000000e+00,0.000000e+00,3.727044e-01
1.641307e-01,1.000000e+00,0.000000e+00,3.763431e-01
1.689850e-01,1.000000e+00,0.000000e+00,3.800173e-01
1.739828e-01,1.000000e+00,0.000000e+00,3.837273e-01
1.791284e-01,1.000000e+00,0.000000e+00,3.874736e-01
1.844263e-01,1.000000e+00,0.000000e+00,3.912565e-01
1.898808e-01,1.000000e+00,0.000000e+00,3.950763e-01
1.954966e-01,1.000000e+00,0.000000e+00,3.989334e-01
2.012785e-01,1.000000e+00,0.000000e+00,4.028281e-01
2.072315e-01,1.000000e+00,0.000000e+00,4.067609e-01
2.133605e-01,1.000000e+00,0.000000e+00,4.107321e-01
2.196707e-01,1.000000e+00,0.000000e+00,4.147420e-01
2.261676e-01,1.000000e+00,0.000000e+00,4.187911e-01
2.328566e-01,1.000000e+00,0.000000e+00,4.228797e-01
2.397435e-01,1.000000e+00,0.000000e+00,4.270082e-01
2.468340e-01,1.000000e+00,0.000000e+00,4.311771e-01
2.541343e-01,1.000000e+00,0.000000e+00,4.353866e-01
2.616505e-01,1.000000e+00,0.000000e+00,4.396372e-01
2.693889e-01,1.000000e+00,0.000000e+00,4.439294e-01
2.773563e-01,1.000000e+00,0.000000e+00,4.482634e-01
2.855592e-01,1.000000e+00,0.000000e+00,4.526398e-01
2.940048e-01,1.000000e+00,0.000000e+00,4.570588e-01
3.027002e-01,1.000000e+00,0.000000e+00,4.615211e-01
3.116527e-01,1.000000e+00,0.000000e+00,4.660268e-01
3.208700e-01,1.000000e+00,0.000000e+00,4.705766e-01
3.303599e-01,1.000000e+00,0.000000e+00,4.751708e-01
3.401305e-01,1.000000e+00,0.000000e+00,4.798098e-01
3.501900e-01,1.000000e+00,0.000000e+00,4.844942e-01
3.605471e-01,1.000000e+00,0.000000e+00,4.892242e-01
3.712105e-01,1.000000e+00,0.000000e+00,4.940005e-01
3.821893e-01,1.000000e+00,0.000000e+00,4.988234e-01
3.934927e-01,1.000000e+00,0.000000e+00,5.036933e-01
4.051305e-01,1.000000e+00,0.000000e+00,5.086108e-01
4.171125e-01,1.000000e+00,0.000000e+00,5.135764e-01
4.294488e-01,1.000000e+00,0.000000e+00,5.185903e-01
4.421500e-01,1.000000e+00,0.000000e+00,5.236533e-01
4.552268e-01,1.000000e+00,0.000000e+00,5.287657e-01
4.686904e-01,1.000000e+00,0.000000e+00,5.339280e-01
4.825522e-01,1.000000e+00,0.000000e+00,5.391406e-01
4.968240e-01,1.000000e+00,0.000000e+00,5.444042e-01
5.115178e-01,1.000000e+00,0.000000e+00,5.497192e-01
5.266462e-01,1.000000e+00,0.000000e+00,5.550860e-01
5.422221e-01,1.000000e+00,0.000000e+00,5.605053e-01
5.582586e-01,1.000000e+00,0.000000e+00,5.659774e-01
5.747694e-01,1.000000e+00,0.000000e+00,5.715030e-01
5.917686e-01,1.000000e+00,0.000000e+00,5.770825e-01
6.092705e-01,1.000000e+00,0.000000e+00,5.827165e-01
6.272900e-01,1.000000e+00,0.000000e+00,5.884055e-01
6.458424e-01,1.000000e+00,0.000000e+00,5.941501e-01
6.649436e-01,1.000000e+00,0.000000e+00,5.999507e-01
6.846097e-01,1.000000e+00,0.000000e+00,6.058080e-01
7.048574e-01,1.000000e+00,0.000000e+00,6.117224e-01
7.257040e-01,1.000000e+00,0.000000e+00,6.176946e-01
7.471671e-01,1.000000e+00,0.000000e+00,6.237251e-01
7.692650e-01,1.000000e+00,0.000000e+00,6.298144e-01
7.920164e-01,1.000000e+00,0.000000e+00,6.359633e-01
8.154407e-01,1.000000e+00,0.000000e+00,6.421721e-01
8.395579e-01,1.000000e+00,0.000000e+00,6.484416e-01
8.643883e-01,1.000000e+00,0.000000e+00,6.547722e-01
8.899530e-01,1.000000e+00,0.000000e+00,6.611647e-01
9.162739e-01,1.000000e+00,0.000000e+00,6.676196e-01
9.433732e-01,1.000000e+00,0.000000e+00,6.741375e-01
9.712740e-01,1.000000e+00,0.000000e+00,6.807190e-01
1.000000e+00,1.000000e+00,0.000000e+00,6.873648e-01
1.000000e-01,1.072267e+00,0.000000e+00,2.975438e-01
1.029576e-01,1.072267e+00,0.000000e+00,3.004487e-01
1.060026e-01,1.072267e+00,0.000000e+00,3.033820e-01
1.091377e-01,1.072267e+00,0.000000e+00,3.063438e-01
1.123655e-01,1.072267e+00,0.000000e+00,3.093347e-01
1.156888e-01,1.072267e+00,0.000000e+00,3.123547e-01
1.191103e-01,1.072267e+00,0.000000e+00,3.154041e-01
1.226331e-01,1.072267e+00,0.000000e+00,3.184834e-01
1.262600e-01,1.072267e+00,0.000000e+00,3.215927e-01
1.299942e-01,1.072267e+00,0.000000e+00,3.247324e-01
1.338389e-01,1.072267e+00,0.000000e+00,3.279027e-01
1.377972e-01,1.072267e+00,0.000000e+00,3.311040e-01
1.418727e-01,1.072267e+00,0.000000e+00,3.343365e-01
1.460686e-01,1.072267e+00,0.000000e+00,3.376006e-01
1.503887e-01,1.072267e+00,0.000000e+00,3.408966e-01
1.548365e-01,1.072267e+00,0.000000e+00,3.442247e-01
1.594159e-01,1.072267e+00,0.000000e+00,3.475854e-01
1.641307e-01,1.072267e+00,0.000000e+00,3.509788e-01
1.689850e-01,1.072267e+00,0.000000e+00,3.544054e-01
1.739828e-01,1.072267e+00,0.000000e+00,3.578654e-01
1.791284e-01,1.072267e+00,0.000000e+00,3.613592e-01
1.844263e-01,1.072267e+00,0.000000e+00,3.648871e-01
1.898808e-01,1.072267e+00,0.000000e+00,3.684495e-01
1.954966e-01,1.072267e+00,0.000000e+00,3.720466e-01
2.012785e-01,1.072267e+00,0.000000e+00,3.756789e-01
2.072315e-01,1.072267e+00,0.000000e+00,3.793466e-01
2.133605e-01,1.072267e+00,0.000000e+00,3.830501e-01
2.196707e-01,1.072267e+00,0.000000e+00,3.867898e-01
2.261676e-01,1.072267e+00,0.000000e+00,3.905660e-01
2.328566e-01,1.072267e+00,0.000000e+00,3.943790e-01
2.397435e-01,1.072267e+00,0.000000e+00,3.982293e-01
2.468340e-01,1.072267e+00,0.000000e+00,4.021172e-01
2.541343e-01,1.072267e+00,0.000000e+00,4.060430e-01
2.616505e-01,1.072267e+00,0.000000e+00,4.100072e-01
2.693889e-01,1.072267e+00,0.000000e+00,4.140100e-01
2.773563e-01,1.072267e+00,0.000000e+00,4.180520e-01
2.855592e-01,1.072267e+00,0.000000e+00,4.221334e-01
2.940048e-01,1.072267e+00,0.000000e+00,4.262546e-01
3.027002e-01,1.072267e+00,0.000000e+00,4.304161e-01
3.116527e-01,1.072267e+00,0.000000e+00,4.346182e-01
3.208700e-01,1.072267e+00,0.000000e+00,4.388613e-01
3.303599e-01,1.072267e+00,0.000000e+00,4.431459e-01
3.401305e-01,1.072267e+00,0.000000e+00,4.474723e-01
3.501900e-01,1.072267e+00,0.000000e+00,4.518409e-01
3.605471e-01,1.072267e+00,0.000000e+00,4.562522e-01
3.712105e-01,1.072267e+00,0.000000e+00,4.607065e-01
3.821893e-01,1.072267e+00,0.000000e+00,4.652043e-01
3.934927e-01,1.072267e+00,0.000000e+00,4.697461e-01
4.051305e-01,1.072267e+00,0.000000e+00,4.743322e-01
4.171125e-01,1.072267e+00,0.000000e+00,4.789630e-01
4.294488e-01,1.072267e+00,0.000000e+00,4.836391e-01
4.421500e-01,1.072267e+00,0.000000e+00,4.883608e-01
4.552268e-01,1.072267e+00,0.000000e+00,4.931286e-01
4.686904e-01,1.072267e+00,0.000000e+00,4.979430e-01
4.825522e-01,1.072267e+00,0.000000e+00,5.028044e-01
4.968240e-01,1.072267e+00,0.000000e+00,5.077132e-01
5.115178e-01,1.072267e+00,0.000000e+00,5.126699e-01
5.266462e-01,1.072267e+00,0.000000e+00,5.176751e-01
5.422221e-01,1.072267e+00,0.000000e+00,5.227291e-01
5.582586e-01,1.072267e+00,0.000000e+00,5.278324e-01
5.747694e-01,1.072267e+00,0.000000e+00,5.329856e-01
5.917686e-01,1.072267e+00,0.000000e+00,5.381891e-01
6.092705e-01,1.072267e+00,0.000000e+00,5.434434e-01
6.272900e-01,1.072267e+00,0.000000e+00,5.487490e-01
6.458424e-01,1.072267e+00,0.000000e+00,5.541064e-01
6.649436e-01,1.072267e+00,0.000000e+00,5.595160e-01
6.846097e-01,1.072267e+00,0.000000e+00,5.649785e-01
7.048574e-01,1.072267e+00,0.000000e+00,5.704944e-01
7.257040e-01,1.072267e+00,0.000000e+00,5.760640e-01
7.471671e-01,1.072267e+00,0.000000e+00,5.816881e-01
7.692650e-01,1.072267e+00,0.000000e+00,5.873671e-01
7.920164e-01,1.072267e+00,0.000000e+00,5.931015e-01
8.154407e-01,1.072267e+00,0.000000e+00,5.988919e-01
8.395579e-01,1.072267e+00,0.000000e+00,6.047388e-01
8.643883e-01,1.072267e+00,0.000000e+00,6.106428e-01
8.899530e-01,1.072267e+00,0.000000e+00,6.166044e-01
9.162739e-01,1.072267e+00,0.000000e+00,6.226243e-01
9.433732e-01,1.072267e+00,0.000000e+00,6.287029e-01
9.712740e-01,1.072267e+00,0.000000e+00,6.348408e-01
1.000000e+00,1.072267e+00,0.000000e+00,6.410387e-01
1.000000e-01,1.149757e+00,0.000000e+00,2.774904e-01
1.029576e-01,1.149757e+00,0.000000e+00,2.801995e-01
1.060026e-01,1.149757e+00,0.000000e+00,2.829350e-01
1.091377e-01,1.149757e+00,0.000000e+00,2.856973e-01
1.123655e-01,1.149757e+00,0.000000e+00,2.884865e-01
1.156888e-01,1.149757e+00,0.000000e+00,2.913030e-01
1.191103e-01,1.149757e+00,0.000000e+00,2.941470e-01
1.226331e-01,1.149757e+00,0.000000e+00,2.970187e-01
1.262600e-01,1.149757e+00,0.000000e+00,2.999184e-01
1.299942e-01,1.149757e+00,0.000000e+00,3.028465e-01
1.338389e-01,1.149757e+00,0.000000e+00,3.058032e-01
1.377972e-01,1.149757e+00,0.000000e+00,3.087887e-01
1.418727e-01,1.149757e+00,0.000000e+00,3.118034e-01
1.460686e-01,1.149757e+00,0.000000e+00,3.148475e-01
1.503887e-01,1.149757e+00,0.000000e+00,3.179213e-01
1.548365e-01,1.149757e+00,0.000000e+00,3.210251e-01
1.594159e-01,1.149757e+00,0.000000e+00,3.241593e-01
1.641307e-01,1.149757e+00,0.000000e+00,3.273240e-01
1.689850e-01,1.149757e+00,0.000000e+00,3.305196e-01
1.739828e-01,1.149757e+00,0.000000e+00,3.337465e-01
1.791284e-01,1.149757e+00,0.000000e+00,3.370048e-01
1.844263e-01,1.149757e+00,0.000000e+00,3.402949e-01
1.898808e-01,1.149757e+00,0.000000e+00,3.436172e-01
1.954966e-01,1.149757e+00,0.000000e+00,3.469719e-01
2.012785e-01,1.149757e+00,0.000000e+00,3.503594e-01
2.072315e-01,1.149757e+00,0.000000e+00,3.537799e-01
2.133605e-01,1.149757e+00,0.000000e+00,3.572338e-01
2.196707e-01,1.149757e+00,0.000000e+00,3.607214e-01
2.261676e-01,1.149757e+00,0.000000e+00,3.642431e-01
2.328566e-01,1.149757e+00,0.000000e+00,3.677992e-01
2.397435e-01,1.149757e+00,0.000000e+00,3.713900e-01
2.468340e-01,1.149757e+00,0.000000e+00,3.750158e-01
2.541343e-01,1.149757e+00,0.000000e+00,3.786771e-01
2.616505e-01,1.149757e+00,0.000000e+00,3.823741e-01
2.693889e-01,1.149757e+00,0.000000e+00,3.861071e-01
2.773563e-01,1.149757e+00,0.000000e+00,3.898767e-01
2.855592e-01,1.149757e+00,0.000000e+00,3.936830e-01
2.940048e-01,1.149757e+00,0.000000e+00,3.975265e-01
3.027002e-01,1.149757e+00,0.000000e+00,4.014075e-01
3.116527e-01,1.149757e+00,0.000000e+00,4.053264e-01
3.208700e-01,1.149757e+00,0.000000e+00,4.092835e-01
3.303599e-01,1.149757e+00,0.000000e+00,4.132793e-01
3.401305e-01,1.149757e+00,0.000000e+00,4.173141e-01
3.501900e-01,1.149757e+00,0.000000e+00,4.213883e-01
3.605471e-01,1.149757e+00,0.000000e+00,4.255023e-01
3.712105e-01,1.149757e+00,0.000000e+00,4.296564e-01
3.821893e-01,1.149757e+00,0.000000e+00,4.338511e-01
3.934927e-01,1.149757e+00,0.000000e+00,4.380868e-01
4.051305e-01,1.149757e+00,0.000000e+00,4.423638e-01
4.171125e-01,1.149757e+00,0.000000e+00,4.466825e-01
4.294488e-01,1.149757e+00,0.000000e+00,4.510434e-01
4.421500e-01,1.149757e+00,0.000000e+00,4.554469e-01
4.552268e-01,1.149757e+00,0.000000e+00,4.598934e-01
4.686904e-01,1.149757e+00,0.000000e+00,4.643833e-01
4.825522e-01,1.149757e+00,0.000000e+00,4.689170e-01
4.968240e-01,1.149757e+00,0.000000e+00,4.734950e-01
5.115178e-01,1.149757e+00,0.000000e+00,4.781177e-01
5.266462e-01,1.149757e+00,0.000000e+00,4.827855e-01
5.422221e-01,1.149757e+00,0.000000e+00,4.874989e-01
5.582586e-01,1.149757e+00,0.000000e+00,4.922583e-01
5.747694e-01,1.149757e+00,0.000000e+00,4.970642e-01
5.917686e-01,1.149757e+00,0.000000e+00,5.019170e-01
6.092705e-01,1.149757e+00,0.000000e+00,5.068171e-01
6.272900e-01,1.149757e+00,0.000000e+00,5.117651e-01
6.458424e-01,1.149757e+00,0.000000e+00,5.167614e-01
6.649436e-01,1.149757e+00,0.000000e+00,5.218065e-01
6.846097e-01,1.149757e+00,0.000000e+00,5.269009e-01
7.048574e-01,1.149757e+00,0.000000e+00,5.320450e-01
7.257040e-01,1.149757e+00,0.000000e+00,5.372393e-01
7.471671e-01,1.149757e+00,0.000000e+00,5.424843e-01
7.692650e-01,1.149757e+00,0.000000e+00,5.477805e-01
7.920164e-01,1.149757e+00,0.000000e+00,5.531284e-01
8.154407e-01,1.149757e+00,0.000000e+00,5.585285e-01
8.395579e-01,1.149757e+00,0.000000e+00,5.639814e-01
8.643883e-01,1.149757e+00,0.000000e+00,5.694875e-01
8.899530e-01,1.149757e+00,0.000000e+00,5.750473e-01
9.162739e-01,1.149757e+00,0.000000e+00,5.806615e-01
9.433732e-01,1.149757e+00,0.000000e+00,5.863304e-01
9.712740e-01,1.149757e+00,0.000000e+00,5.920547e-01
1.000000e+00,1.149757e+00,0.000000e+00,5.978349e-01
1.000000e-01,1.232847e+00,0.000000e+00,2.587884e-01
1.029576e-01,1.232847e+00,0.000000e+00,2.613150e-01
1.060026e-01,1.232847e+00,0.000000e+00,2.638662e-01
1.091377e-01,1.232847e+00,0.000000e+00,2.664423e-01
1.123655e-01,1.232847e+00,0.000000e+00,2.690435e-01
1.156888e-01,1.232847e+00,0.000000e+00,2.716701e-01
1.191103e-01,1.232847e+00,0.000000e+00,2.743224e-01
1.226331e-01,1.232847e+00,0.000000e+00,2.770006e-01
1.262600e-01,1.232847e+00,0.000000e+00,2.797049e-01
1.299942e-01,1.232847e+00,0.000000e+00,2.824357e-01
1.338389e-01,1.232847e+00,0.000000e+00,2.851931e-01
1.377972e-01,1.232847e+00,0.000000e+00,2.879774e-01
1.418727e-01,1.232847e+00,0.000000e+00,2.907889e-01
1.460686e-01,1.232847e+00,0.000000e+00,2.936278e-01
1.503887e-01,1.232847e+00,0.000000e+00,2.964945e-01
