r_over_r0,R_lattice,V_lattice
3.09296482,18.21756281,1.43654760
3.10201005,18.27083920,1.43858702
3.11105528,18.32411558,1.44062610
3.12010050,18.37739196,1.44266485
3.12914573,18.43066834,1.44470327
3.13819095,18.48394472,1.44674136
3.14723618,18.53722111,1.44877914
3.15628141,18.59049749,1.45081659
3.16532663,18.64377387,1.45285372
3.17437186,18.69705025,1.45489054
3.18341709,18.75032663,1.45692705
3.19246231,18.80360302,1.45896324
3.20150754,18.85687940,1.46099914
3.21055276,18.91015578,1.46303472
3.21959799,18.96343216,1.46507001
3.22864322,19.01670854,1.46710499
3.23768844,19.06998492,1.46913968
3.24673367,19.12326131,1.47117407
3.25577889,19.17653769,1.47320818
3.26482412,19.22981407,1.47524199
3.27386935,19.28309045,1.47727552
3.28291457,19.33636683,1.47930876
3.29195980,19.38964322,1.48134172
3.30100503,19.44291960,1.48337440
3.31005025,19.49619598,1.48540680
3.31909548,19.54947236,1.48743892
3.32814070,19.60274874,1.48947078
3.33718593,19.65602513,1.49150236
3.34623116,19.70930151,1.49353367
3.35527638,19.76257789,1.49556472
3.36432161,19.81585427,1.49759550
3.37336683,19.86913065,1.49962602
3.38241206,19.92240704,1.50165628
3.39145729,19.97568342,1.50368629
3.40050251,20.02895980,1.50571603
3.40954774,20.08223618,1.50774553
3.41859296,20.13551256,1.50977477
3.42763819,20.18878894,1.51180376
3.43668342,20.24206533,1.51383250
3.44572864,20.29534171,1.51586100
3.45477387,20.34861809,1.51788925
3.46381910,20.40189447,1.51991726
3.47286432,20.45517085,1.52194503
3.48190955,20.50844724,1.52397256
3.49095477,20.56172362,1.52599986
3.50000000,20.61500000,1.52802692
