lambda,overlap_N4_d3,error_N4_d3,penalty_N4_d3
0.00000000e+00,0.99956010,3.99723610e-04,0.00000000e+00
1.00000000e-04,0.99907521,4.00331119e-04,1.81980261e-04
5.00000000e-04,0.98751736,4.14758172e-04,4.53918234e-03
1.00000000e-03,0.95236802,4.57984008e-04,1.80281767e-02
3.00000000e-03,0.65617687,7.72048285e-04,1.50329297e-01
