t_over_tau_th,nr_frac_eps_0.0,nr_frac_eps_0.05,nr_frac_eps_0.1,nr_frac_eps_0.2,nr_frac_eps_0.3,nr_frac_eps_0.5
1.29129129e+01,4.67227990e-04,2.94180736e-04,2.28139787e-04,1.43514605e-04,8.63215253e-05,9.43973976e-06
1.32132132e+01,4.78094014e-04,3.01021844e-04,2.33445104e-04,1.46852035e-04,8.83289606e-05,9.65926946e-06
1.35135135e+01,4.88960050e-04,3.07862938e-04,2.38750410e-04,1.50189460e-04,9.03363941e-05,9.87879919e-06
1.38138138e+01,4.99826098e-04,3.14704018e-04,2.44055703e-04,1.53526879e-04,9.23438256e-05,1.00983290e-05
1.41141141e+01,5.10692157e-04,3.21545084e-04,2.49360985e-04,1.56864292e-04,9.43512552e-05,1.03178588e-05
1.44144144e+01,5.21558228e-04,3.28386136e-04,2.54666256e-04,1.60201700e-04,9.63586829e-05,1.05373886e-05
1.47147147e+01,5.32424311e-04,3.35227175e-04,2.59971514e-04,1.63539103e-04,9.83661087e-05,1.07569185e-05
1.50150150e+01,5.43290405e-04,3.42068199e-04,2.65276761e-04,1.66876500e-04,1.00373533e-04,1.09764485e-05
1.53153153e+01,5.54156511e-04,3.48909210e-04,2.70581996e-04,1.70213892e-04,1.02380955e-04,1.11959785e-05
1.56156156e+01,5.65022628e-04,3.55750207e-04,2.75887219e-04,1.73551279e-04,1.04388375e-04,1.14155085e-05
1.59159159e+01,5.75888757e-04,3.62591190e-04,2.81192430e-04,1.76888660e-04,1.06395793e-04,1.16350385e-05
1.62162162e+01,5.86754898e-04,3.69432159e-04,2.86497630e-04,1.80226036e-04,1.08403209e-04,1.18545686e-05
1.65165165e+01,5.97621050e-04,3.76273114e-04,2.91802817e-04,1.83563406e-04,1.10410623e-04,1.20740988e-05
1.68168168e+01,6.08487214e-04,3.83114056e-04,2.97107993e-04,1.86900771e-04,1.12418036e-04,1.22936289e-05
1.71171171e+01,6.19353390e-04,3.89954983e-04,3.02413158e-04,1.90238130e-04,1.14425446e-04,1.25131591e-05
1.74174174e+01,6.30219577e-04,3.96795897e-04,3.07718310e-04,1.93575484e-04,1.16432855e-04,1.27326894e-05
1.77177177e+01,6.41085776e-04,4.03636797e-04,3.13023451e-04,1.96912833e-04,1.18440262e-04,1.29522197e-05
1.80180180e+01,6.51951986e-04,4.10477683e-04,3.18328579e-04,2.00250176e-04,1.20447666e-04,1.31717500e-05
1.83183183e+01,6.62818208e-04,4.17318555e-04,3.23633696e-04,2.03587514e-04,1.22455069e-04,1.33912804e-05
1.86186186e+01,6.73684442e-04,4.24159413e-04,3.28938802e-04,2.06924846e-04,1.24462470e-04,1.36108108e-05
1.89189189e+01,6.84550687e-04,4.31000257e-04,3.34243895e-04,2.10262173e-04,1.26469869e-04,1.38303412e-05
1.92192192e+01,6.95416943e-04,4.37841088e-04,3.39548977e-04,2.13599494e-04,1.28477267e-04,1.40498717e-05
1.95195195e+01,7.06283212e-04,4.44681905e-04,3.44854047e-04,2.16936810e-04,1.30484662e-04,1.42694023e-05
1.98198198e+01,7.17149492e-04,4.51522707e-04,3.50159105e-04,2.20274121e-04,1.32492055e-04,1.44889328e-05
2.01201201e+01,7.28015783e-04,4.58363496e-04,3.55464151e-04,2.23611426e-04,1.34499447e-04,1.47084634e-05
2.04204204e+01,7.38882086e-04,4.65204271e-04,3.60769186e-04,2.26948726e-04,1.36506836e-04,1.49279941e-05
2.07207207e+01,7.49748401e-04,4.72045032e-04,3.66074209e-04,2.30286021e-04,1.38514224e-04,1.51475248e-05
2.10210210e+01,7.60614727e-04,4.78885780e-04,3.71379220e-04,2.33623310e-04,1.40521609e-04,1.53670555e-05
2.13213213e+01,7.71481065e-04,4.85726513e-04,3.76684219e-04,2.36960593e-04,1.42528993e-04,1.55865863e-05
2.16216216e+01,7.82347415e-04,4.92567233e-04,3.81989206e-04,2.40297871e-04,1.44536375e-04,1.58061171e-05
2.19219219e+01,7.93213776e-04,4.99407938e-04,3.87294182e-04,2.43635144e-04,1.46543755e-04,1.60256479e-05
2.22222222e+01,8.04080148e-04,5.06248630e-04,3.92599146e-04,2.46972411e-04,1.48551133e-04,1.62451788e-05
2.25225225e+01,8.14946532e-04,5.13089308e-04,3.97904098e-04,2.50309673e-04,1.50558509e-04,1.64647097e-05
2.28228228e+01,8.25812928e-04,5.19929972e-04,4.03209038e-04,2.53646930e-04,1.52565883e-04,1.66842407e-05
2.31231231e+01,8.36679335e-04,5.26770623e-04,4.08513967e-04,2.56984181e-04,1.54573256e-04,1.69037717e-05
2.34234234e+01,8.47545754e-04,5.33611259e-04,4.13818884e-04,2.60321427e-04,1.56580626e-04,1.71233027e-05
2.37237237e+01,8.58412184e-04,5.40451881e-04,4.19123789e-04,2.63658667e-04,1.58587995e-04,1.73428338e-05
2.40240240e+01,8.69278626e-04,5.47292490e-04,4.24428682e-04,2.66995902e-04,1.60595361e-04,1.75623649e-05
2.43243243e+01,8.80145080e-04,5.54133085e-04,4.29733563e-04,2.70333131e-04,1.62602726e-04,1.77818961e-05
2.46246246e+01,8.91011544e-04,5.60973666e-04,4.35038433e-04,2.73670355e-04,1.64610089e-04,1.80014273e-05
2.49249249e+01,9.01878021e-04,5.67814233e-04,4.40343291e-04,2.77007574e-04,1.66617450e-04,1.82209585e-05
2.52252252e+01,9.12744509e-04,5.74654786e-04,4.45648137e-04,2.80344787e-04,1.68624809e-04,1.84404898e-05
2.55255255e+01,9.23611009e-04,5.81495325e-04,4.50952971e-04,2.83681995e-04,1.70632166e-04,1.86600211e-05
2.58258258e+01,9.34477520e-04,5.88335850e-04,4.56257793e-04,2.87019197e-04,1.72639521e-04,1.88795525e-05
2.61261261e+01,9.45344042e-04,5.95176362e-04,4.61562604e-04,2.90356394e-04,1.74646874e-04,1.90990839e-05
2.64264264e+01,9.56210577e-04,6.02016859e-04,4.66867403e-04,2.93693585e-04,1.76654226e-04,1.93186153e-05
2.67267267e+01,9.67077122e-04,6.08857343e-04,4.72172190e-04,2.97030771e-04,1.78661575e-04,1.95381468e-05
2.70270270e+01,9.77943679e-04,6.15697813e-04,4.77476965e-04,3.00367952e-04,1.80668923e-04,1.97576783e-05
2.73273273e+01,9.88810248e-04,6.22538269e-04,4.82781729e-04,3.03705127e-04,1.82676268e-04,1.99772099e-05
2.76276276e+01,9.99676828e-04,6.29378711e-04,4.88086481e-04,3.07042297e-04,1.84683612e-04,2.01967414e-05
2.79279279e+01,1.01054342e-03,6.36219139e-04,4.93391221e-04,3.10379461e-04,1.86690954e-04,2.04162731e-05
2.82282282e+01,1.02141002e-03,6.43059554e-04,4.98695949e-04,3.13716620e-04,1.88698294e-04,2.06358048e-05
2.85285285e+01,1.03227664e-03,6.49899954e-04,5.04000665e-04,3.17053774e-04,1.90705631e-04,2.08553365e-05
2.88288288e+01,1.04314326e-03,6.56740341e-04,5.09305370e-04,3.20390922e-04,1.92712968e-04,2.10748682e-05
2.91291291e+01,1.05400990e-03,6.63580713e-04,5.14610063e-04,3.23728065e-04,1.94720302e-04,2.12944000e-05
2.94294294e+01,1.06487655e-03,6.70421072e-04,5.19914744e-04,3.27065202e-04,1.96727634e-04,2.15139318e-05
2.97297297e+01,1.07574321e-03,6.77261417e-04,5.25219413e-04,3.30402334e-04,1.98734964e-04,2.17334637e-05
3.00300300e+01,1.08660988e-03,6.84101748e-04,5.30524070e-04,3.33739461e-04,2.00742293e-04,2.19529956e-05
3.03303303e+01,1.09747657e-03,6.90942066e-04,5.35828716e-04,3.37076582e-04,2.02749619e-04,2.21725276e-05
3.06306306e+01,1.10834326e-03,6.97782369e-04,5.41133350e-04,3.40413697e-04,2.04756944e-04,2.23920596e-05
