epsilon, gamma_D_over_gamma_D_cyl
5.30653266e-01,7.75086985e-04
5.33668342e-01,0.00000000e+00
5.36683417e-01,0.00000000e+00
5.39698492e-01,0.00000000e+00
5.42713568e-01,0.00000000e+00
5.45728643e-01,0.00000000e+00
5.48743719e-01,0.00000000e+00
5.51758794e-01,0.00000000e+00
5.54773869e-01,0.00000000e+00
5.57788945e-01,0.00000000e+00
5.60804020e-01,0.00000000e+00
5.63819095e-01,0.00000000e+00
5.66834171e-01,0.00000000e+00
5.69849246e-01,0.00000000e+00
5.72864322e-01,0.00000000e+00
5.75879397e-01,0.00000000e+00
5.78894472e-01,0.00000000e+00
5.81909548e-01,0.00000000e+00
5.84924623e-01,0.00000000e+00
5.87939698e-01,0.00000000e+00
5.90954774e-01,0.00000000e+00
5.93969849e-01,0.00000000e+00
5.96984925e-01,0.00000000e+00
6.00000000e-01,0.00000000e+00
