t_over_tau_th, nr_over_ntot_with_avalanche, nr_over_ntot_without_avalanche
2.34117059e+01,5.13609161e-05,5.13431305e-05
2.36118059e+01,5.18000403e-05,5.17819493e-05
2.38119060e+01,5.22391669e-05,5.22207679e-05
2.40120060e+01,5.26782958e-05,5.26595863e-05
2.42121061e+01,5.31174272e-05,5.30984046e-05
2.44122061e+01,5.35565610e-05,5.35372226e-05
2.46123062e+01,5.39956972e-05,5.39760405e-05
2.48124062e+01,5.44348358e-05,5.44148581e-05
2.50125063e+01,5.48739768e-05,5.48536756e-05
2.52126063e+01,5.53131202e-05,5.52924928e-05
2.54127064e+01,5.57522661e-05,5.57313099e-05
2.56128064e+01,5.61914143e-05,5.61701268e-05
2.58129065e+01,5.66305650e-05,5.66089435e-05
2.60130065e+01,5.70697180e-05,5.70477600e-05
2.62131066e+01,5.75088735e-05,5.74865763e-05
2.64132066e+01,5.79480313e-05,5.79253924e-05
2.66133067e+01,5.83871916e-05,5.83642084e-05
2.68134067e+01,5.88263542e-05,5.88030241e-05
2.70135068e+01,5.92655193e-05,5.92418396e-05
2.72136068e+01,5.97046868e-05,5.96806550e-05
2.74137069e+01,6.01438567e-05,6.01194701e-05
2.76138069e+01,6.05830290e-05,6.05582851e-05
2.78139070e+01,6.10222037e-05,6.09970999e-05
2.80140070e+01,6.14613808e-05,6.14359144e-05
2.82141071e+01,6.19005604e-05,6.18747288e-05
2.84142071e+01,6.23397423e-05,6.23135430e-05
2.86143072e+01,6.27789267e-05,6.27523570e-05
2.88144072e+01,6.32181134e-05,6.31911708e-05
2.90145073e+01,6.36573026e-05,6.36299844e-05
2.92146073e+01,6.40964941e-05,6.40687979e-05
2.94147074e+01,6.45356881e-05,6.45076111e-05
2.96148074e+01,6.49748844e-05,6.49464241e-05
2.98149075e+01,6.54140832e-05,6.53852370e-05
3.00150075e+01,6.58532844e-05,6.58240496e-05
3.02151076e+01,6.62924880e-05,6.62628621e-05
3.04152076e+01,6.67316940e-05,6.67016743e-05
3.06153077e+01,6.71709024e-05,6.71404864e-05
3.08154077e+01,6.76101132e-05,6.75792983e-05
3.10155078e+01,6.80493265e-05,6.80181100e-05
3.12156078e+01,6.84885421e-05,6.84569215e-05
3.14157079e+01,6.89277601e-05,6.88957328e-05
3.16158079e+01,6.93669806e-05,6.93345439e-05
3.18159080e+01,6.98062034e-05,6.97733548e-05
3.20160080e+01,7.02454287e-05,7.02121655e-05
3.22161081e+01,7.06846564e-05,7.06509761e-05
