# Figure 4: Momentum evolution (relaxation equations)
# Columns: time[s], p_parallel[m0c], p_perpendicular[m0c], gamma, energy_MeV
time,p_parallel,p_perpendicular,gamma,energy_MeV
2.41524152e-02,7.81527265e+00,9.97041685e-01,7.94182464e+00,3.54726510e+00
2.45024502e-02,7.85607426e+00,9.97007324e-01,7.98197509e+00,3.56778194e+00
2.48524852e-02,7.89687589e+00,9.96973145e-01,8.02213215e+00,3.58830215e+00
2.52025203e-02,7.93767752e+00,9.96939144e-01,8.06229571e+00,3.60882569e+00
2.55525553e-02,7.97847917e+00,9.96905321e-01,8.10246568e+00,3.62935251e+00
2.59025903e-02,8.01928084e+00,9.96871672e-01,8.14264197e+00,3.64988255e+00
2.62526253e-02,8.06008251e+00,9.96838197e-01,8.18282448e+00,3.67041577e+00
2.66026603e-02,8.10088420e+00,9.96804894e-01,8.22301312e+00,3.69095212e+00
2.69526953e-02,8.14168589e+00,9.96771760e-01,8.26320780e+00,3.71149156e+00
2.73027303e-02,8.18248760e+00,9.96738795e-01,8.30340843e+00,3.73203404e+00
2.76527653e-02,8.22328932e+00,9.96705996e-01,8.34361493e+00,3.75257952e+00
2.80028003e-02,8.26409105e+00,9.96673361e-01,8.38382721e+00,3.77312795e+00
2.83528353e-02,8.30489279e+00,9.96640890e-01,8.42404519e+00,3.79367930e+00
2.87028703e-02,8.34569455e+00,9.96608580e-01,8.46426879e+00,3.81423351e+00
2.90529053e-02,8.38649631e+00,9.96576430e-01,8.50449792e+00,3.83479056e+00
2.94029403e-02,8.42729808e+00,9.96544439e-01,8.54473251e+00,3.85535039e+00
2.97529753e-02,8.46809986e+00,9.96512604e-01,8.58497249e+00,3.87591298e+00
3.01030103e-02,8.50890166e+00,9.96480924e-01,8.62521777e+00,3.89647828e+00
3.04530453e-02,8.54970346e+00,9.96449397e-01,8.66546829e+00,3.91704625e+00
3.08030803e-02,8.59050527e+00,9.96418024e-01,8.70572396e+00,3.93761685e+00
3.11531153e-02,8.63130709e+00,9.96386800e-01,8.74598472e+00,3.95819006e+00
3.15031503e-02,8.67210892e+00,9.96355726e-01,8.78625050e+00,3.97876583e+00
3.18531853e-02,8.71291076e+00,9.96324800e-01,8.82652123e+00,3.99934413e+00
3.22032203e-02,8.75371261e+00,9.96294021e-01,8.86679684e+00,4.01992493e+00
3.25532553e-02,8.79451447e+00,9.96263386e-01,8.90707727e+00,4.04050818e+00
3.29032903e-02,8.83531633e+00,9.96232895e-01,8.94736244e+00,4.06109386e+00
3.32533253e-02,8.87611821e+00,9.96202547e-01,8.98765231e+00,4.08168194e+00
3.36033603e-02,8.91692009e+00,9.96172339e-01,9.02794679e+00,4.10227238e+00
3.39533953e-02,8.95772198e+00,9.96142272e-01,9.06824584e+00,4.12286515e+00
3.43034303e-02,8.99852388e+00,9.96112342e-01,9.10854938e+00,4.14346022e+00
3.46534653e-02,9.03932579e+00,9.96082550e-01,9.14885737e+00,4.16405756e+00
3.50035004e-02,9.08012770e+00,9.96052894e-01,9.18916974e+00,4.18465714e+00
3.53535354e-02,9.12092962e+00,9.96023372e-01,9.22948643e+00,4.20525892e+00
3.57035704e-02,9.16173155e+00,9.95993984e-01,9.26980739e+00,4.22586289e+00
3.60536054e-02,9.20253349e+00,9.95964728e-01,9.31013256e+00,4.24646901e+00
3.64036404e-02,9.24333543e+00,9.95935603e-01,9.35046189e+00,4.26707726e+00
3.67536754e-02,9.28413738e+00,9.95906608e-01,9.39079532e+00,4.28768760e+00
3.71037104e-02,9.32493933e+00,9.95877742e-01,9.43113281e+00,4.30830001e+00
3.74537454e-02,9.36574129e+00,9.95849003e-01,9.47147429e+00,4.32891447e+00
3.78037804e-02,9.40654326e+00,9.95820391e-01,9.51181972e+00,4.34953094e+00
3.81538154e-02,9.44734523e+00,9.95791904e-01,9.55216905e+00,4.37014940e+00
3.85038504e-02,9.48814721e+00,9.95763540e-01,9.59252222e+00,4.39076983e+00
3.88538854e-02,9.52894920e+00,9.95735300e-01,9.63287919e+00,4.41139220e+00
3.92039204e-02,9.56975119e+00,9.95707182e-01,9.67323992e+00,4.43201649e+00
3.95539554e-02,9.61055318e+00,9.95679185e-01,9.71360435e+00,4.45264267e+00
3.99039904e-02,9.65135518e+00,9.95651308e-01,9.75397244e+00,4.47327073e+00
4.02540254e-02,9.69215719e+00,9.95623550e-01,9.79434414e+00,4.49390062e+00
4.06040604e-02,9.73295920e+00,9.95595910e-01,9.83471941e+00,4.51453234e+00
4.09540954e-02,9.77376121e+00,9.95568386e-01,9.87509821e+00,4.53516587e+00
4.13041304e-02,9.81456323e+00,9.95540978e-01,9.91548048e+00,4.55580117e+00
4.16541654e-02,9.85536525e+00,9.95513686e-01,9.95586620e+00,4.57643822e+00
4.20042004e-02,9.89616728e+00,9.95486507e-01,9.99625531e+00,4.59707702e+00
4.23542354e-02,9.93696931e+00,9.95459440e-01,1.00366478e+01,4.61771752e+00
4.27042704e-02,9.97777134e+00,9.95432486e-01,1.00770436e+01,4.63835972e+00
4.30543054e-02,1.00185734e+01,9.95405643e-01,1.01174426e+01,4.65900360e+00
4.34043404e-02,1.00593754e+01,9.95378911e-01,1.01578449e+01,4.67964913e+00
4.37543754e-02,1.01001775e+01,9.95352287e-01,1.01982504e+01,4.70029629e+00
4.41044104e-02,1.01409795e+01,9.95325772e-01,1.02386590e+01,4.72094506e+00
4.44544454e-02,1.01817816e+01,9.95299364e-01,1.02790708e+01,4.74159543e+00
4.48044804e-02,1.02225836e+01,9.95273062e-01,1.03194856e+01,4.76224738e+00
4.51545155e-02,1.02633857e+01,9.95246867e-01,1.03599035e+01,4.78290088e+00
4.55045505e-02,1.03041877e+01,9.95220776e-01,1.04003245e+01,4.80355592e+00
4.58545855e-02,1.03449898e+01,9.95194789e-01,1.04407483e+01,4.82421249e+00
4.62046205e-02,1.03857918e+01,9.95168905e-01,1.04811752e+01,4.84487056e+00
4.65546555e-02,1.04265939e+01,9.95143124e-01,1.05216049e+01,4.86553011e+00
4.69046905e-02,1.04673959e+01,9.95117444e-01,1.05620375e+01,4.88619113e+00
4.72547255e-02,1.05081980e+01,9.95091865e-01,1.06024730e+01,4.90685360e+00
4.76047605e-02,1.05490001e+01,9.95066385e-01,1.06429112e+01,4.92751751e+00
4.79547955e-02,1.05898021e+01,9.95041005e-01,1.06833523e+01,4.94818284e+00
4.83048305e-02,1.06306042e+01,9.95015723e-01,1.07237960e+01,4.96884957e+00
4.86548655e-02,1.06714062e+01,9.94990538e-01,1.07642425e+01,4.98951769e+00
4.90049005e-02,1.07122083e+01,9.94965450e-01,1.08046917e+01,5.01018717e+00
4.93549355e-02,1.07530104e+01,9.94940458e-01,1.08451435e+01,5.03085802e+00
4.97049705e-02,1.07938124e+01,9.94915561e-01,1.08855980e+01,5.05153020e+00
5.00550055e-02,1.08346145e+01,9.94890759e-01,1.09260550e+01,5.07220371e+00
5.04050405e-02,1.08754166e+01,9.94866050e-01,1.09665147e+01,5.09287852e+00
5.07550755e-02,1.09162186e+01,9.94841435e-01,1.10069768e+01,5.11355464e+00
5.11051105e-02,1.09570207e+01,9.94816912e-01,1.10474415e+01,5.13423203e+00
5.14551455e-02,1.09978227e+01,9.94792480e-01,1.10879086e+01,5.15491070e+00
5.18051805e-02,1.10386248e+01,9.94768140e-01,1.11283782e+01,5.17559061e+00
5.21552155e-02,1.10794268e+01,9.94743889e-01,1.11688502e+01,5.19627177e+00
5.25052505e-02,1.11202289e+01,9.94719728e-01,1.12093246e+01,5.21695415e+00
