xi,E_mu_0.3,E_mu_0.7
1.10805673,0.87151540,1.10805673
1.11435250,0.86881721,1.11435250
1.12064828,0.86611902,1.12064828
1.12694406,0.86342083,1.12694406
1.13323983,0.86072264,1.13323983
1.13953561,0.85802445,1.13953561
1.14583139,0.85532626,1.14583139
1.15212717,0.85262807,1.15212717
1.15842294,0.84992988,1.15842294
1.16471872,0.84723169,1.16471872
1.17101450,0.84453350,1.17101450
1.17731027,0.84183531,1.17731027
1.18360605,0.83913712,1.18360605
1.18990183,0.83643893,1.18990183
1.19619760,0.83374074,1.19619760
1.20249338,0.83104255,1.20249338
1.20878916,0.82834436,1.20878916
1.21508493,0.82564617,1.21508493
1.22138071,0.82294798,1.22138071
1.22767649,0.82024979,1.22767649
1.23397226,0.81755160,1.23397226
1.24026804,0.81485341,1.24026804
1.24656382,0.81215522,1.24656382
1.25285960,0.80945702,1.25285960
1.25915537,0.80675883,1.25915537
1.26545115,0.80406064,1.26545115
1.27174693,0.80136245,1.27174693
1.27804270,0.79866426,1.27804270
1.28433848,0.79596607,1.28433848
1.29063426,0.79326788,1.29063426
1.29693003,0.79056969,1.29693003
1.30322581,0.78787150,1.30322581
1.30952159,0.78517331,1.30952159
1.31581736,0.78247512,1.31581736
1.32211314,0.77977693,1.32211314
1.32840892,0.77707874,1.32840892
1.33470469,0.77438055,1.33470469
1.34100047,0.77168236,1.34100047
1.34729625,0.76898417,1.34729625
1.35359203,0.76628598,1.35359203
1.35988780,0.76358779,1.35988780
1.36618358,0.76088960,1.36618358
1.37247936,0.75819141,1.37247936
1.37877513,0.75549322,1.37877513
1.38507091,0.75279503,1.38507091
1.39136669,0.75009684,1.39136669
1.39766246,0.74739865,1.39766246
1.40395824,0.74470046,1.40395824
1.41025402,0.74200227,1.41025402
1.41654979,0.73930408,1.41654979
1.42284557,0.73660589,1.42284557
1.42914135,0.73390770,1.42914135
1.43543712,0.73120951,1.43543712
1.44173290,0.72851132,1.44173290
1.44802868,0.72581313,1.44802868
1.45432445,0.72311494,1.45432445
1.46062023,0.72041675,1.46062023
1.46691601,0.71771856,1.46691601
1.47321179,0.71502037,1.47321179
1.47950756,0.71232218,1.47950756
1.48580334,0.70962399,1.48580334
1.49209912,0.70692580,1.49209912
1.49839489,0.70422761,1.49839489
1.50469067,0.70152942,1.50469067
1.51098645,0.69883123,1.51098645
1.51728222,0.69613304,1.51728222
1.52357800,0.69343485,1.52357800
1.52987378,0.69073666,1.52987378
