k,E1_c_2.0,E2_c_2.0,E1_c_5.0,E2_c_5.0,E1_c_20.0,E2_c_20.0
2.17753177,2.36883842,4.59312831,2.38730285,11.11681363,2.39398799,43.77977061
2.18756187,2.37829210,4.61203441,2.39653335,11.16591817,2.40313454,43.97932640
2.19759197,2.38774772,4.63095165,2.40576923,11.21503219,2.41228786,44.17889168
2.20762207,2.39720530,4.64987987,2.41501046,11.26415555,2.42144786,44.37846633
2.21765217,2.40666485,4.66881892,2.42425698,11.31328813,2.43061447,44.57805021
2.22768227,2.41612639,4.68776864,2.43350876,11.36242982,2.43978763,44.77764320
2.23771237,2.42558993,4.70672889,2.44276574,11.41158048,2.44896727,44.97724519
2.24774247,2.43505550,4.72569951,2.45202790,11.46074000,2.45815332,45.17685604
2.25777258,2.44452310,4.74468037,2.46129517,11.50990826,2.46734570,45.37647565
2.26780268,2.45399274,4.76367132,2.47056753,11.55908515,2.47654436,45.57610390
2.27783278,2.46346445,4.78267223,2.47984492,11.60827055,2.48574923,45.77574068
2.28786288,2.47293823,4.80168296,2.48912731,11.65746436,2.49496025,45.97538587
2.29789298,2.48241409,4.82070336,2.49841466,11.70666646,2.50417734,46.17503937
2.30792308,2.49189205,4.83973333,2.50770692,11.75587675,2.51340045,46.37470106
2.31795318,2.50137211,4.85877271,2.51700405,11.80509512,2.52262951,46.57437085
2.32798328,2.51085427,4.87782139,2.52630601,11.85432147,2.53186447,46.77404862
2.33801338,2.52033856,4.89687924,2.53561276,11.90355570,2.54110525,46.97373429
2.34804348,2.52982497,4.91594614,2.54492426,11.95279771,2.55035181,47.17342773
2.35807358,2.53931352,4.93502197,2.55424047,12.00204740,2.55960408,47.37312887
2.36810368,2.54880420,4.95410661,2.56356135,12.05130466,2.56886201,47.57283759
2.37813378,2.55829702,4.97319995,2.57288686,12.10056942,2.57812553,47.77255381
2.38816388,2.56779200,4.99230186,2.58221696,12.14984157,2.58739458,47.97227744
2.39819398,2.57728912,5.01141224,2.59155161,12.19912102,2.59666912,48.17200837
2.40822408,2.58678840,5.03053097,2.60089078,12.24840769,2.60594909,48.37174651
2.41825418,2.59628984,5.04965795,2.61023443,12.29770147,2.61523443,48.57149179
2.42828428,2.60579345,5.06879308,2.61958251,12.34700230,2.62452508,48.77124411
2.43831438,2.61529921,5.08793623,2.62893500,12.39631007,2.63382100,48.97100339
2.44834448,2.62480715,5.10708733,2.63829185,12.44562471,2.64312213,49.17076953
2.45837458,2.63431725,5.12624625,2.64765303,12.49494612,2.65242842,49.37054246
2.46840468,2.64382951,5.14541290,2.65701850,12.54427424,2.66173981,49.57032210
2.47843478,2.65334395,5.16458718,2.66638822,12.59360898,2.67105626,49.77010836
2.48846488,2.66286055,5.18376900,2.67576217,12.64295025,2.68037772,49.96990116
2.49849498,2.67237932,5.20295826,2.68514030,12.69229799,2.68970413,50.16970043
2.50852508,2.68190026,5.22215487,2.69452257,12.74165211,2.69903544,50.36950609
2.51855518,2.69142336,5.24135873,2.70390896,12.79101254,2.70837162,50.56931806
2.52858528,2.70094863,5.26056976,2.71329943,12.84037921,2.71771260,50.76913627
2.53861538,2.71047606,5.27978787,2.72269394,12.88975204,2.72705835,50.96896065
2.54864548,2.72000564,5.29901296,2.73209247,12.93913095,2.73640881,51.16879111
2.55867559,2.72953739,5.31824495,2.74149497,12.98851588,2.74576394,51.36862760
2.56870569,2.73907129,5.33748377,2.75090141,13.03790676,2.75512370,51.56847004
2.57873579,2.74860734,5.35672931,2.76031177,13.08730352,2.76448803,51.76831836
2.58876589,2.75814554,5.37598151,2.76972600,13.13670610,2.77385690,51.96817249
2.59879599,2.76768589,5.39524029,2.77914408,13.18611441,2.78323026,52.16803238
2.60882609,2.77722837,5.41450555,2.78856598,13.23552840,2.79260807,52.36789794
2.61885619,2.78677299,5.43377723,2.79799165,13.28494801,2.80199028,52.56776912
2.62888629,2.79631974,5.45305524,2.80742107,13.33437317,2.81137686,52.76764585
2.63891639,2.80586862,5.47233952,2.81685421,13.38380382,2.82076775,52.96752807
2.64894649,2.81541963,5.49162998,2.82629104,13.43323989,2.83016292,53.16741572
2.65897659,2.82497275,5.51092655,2.83573153,13.48268132,2.83956233,53.36730874
2.66900669,2.83452798,5.53022917,2.84517564,13.53212806,2.84896594,53.56720706
2.67903679,2.84408532,5.54953775,2.85462335,13.58158005,2.85837371,53.76711063
2.68906689,2.85364476,5.56885224,2.86407463,13.63103722,2.86778559,53.96701939
2.69909699,2.86320629,5.58817256,2.87352944,13.68049952,2.87720155,54.16693327
2.70912709,2.87276992,5.60749864,2.88298776,13.72996690,2.88662155,54.36685224
2.71915719,2.88233563,5.62683041,2.89244956,13.77943929,2.89604556,54.56677622
2.72918729,2.89190341,5.64616782,2.90191481,13.82891664,2.90547353,54.76670516
2.73921739,2.90147327,5.66551079,2.91138348,13.87839890,2.91490542,54.96663902
2.74924749,2.91104519,5.68485926,2.92085554,13.92788602,2.92434121,55.16657773
2.75927759,2.92061916,5.70421317,2.93033097,13.97737794,2.93378086,55.36652124
2.76930769,2.93019519,5.72357245,2.93980973,14.02687461,2.94322432,55.56646951
2.77933779,2.93977326,5.74293706,2.94929180,14.07637597,2.95267157,55.76642247
2.78936789,2.94935336,5.76230691,2.95877716,14.12588199,2.96212256,55.96638009
2.79939799,2.95893550,5.78168197,2.96826577,14.17539261,2.97157727,56.16634230
2.80942809,2.96851965,5.80106216,2.97775762,14.22490777,2.98103566,56.36630907
2.81945819,2.97810582,5.82044743,2.98725266,14.27442744,2.99049770,56.56628034
2.82948829,2.98769400,5.83983772,2.99675088,14.32395156,2.99996335,56.76625606
2.83951839,2.99728417,5.85923298,3.00625226,14.37348009,3.00943257,56.96623619
2.84954849,3.00687634,5.87863316,3.01575675,14.42301298,3.01890535,57.16622068
2.85957860,3.01647049,5.89803819,3.02526435,14.47255019,3.02838164,57.36620949
2.86960870,3.02606662,5.91744803,3.03477502,14.52209166,3.03786141,57.56620257
2.87963880,3.03566471,5.93686262,3.04428874,14.57163737,3.04734464,57.76619988
2.88966890,3.04526476,5.95628191,3.05380549,14.62118725,3.05683128,57.96620137
2.89969900,3.05486677,5.97570585,3.06332523,14.67074128,3.06632132,58.16620700
2.90972910,3.06447072,5.99513439,3.07284795,14.72029940,3.07581471,58.36621672
2.91975920,3.07407660,6.01456747,3.08237363,14.76986157,3.08531143,58.56623050
2.92978930,3.08368441,6.03400506,3.09190223,14.81942776,3.09481145,58.76624830
2.93981940,3.09329414,6.05344710,3.10143374,14.86899792,3.10431475,58.96627006
2.94984950,3.10290578,6.07289355,3.11096813,14.91857201,3.11382128,59.16629576
2.95987960,3.11251932,6.09234435,3.12050537,14.96815000,3.12333102,59.36632535
2.96990970,3.12213476,6.11179946,3.13004546,15.01773184,3.13284395,59.56635880
2.97993980,3.13175208,6.13125884,3.13958835,15.06731749,3.14236004,59.76639606
2.98996990,3.14137127,6.15072244,3.14913404,15.11690692,3.15187925,59.96643709
3.00000000,3.15099234,6.17019021,3.15868249,15.16650009,3.16140156,60.16648187
