xi,Z,X,E
2.68200094,0.69677732,1.40780058,1.57079633
2.68829672,0.68790038,1.41215940,1.57079633
2.69459250,0.67899616,1.41646225,1.57079633
2.70088827,0.67006503,1.42070896,1.57079633
2.70718405,0.66110735,1.42489936,1.57079633
2.71347983,0.65212345,1.42903327,1.57079633
2.71977560,0.64311372,1.43311055,1.57079633
2.72607138,0.63407849,1.43713102,1.57079633
2.73236716,0.62501812,1.44109453,1.57079633
2.73866293,0.61593299,1.44500092,1.57079633
2.74495871,0.60682344,1.44885003,1.57079633
2.75125449,0.59768983,1.45264172,1.57079633
2.75755027,0.58853254,1.45637583,1.57079633
2.76384604,0.57935192,1.46005221,1.57079633
2.77014182,0.57014834,1.46367072,1.57079633
2.77643760,0.56092215,1.46723122,1.57079633
2.78273337,0.55167374,1.47073355,1.57079633
2.78902915,0.54240345,1.47417760,1.57079633
2.79532493,0.53311167,1.47756321,1.57079633
2.80162070,0.52379876,1.48089026,1.57079633
2.80791648,0.51446509,1.48415861,1.57079633
2.81421226,0.50511102,1.48736813,1.57079633
2.82050803,0.49573694,1.49051870,1.57079633
2.82680381,0.48634320,1.49361019,1.57079633
2.83309959,0.47693019,1.49664247,1.57079633
2.83939536,0.46749827,1.49961544,1.57079633
2.84569114,0.45804782,1.50252897,1.57079633
2.85198692,0.44857922,1.50538294,1.57079633
2.85828269,0.43909284,1.50817724,1.57079633
2.86457847,0.42958905,1.51091176,1.57079633
2.87087425,0.42006824,1.51358640,1.57079633
2.87717003,0.41053077,1.51620104,1.57079633
2.88346580,0.40097704,1.51875558,1.57079633
2.88976158,0.39140741,1.52124993,1.57079633
2.89605736,0.38182226,1.52368398,1.57079633
2.90235313,0.37222198,1.52605763,1.57079633
2.90864891,0.36260695,1.52837080,1.57079633
2.91494469,0.35297755,1.53062339,1.57079633
2.92124046,0.34333415,1.53281530,1.57079633
2.92753624,0.33367715,1.53494647,1.57079633
2.93383202,0.32400692,1.53701679,1.57079633
2.94012779,0.31432385,1.53902619,1.57079633
2.94642357,0.30462832,1.54097459,1.57079633
2.95271935,0.29492071,1.54286191,1.57079633
2.95901512,0.28520142,1.54468808,1.57079633
2.96531090,0.27547082,1.54645302,1.57079633
2.97160668,0.26572930,1.54815666,1.57079633
2.97790246,0.25597725,1.54979894,1.57079633
2.98419823,0.24621505,1.55137979,1.57079633
2.99049401,0.23644310,1.55289915,1.57079633
