xi,E_naive,E_wilson_r1,E_slac,E_mod_slac_0.5
1.22138071,0.93957294,1.14686634,1.22138071,1.22138071
1.22767649,0.94170965,1.15201848,1.22767649,1.22767649
1.23397226,0.94380904,1.15715921,1.23397226,1.23397226
1.24026804,0.94587102,1.16228846,1.24026804,1.24026804
1.24656382,0.94789551,1.16740620,1.24656382,1.24656382
1.25285960,0.94988243,1.17251238,1.25285960,1.25285960
1.25915537,0.95183170,1.17760693,1.25915537,1.25915537
1.26545115,0.95374324,1.18268981,1.26545115,1.26545115
1.27174693,0.95561698,1.18776098,1.27174693,1.27174693
1.27804270,0.95745284,1.19282037,1.27804270,1.27804270
1.28433848,0.95925075,1.19786795,1.28433848,1.28433848
1.29063426,0.96101064,1.20290365,1.29063426,1.29063426
1.29693003,0.96273243,1.20792744,1.29693003,1.29693003
1.30322581,0.96441607,1.21293925,1.30322581,1.30322581
1.30952159,0.96606148,1.21793905,1.30952159,1.30952159
1.31581736,0.96766860,1.22292677,1.31581736,1.31581736
1.32211314,0.96923737,1.22790238,1.32211314,1.32211314
1.32840892,0.97076771,1.23286583,1.32840892,1.32840892
1.33470469,0.97225958,1.23781705,1.33470469,1.33470469
1.34100047,0.97371292,1.24275601,1.34100047,1.34100047
1.34729625,0.97512765,1.24768265,1.34729625,1.34729625
1.35359203,0.97650374,1.25259694,1.35359203,1.35359203
1.35988780,0.97784112,1.25749880,1.35988780,1.35988780
1.36618358,0.97913974,1.26238821,1.36618358,1.36618358
1.37247936,0.98039956,1.26726511,1.37247936,1.37247936
1.37877513,0.98162051,1.27212945,1.37877513,1.37877513
1.38507091,0.98280255,1.27698119,1.38507091,1.38507091
1.39136669,0.98394564,1.28182027,1.39136669,1.39136669
1.39766246,0.98504973,1.28664665,1.39766246,1.39766246
1.40395824,0.98611478,1.29146028,1.40395824,1.40395824
1.41025402,0.98714074,1.29626111,1.41025402,1.41025402
1.41654979,0.98812757,1.30104910,1.41654979,1.41654979
1.42284557,0.98907524,1.30582419,1.42284557,1.42284557
1.42914135,0.98998370,1.31058635,1.42914135,1.42914135
1.43543712,0.99085292,1.31533552,1.43543712,1.43543712
1.44173290,0.99168287,1.32007165,1.44173290,1.44173290
1.44802868,0.99247351,1.32479471,1.44802868,1.44802868
1.45432445,0.99322482,1.32950463,1.45432445,1.45432445
1.46062023,0.99393675,1.33420139,1.46062023,1.46062023
1.46691601,0.99460929,1.33888492,1.46691601,1.46691601
1.47321179,0.99524241,1.34355518,1.47321179,1.47321179
1.47950756,0.99583607,1.34821213,1.47950756,1.47950756
1.48580334,0.99639027,1.35285572,1.48580334,1.48580334
1.49209912,0.99690497,1.35748591,1.49209912,1.49209912
1.49839489,0.99738016,1.36210264,1.49839489,1.49839489
1.50469067,0.99781582,1.36670588,1.50469067,1.50469067
1.51098645,0.99821192,1.37129557,1.51098645,1.51098645
1.51728222,0.99856846,1.37587168,1.51728222,1.51728222
1.52357800,0.99888542,1.38043415,1.52357800,1.52357800
1.52987378,0.99916279,1.38498294,1.52987378,1.52987378
1.53616955,0.99940055,1.38951801,1.53616955,1.53616955
1.54246533,0.99959870,1.39403931,1.54246533,1.54246533
1.54876111,0.99975723,1.39854679,1.54876111,1.54876111
1.55505688,0.99987614,1.40304042,1.55505688,1.55505688
1.56135266,0.99995541,1.40752014,1.56135266,1.56135266
1.56764844,0.99999505,1.41198592,1.56764844,1.56764844
