xi,E_naive,E_wilson_r1,E_slac,E_mod_slac_0.5
0.16998598,0.16916853,0.16978139,0.16998598,0.16998598
0.17628175,0.17537017,0.17605359,0.17628175,0.17628175
0.18257753,0.18156486,0.18232405,0.18257753,0.18257753
0.18887331,0.18775236,0.18859269,0.18887331,0.18887331
0.19516908,0.19393241,0.19485947,0.19516908,0.19516908
0.20146486,0.20010478,0.20112432,0.20146486,0.20146486
0.20776064,0.20626921,0.20738718,0.20776064,0.20776064
0.21405641,0.21242547,0.21364798,0.21405641,0.21405641
0.22035219,0.21857331,0.21990666,0.22035219,0.22035219
0.22664797,0.22471249,0.22616316,0.22664797,0.22664797
0.23294374,0.23084276,0.23241743,0.23294374,0.23294374
0.23923952,0.23696388,0.23866939,0.23923952,0.23923952
0.24553530,0.24307560,0.24491898,0.24553530,0.24553530
0.25183107,0.24917769,0.25116615,0.25183107,0.25183107
0.25812685,0.25526991,0.25741083,0.25812685,0.25812685
0.26442263,0.26135201,0.26365296,0.26442263,0.26442263
0.27071841,0.26742375,0.26989247,0.27071841,0.27071841
0.27701418,0.27348488,0.27612931,0.27701418,0.27701418
0.28330996,0.27953518,0.28236342,0.28330996,0.28330996
0.28960574,0.28557440,0.28859473,0.28960574,0.28960574
0.29590151,0.29160230,0.29482317,0.29590151,0.29590151
0.30219729,0.29761864,0.30104870,0.30219729,0.30219729
0.30849307,0.30362319,0.30727124,0.30849307,0.30849307
0.31478884,0.30961570,0.31349074,0.31478884,0.31478884
0.32108462,0.31559594,0.31970713,0.32108462,0.32108462
0.32738040,0.32156366,0.32592036,0.32738040,0.32738040
0.33367617,0.32751865,0.33213035,0.33367617,0.33367617
0.33997195,0.33346065,0.33833705,0.33997195,0.33997195
0.34626773,0.33938943,0.34454040,0.34626773,0.34626773
0.35256350,0.34530476,0.35074034,0.35256350,0.35256350
0.35885928,0.35120641,0.35693680,0.35885928,0.35885928
0.36515506,0.35709413,0.36312972,0.36515506,0.36515506
0.37145083,0.36296770,0.36931905,0.37145083,0.37145083
0.37774661,0.36882689,0.37550471,0.37774661,0.37774661
0.38404239,0.37467145,0.38168666,0.38404239,0.38404239
0.39033817,0.38050117,0.38786482,0.39033817,0.39033817
0.39663394,0.38631580,0.39403914,0.39663394,0.39663394
0.40292972,0.39211512,0.40020955,0.40292972,0.40292972
0.40922550,0.39789889,0.40637600,0.40922550,0.40922550
0.41552127,0.40366690,0.41253842,0.41552127,0.41552127
0.42181705,0.40941891,0.41869676,0.42181705,0.42181705
0.42811283,0.41515469,0.42485094,0.42811283,0.42811283
0.43440860,0.42087401,0.43100092,0.43440860,0.43440860
0.44070438,0.42657665,0.43714662,0.44070438,0.44070438
0.44700016,0.43226238,0.44328799,0.44700016,0.44700016
0.45329593,0.43793098,0.44942497,0.45329593,0.45329593
0.45959171,0.44358222,0.45555750,0.45959171,0.45959171
0.46588749,0.44921588,0.46168551,0.46588749,0.46588749
0.47218326,0.45483173,0.46780895,0.47218326,0.47218326
0.47847904,0.46042956,0.47392775,0.47847904,0.47847904
0.48477482,0.46600914,0.48004186,0.48477482,0.48477482
0.49107060,0.47157024,0.48615120,0.49107060,0.49107060
0.49736637,0.47711265,0.49225574,0.49736637,0.49736637
0.50366215,0.48263615,0.49835539,0.50366215,0.50366215
0.50995793,0.48814053,0.50445010,0.50995793,0.50995793
0.51625370,0.49362555,0.51053982,0.51625370,0.51625370
0.52254948,0.49909101,0.51662448,0.52254948,0.52254948
0.52884526,0.50453668,0.52270401,0.52884526,0.52884526
0.53514103,0.50996236,0.52877837,0.53514103,0.53514103
0.54143681,0.51536782,0.53484749,0.54143681,0.54143681
0.54773259,0.52075286,0.54091131,0.54773259,0.54773259
0.55402836,0.52611726,0.54696977,0.55402836,0.55402836
