case,eps_i_real,eps_i_imag,T,R_coeff,A,Tu,flat_surface,m_real,m_imag
lossless,-15.0,0.0,9.96966884e-01,1.19555456e-08,3.03310412e-03,9.96966903e-01,1.00000000e+00,8.29969437e+02,9.66931762e-04
lossy,-15.0,0.5,5.15560345e-02,1.17382996e-06,9.48442792e-01,5.15561619e-02,4.53569928e-02,8.29935387e+02,9.43815405e-01
