t_fs,Re_E,Im_E,intensity
-2000.0,-2.6366695944577323,-17.839472149340764,325.1987931174428
-1999.0234375,-2.4264915081635614,-17.72209650507751,319.9605655744703
-1998.046875,-2.219200841894896,-17.60086453437536,314.71528473409944
-1997.0703125,-2.0149015596294033,-17.475843470345346,309.4649332950091
-1996.09375,-1.8136943187757404,-17.347104598825155,304.2115250445402
-1995.1171875,-1.6156762370344904,-17.214722729969157,298.95708837263464
-1994.140625,-1.4209407649067254,-17.078775671813926,293.70365110551694
-1993.1640625,-1.229577686200758,-16.939343710903117,288.45322664251574
-1992.1875,-1.0416732341985644,-16.796509101000915,283.2078011068523
-1991.2109375,-0.8573102937997179,-16.65035558784196,277.9693221414349
-1990.234375,-0.6765686770553385,-16.50096801465004,272.73969059527616
-1989.2578125,-0.4995254770644668,-16.348432034029685,267.52075567352455
-1988.28125,-0.3262554911275055,-16.192833922786637,262.31431309644046
-1987.3046875,-0.15683167467251247,-16.03426049395538,257.12210576219877
-1986.328125,0.008674418832350206,-15.872799119762403,251.94582714187212
-1985.3515625,0.17019223486655832,-15.70853788357611,246.78712783655473
-1984.375,0.3276518579870711,-15.541565854332212,241.64762494458725
-1983.3984375,0.4809837121943641,-15.371973451462225,236.52891312385574
-1982.421875,0.6301183568814919,-15.199852870814691,231.43257643809258
-1981.4453125,0.7749864074121051,-15.025298560803028,226.36020077294307
-1980.46875,0.9155185820226475,-14.84840773983505,221.3133866824222
-1979.4921875,1.051645861085234,-14.66928092552503,216.29376188911021
-1978.515625,1.183299754753162,-14.488022432699786,211.30299232001113
-1977.5390625,1.3104126862217704,-14.304740810519993,206.34279106436713
-1976.5625,1.4329184863894513,-14.119549210381578,201.41492529302366
-1975.5859375,1.5507529733577199,-13.932565678443412,196.5212211685172
-1974.609375,1.6638545846997221,-13.74391335384782,191.66356635710267
-1973.6328125,1.7721650440229713,-13.553720551542929,186.8439097325741
-1972.65625,1.8756300532076429,-13.362120725125699,182.0642583693294
-1971.6796875,1.9741999946068987,-13.169252321297925,177.3266723207167
-1970.703125,2.067830616746991,-12.975258537152527,172.63325756550577
-1969.7265625,2.156483679812821,-12.780286982124853,167.986157206769
-1968.75,2.2401275507682508,-12.584489245399567,163.38754101128833
-1967.7734375,2.318737746343782,-12.388020378880736,158.83959364388392
-1966.796875,2.392297419414705,-12.191038313082231,154.34450209397713
-1965.8203125,2.4607977788981845,-11.993703220394988,149.9044426475433
-1964.84375,2.5242384343596758,-11.796176831958752,145.52156752433896
-1963.8671875,2.582627663306284,-11.598621709904688,141.1979912167472
-1962.890625,2.635982604362189,-11.401200479121893,136.93577665562938
-1961.9140625,2.6843293781158497,-11.2040750274182,132.73692143023197
-1960.9375,2.7277031309021478,-11.007405684246054,128.6033442679057
-1959.9609375,2.766147990888162,-10.811350383688323,124.53687182637228
-1958.984375,2.799716927029513,-10.616063811185247,120.53922571465262
-1958.0078125,2.8284715090059533,-10.421696534869668,116.61200974217284
