# Figure 4: ESM Fiber Dispersion Curves
# Melchert & Demircan, Computer Physics Communications 273 (2022) 108257
# Pade [8/8] approximant for refractive index of ESM PCF
# Columns: w (angular frequency, rad/fs), beta1 (group delay, fs/um), beta2 (GVD, fs^2/um)
w_rad_fs,beta1_fs_um,beta2_fs2_um
1.15931864e+00,4.52402931e+00,-5.42918252e-01
1.16633267e+00,4.52020929e+00,-5.46332150e-01
1.17334669e+00,4.51636533e+00,-5.49745262e-01
1.18036072e+00,4.51249743e+00,-5.53157646e-01
1.18737475e+00,4.50860561e+00,-5.56569348e-01
1.19438878e+00,4.50468985e+00,-5.59980413e-01
1.20140281e+00,4.50075017e+00,-5.63390899e-01
1.20841683e+00,4.49678657e+00,-5.66800837e-01
1.21543086e+00,4.49279906e+00,-5.70210277e-01
1.22244489e+00,4.48878763e+00,-5.73619265e-01
1.22945892e+00,4.48475230e+00,-5.77027836e-01
1.23647295e+00,4.48069305e+00,-5.80436033e-01
1.24348697e+00,4.47660991e+00,-5.83843896e-01
1.25050100e+00,4.47250286e+00,-5.87251455e-01
1.25751503e+00,4.46837191e+00,-5.90658756e-01
1.26452906e+00,4.46421707e+00,-5.94065829e-01
1.27154309e+00,4.46003832e+00,-5.97472713e-01
1.27855711e+00,4.45583569e+00,-6.00879433e-01
1.28557114e+00,4.45160915e+00,-6.04286032e-01
1.29258517e+00,4.44735873e+00,-6.07692534e-01
1.29959920e+00,4.44308441e+00,-6.11098971e-01
1.30661323e+00,4.43878620e+00,-6.14505375e-01
1.31362725e+00,4.43446409e+00,-6.17911772e-01
1.32064128e+00,4.43011810e+00,-6.21318192e-01
1.32765531e+00,4.42574821e+00,-6.24724665e-01
1.33466934e+00,4.42135442e+00,-6.28131211e-01
1.34168337e+00,4.41693675e+00,-6.31537861e-01
1.34869739e+00,4.41249517e+00,-6.34944641e-01
1.35571142e+00,4.40802971e+00,-6.38351572e-01
1.36272545e+00,4.40354034e+00,-6.41758684e-01
1.36973948e+00,4.39902708e+00,-6.45165997e-01
1.37675351e+00,4.39448992e+00,-6.48573530e-01
1.38376754e+00,4.38992885e+00,-6.51981315e-01
1.39078156e+00,4.38534389e+00,-6.55389367e-01
1.39779559e+00,4.38073501e+00,-6.58797707e-01
1.40480962e+00,4.37610223e+00,-6.62206361e-01
1.41182365e+00,4.37144554e+00,-6.65615344e-01
1.41883768e+00,4.36676494e+00,-6.69024677e-01
1.42585170e+00,4.36206043e+00,-6.72434385e-01
1.43286573e+00,4.35733200e+00,-6.75844480e-01
1.43987976e+00,4.35257964e+00,-6.79254985e-01
1.44689379e+00,4.34780337e+00,-6.82665915e-01
1.45390782e+00,4.34300317e+00,-6.86077291e-01
1.46092184e+00,4.33817904e+00,-6.89489129e-01
1.46793587e+00,4.33333097e+00,-6.92901448e-01
1.47494990e+00,4.32845897e+00,-6.96314262e-01
1.48196393e+00,4.32356304e+00,-6.99727593e-01
1.48897796e+00,4.31864315e+00,-7.03141443e-01
1.49599198e+00,4.31369933e+00,-7.06555848e-01
1.50300601e+00,4.30873155e+00,-7.09970808e-01
1.51002004e+00,4.30373982e+00,-7.13386342e-01
1.51703407e+00,4.29872412e+00,-7.16802477e-01
1.52404810e+00,4.29368447e+00,-7.20219202e-01
1.53106212e+00,4.28862085e+00,-7.23636559e-01
1.53807615e+00,4.28353325e+00,-7.27054545e-01
1.54509018e+00,4.27842168e+00,-7.30473175e-01
1.55210421e+00,4.27328613e+00,-7.33892477e-01
1.55911824e+00,4.26812660e+00,-7.37312445e-01
1.56613226e+00,4.26294307e+00,-7.40733103e-01
1.57314629e+00,4.25773555e+00,-7.44154462e-01
1.58016032e+00,4.25250403e+00,-7.47576534e-01
1.58717435e+00,4.24724850e+00,-7.50999336e-01
1.59418838e+00,4.24196897e+00,-7.54422872e-01
1.60120240e+00,4.23666541e+00,-7.57847160e-01
1.60821643e+00,4.23133784e+00,-7.61272209e-01
1.61523046e+00,4.22598624e+00,-7.64698039e-01
1.62224449e+00,4.22061061e+00,-7.68124649e-01
1.62925852e+00,4.21521095e+00,-7.71552062e-01
1.63627255e+00,4.20978723e+00,-7.74980280e-01
1.64328657e+00,4.20433948e+00,-7.78409321e-01
1.65030060e+00,4.19886766e+00,-7.81839191e-01
1.65731463e+00,4.19337179e+00,-7.85269907e-01
1.66432866e+00,4.18785185e+00,-7.88701475e-01
1.67134269e+00,4.18230784e+00,-7.92133902e-01
1.67835671e+00,4.17673975e+00,-7.95567201e-01
1.68537074e+00,4.17114758e+00,-7.99001394e-01
1.69238477e+00,4.16553131e+00,-8.02436475e-01
1.69939880e+00,4.15989095e+00,-8.05872460e-01
1.70641283e+00,4.15422649e+00,-8.09309357e-01
1.71342685e+00,4.14853791e+00,-8.12747183e-01
1.72044088e+00,4.14282522e+00,-8.16185937e-01
1.72745491e+00,4.13708841e+00,-8.19625636e-01
1.73446894e+00,4.13132746e+00,-8.23066289e-01
1.74148297e+00,4.12554238e+00,-8.26507907e-01
1.74849699e+00,4.11973316e+00,-8.29950489e-01
1.75551102e+00,4.11389979e+00,-8.33394060e-01
1.76252505e+00,4.10804226e+00,-8.36838613e-01
1.76953908e+00,4.10216057e+00,-8.40284171e-01
1.77655311e+00,4.09625471e+00,-8.43730730e-01
1.78356713e+00,4.09032466e+00,-8.47178306e-01
1.79058116e+00,4.08437044e+00,-8.50626911e-01
1.79759519e+00,4.07839202e+00,-8.54076545e-01
1.80460922e+00,4.07238940e+00,-8.57527226e-01
1.81162325e+00,4.06636258e+00,-8.60978952e-01
1.81863727e+00,4.06031154e+00,-8.64431740e-01
1.82565130e+00,4.05423628e+00,-8.67885596e-01
1.83266533e+00,4.04813679e+00,-8.71340525e-01
1.83967936e+00,4.04201306e+00,-8.74796539e-01
1.84669339e+00,4.03586509e+00,-8.78253642e-01
1.85370741e+00,4.02969287e+00,-8.81711843e-01
1.86072144e+00,4.02349638e+00,-8.85171159e-01
1.86773547e+00,4.01727563e+00,-8.88631588e-01
1.87474950e+00,4.01103061e+00,-8.92093135e-01
1.88176353e+00,4.00476130e+00,-8.95555814e-01
1.88877756e+00,3.99846770e+00,-8.99019639e-01
1.89579158e+00,3.99214980e+00,-9.02484608e-01
1.90280561e+00,3.98580759e+00,-9.05950731e-01
1.90981964e+00,3.97944107e+00,-9.09418016e-01
1.91683367e+00,3.97305022e+00,-9.12886469e-01
1.92384770e+00,3.96663504e+00,-9.16356102e-01
1.93086172e+00,3.96019552e+00,-9.19826920e-01
1.93787575e+00,3.95373166e+00,-9.23298927e-01
1.94488978e+00,3.94724343e+00,-9.26772131e-01
1.95190381e+00,3.94073084e+00,-9.30246546e-01
1.95891784e+00,3.93419388e+00,-9.33722172e-01
1.96593186e+00,3.92763253e+00,-9.37199017e-01
1.97294589e+00,3.92104679e+00,-9.40677094e-01
1.97995992e+00,3.91443666e+00,-9.44156405e-01
1.98697395e+00,3.90780211e+00,-9.47636964e-01
1.99398798e+00,3.90114315e+00,-9.51118761e-01
2.00100200e+00,3.89445976e+00,-9.54601820e-01
2.00801603e+00,3.88775194e+00,-9.58086147e-01
2.01503006e+00,3.88101967e+00,-9.61571738e-01
2.02204409e+00,3.87426295e+00,-9.65058609e-01
2.02905812e+00,3.86748177e+00,-9.68546763e-01
2.03607214e+00,3.86067612e+00,-9.72036208e-01
2.04308617e+00,3.85384599e+00,-9.75526957e-01
2.05010020e+00,3.84699137e+00,-9.79019003e-01
2.05711423e+00,3.84011226e+00,-9.82512365e-01
2.06412826e+00,3.83320863e+00,-9.86007041e-01
2.07114228e+00,3.82628049e+00,-9.89503047e-01
2.07815631e+00,3.81932782e+00,-9.93000381e-01
2.08517034e+00,3.81235062e+00,-9.96499052e-01
2.09218437e+00,3.80534888e+00,-9.99999068e-01
2.09919840e+00,3.79832258e+00,-1.00350044e+00
2.10621242e+00,3.79127171e+00,-1.00700317e+00
2.11322645e+00,3.78419628e+00,-1.01050726e+00
2.12024048e+00,3.77709626e+00,-1.01401273e+00
2.12725451e+00,3.76997164e+00,-1.01751957e+00
2.13426854e+00,3.76282243e+00,-1.02102780e+00
2.14128257e+00,3.75564861e+00,-1.02453741e+00
2.14829659e+00,3.74845016e+00,-1.02804843e+00
2.15531062e+00,3.74122708e+00,-1.03156085e+00
2.16232465e+00,3.73397936e+00,-1.03507468e+00
2.16933868e+00,3.72670699e+00,-1.03858992e+00
2.17635271e+00,3.71940996e+00,-1.04210659e+00
2.18336673e+00,3.71208826e+00,-1.04562469e+00
2.19038076e+00,3.70474188e+00,-1.04914422e+00
2.19739479e+00,3.69737080e+00,-1.05266519e+00
2.20440882e+00,3.68997503e+00,-1.05618762e+00
2.21142285e+00,3.68255454e+00,-1.05971150e+00
2.21843687e+00,3.67510933e+00,-1.06323684e+00
2.22545090e+00,3.66763939e+00,-1.06676364e+00
2.23246493e+00,3.66014471e+00,-1.07029192e+00
2.23947896e+00,3.65262527e+00,-1.07382169e+00
2.24649299e+00,3.64508107e+00,-1.07735293e+00
2.25350701e+00,3.63751210e+00,-1.08088567e+00
2.26052104e+00,3.62991834e+00,-1.08441990e+00
2.26753507e+00,3.62229979e+00,-1.08795565e+00
2.27454910e+00,3.61465644e+00,-1.09149290e+00
2.28156313e+00,3.60698827e+00,-1.09503167e+00
2.28857715e+00,3.59929527e+00,-1.09857196e+00
2.29559118e+00,3.59157743e+00,-1.10211378e+00
2.30260521e+00,3.58383475e+00,-1.10565714e+00
2.30961924e+00,3.57606721e+00,-1.10920204e+00
2.31663327e+00,3.56827480e+00,-1.11274849e+00
2.32364729e+00,3.56045751e+00,-1.11629649e+00
2.33066132e+00,3.55261533e+00,-1.11984605e+00
2.33767535e+00,3.54474824e+00,-1.12339718e+00
2.34468938e+00,3.53685624e+00,-1.12694988e+00
2.35170341e+00,3.52893932e+00,-1.13050416e+00
2.35871743e+00,3.52099746e+00,-1.13406003e+00
2.36573146e+00,3.51303066e+00,-1.13761748e+00
2.37274549e+00,3.50503890e+00,-1.14117653e+00
2.37975952e+00,3.49702217e+00,-1.14473718e+00
2.38677355e+00,3.48898046e+00,-1.14829945e+00
2.39378758e+00,3.48091375e+00,-1.15186332e+00
2.40080160e+00,3.47282205e+00,-1.15542881e+00
2.40781563e+00,3.46470533e+00,-1.15899594e+00
2.41482966e+00,3.45656359e+00,-1.16256470e+00
2.42184369e+00,3.44839680e+00,-1.16613509e+00
2.42885772e+00,3.44020497e+00,-1.16970713e+00
2.43587174e+00,3.43198808e+00,-1.17328083e+00
2.44288577e+00,3.42374612e+00,-1.17685618e+00
2.44989980e+00,3.41547907e+00,-1.18043319e+00
2.45691383e+00,3.40718693e+00,-1.18401187e+00
2.46392786e+00,3.39886969e+00,-1.18759222e+00
2.47094188e+00,3.39052732e+00,-1.19117426e+00
2.47795591e+00,3.38215982e+00,-1.19475799e+00
2.48496994e+00,3.37376718e+00,-1.19834340e+00
2.49198397e+00,3.36534939e+00,-1.20193052e+00
2.49899800e+00,3.35690643e+00,-1.20551934e+00
2.50601202e+00,3.34843829e+00,-1.20910987e+00
2.51302605e+00,3.33994496e+00,-1.21270212e+00
2.52004008e+00,3.33142644e+00,-1.21629609e+00
2.52705411e+00,3.32288269e+00,-1.21989180e+00
2.53406814e+00,3.31431372e+00,-1.22348923e+00
2.54108216e+00,3.30571951e+00,-1.22708841e+00
2.54809619e+00,3.29710005e+00,-1.23068933e+00
2.55511022e+00,3.28845533e+00,-1.23429201e+00
