w_rad_fs,spectrum_dB
0.0015707963267948967,-0.014537492410161244
0.007853981633974483,-0.28642529426961494
0.014137166941154071,-1.4763812141548325
0.02042035224833366,-3.455032518357184
0.026703537555513242,-6.107026404061028
0.03298672286269283,-9.232604159909311
0.039269908169872414,-12.786269568435547
0.045553093477052005,-16.964657165637206
0.05183627878423159,-21.703073217958526
0.05811946409141117,-27.009690449535736
0.06440264939859076,-33.655431200761726
0.07068583470577035,-41.0447059550097
0.07696902001294993,-49.26844725734135
0.08325220532012952,-57.27800179249491
0.08953539062730911,-64.4464718521785
0.09581857593448868,-70.73142589275503
0.10210176124166828,-74.19887169653991
0.10838494654884787,-75.06849606616936
0.11466813185602744,-74.8416806320305
0.12095131716320703,-73.74099246281193
0.12723450247038662,-72.37524545160935
0.13351768777756623,-71.09062110091635
0.13980087308474579,-70.1442332612152
0.14608405839192537,-69.62017153652049
0.15236724369910498,-69.56353625725284
0.15865042900628457,-69.89959449311989
0.16493361431346412,-70.56099206018999
0.17121679962064373,-71.53939638185498
0.17749998492782332,-72.74760845008188
0.1837831702350029,-74.15344336152086
0.19006635554218249,-75.71822376938582
0.19634954084936207,-77.39738478523422
0.20263272615654165,-79.18412321278494
0.20891591146372127,-81.04625284422721
0.21519909677090085,-82.96107507376051
0.22148228207808043,-84.96816535831371
0.22776546738526,-87.03881718731326
0.23404865269243957,-89.13343783939195
0.24033183799961916,-91.1934822716921
0.24661502330679877,-93.29035011098202
0.2528982086139783,-95.05739330945647
0.25918139392115797,-97.11435801377883
0.26546457922833755,-99.88574906687538
0.27174776453551713,-102.33624092881813
0.27803094984269666,-105.04744026663874
0.28431413514987625,-106.66319262200196
0.2905973204570559,-109.14204793762549
0.29688050576423547,-112.1329614777123
0.30316369107141505,-113.79626171227598
0.30944687637859464,-116.176927612985
0.3157300616857742,-119.0722144690654
0.3220132469929538,-121.06107412010125
0.3282964323001334,-123.34126477856526
0.334579617607313,-125.29083305819101
0.34086280291449256,-128.5820792904209
0.34714598822167214,-130.94626158417174
0.3534291735288517,-133.5731992841071
0.3597123588360313,-136.16254732280277
0.3659955441432109,-139.925371485289
0.37227872945039053,-139.24061536364684
0.37856191475757006,-142.71175354554896
0.38484510006474965,-143.8553098910987
0.39112828537192923,-146.8474746062924
0.3974114706791088,-147.58042043521957
0.4036946559862884,-161.75623171396768
0.40997784129346804,-153.85578705844804
0.4162610266006476,-157.92079207983346
0.4225442119078272,-159.86905578406575
0.4288273972150068,-160.68786352990472
0.4351105825221864,-163.2128728682642
0.44139376782936596,-165.88091482988872
0.44767695313654554,-168.64102132288605
0.45396013844372507,-177.49375186909748
0.46024332375090465,-173.53458053576279
0.46652650905808424,-175.28562208481412
0.4728096943652638,-177.69630130022654
0.47909287967244346,-179.91454846777413
0.48537606497962305,-181.76704966017286
0.49165925028680263,-189.688372393008
0.4979424355939822,-202.54603021842595
0.5042256209011619,-195.542313073952
0.5105088062083414,-194.1048675307229
0.516791991515521,-194.16954803555942
0.5230751768227005,-196.18929441188814
0.5293583621298802,-199.96522442085188
0.5356415474370597,-205.10693204907568
0.5419247327442394,-206.78736019732128
0.548207918051419,-206.41003132092374
0.5544911033585984,-208.4608539829132
0.560774288665778,-213.77215390298917
0.5670574739729577,-213.64033306935772
0.5733406592801372,-217.50295695318525
0.5796238445873169,-221.35088500407937
0.5859070298944964,-223.53339793766824
0.592190215201676,-232.32310611540015
0.5984734005088556,-225.82042493838333
0.6047565858160352,-228.8114151388312
0.6110397711232147,-229.6067060764002
0.6173229564303944,-232.74027441316522
0.623606141737574,-243.47282050228768
0.6298893270447535,-239.02008634192504
0.6361725123519332,-242.06389410080914
0.6424556976591127,-241.93056533593673
0.6487388829662923,-246.11860855974692
0.6550220682734719,-248.0145363651391
0.6613052535806514,-250.75861869341125
0.667588438887831,-253.21628815592788
0.6738716241950106,-260.50767128733804
0.6801548095021902,-256.6194523677706
0.6864379948093698,-263.7830573258456
0.6927211801165494,-264.00983188185216
0.699004365423729,-265.393251607009
0.7052875507309085,-265.9983780204488
0.7115707360380882,-268.00447478634953
0.7178539213452677,-273.62070673574516
0.7241371066524473,-272.7425222408659
0.730420291959627,-275.39590234785004
0.7367034772668065,-281.5643701006618
0.7429866625739862,-282.2927723023624
0.7492698478811657,-285.42908694782534
0.7555530331883452,-292.50332931382724
0.7618362184955249,-288.24821807439866
0.7681194038027044,-291.4952385457499
0.774402589109884,-292.644437826187
0.7806857744170635,-293.9157038715569
0.7869689597242432,-295.25213199981016
0.7932521450314227,-299.4862208825562
0.7995353303386024,-298.687286335039
0.805818515645782,-298.673586801663
0.8121017009529615,-299.35781455621054
0.8183848862601412,-299.73722113367455
