# V_3Q vs L_min at beta=5.8
L_min,V_3Q_latt,error
1.93186044,0.76970000,0.00120000
2.44948974,0.91400000,0.00320000
2.90931360,0.96390000,0.00280000
3.34606522,1.06470000,0.00420000
3.86370772,1.13700000,0.00160000
3.89823043,1.11120000,0.00600000
4.18154055,1.18650000,0.00330000
4.30695187,1.19140000,0.00860000
4.83656000,1.26590000,0.00210000
4.89164628,1.23370000,0.01190000
4.89897949,1.27710000,0.00730000
5.11119904,1.31260000,0.01240000
5.76611453,1.37830000,0.00800000
5.79555790,1.39250000,0.00910000
6.01944249,1.41750000,0.00330000
6.58971056,1.47390000,0.01200000
6.76643257,1.50050000,0.00410000
7.34846923,1.55660000,0.00720000
7.48702201,1.58310000,0.00220000
7.72740882,1.60770000,0.00720000
7.74472517,1.61300000,0.00250000
8.20192718,1.64740000,0.00660000
8.69718702,1.71630000,0.00320000
8.72793896,1.71710000,0.00320000
9.10562486,1.76410000,0.00370000
9.65926003,1.81930000,0.00440000
9.67311880,1.82620000,0.00400000
9.79795897,1.83770000,0.00490000
10.03819565,1.86850000,0.00440000
10.62833608,1.92820000,0.00470000
10.64354213,1.93710000,0.00550000
10.98860403,1.96960000,0.00520000
11.46226348,2.02780000,0.00680000
11.53222907,2.03670000,0.00610000
11.59111139,2.03220000,0.00620000
11.95070729,2.07530000,0.00650000
12.24744871,2.11920000,0.00870000
12.32963898,2.13010000,0.00690000
13.08791850,2.22470000,0.00900000
13.52296283,2.24610000,0.01010000
14.69693846,2.41660000,0.02230000
15.45481433,2.41910000,0.01770000
