# Figure 1b: Sum of Im(b_0l) vs nqR
# Parameters: R/a=0.1, n=10, 511x511 array, l_max=1, k=1.01q
nqR,sum_Im_b0l
5.12406015,0.00792094
5.14285714,0.00188281
5.16165414,-0.00416430
5.18045113,-0.00968305
5.19924812,-0.01644109
5.21804511,-0.02074649
5.23684211,-0.02932397
5.25563910,-0.03275277
5.27443609,-0.04300467
5.29323308,-0.04657518
5.31203008,-0.05685568
5.33082707,-0.06207160
5.34962406,-0.07175229
5.36842105,-0.08124194
5.38721805,-0.09484452
5.40601504,-0.11086123
5.42481203,-0.14297852
5.44360902,-0.15908008
5.46240602,-0.22830113
5.48120301,-0.19548413
5.50000000,-0.29923509
5.51879699,-0.22867912
5.53759398,-0.35107691
5.55639098,-0.46879937
5.57518797,-0.08895825
5.59398496,0.81112186
5.61278195,0.17144816
5.63157895,0.35084753
5.65037594,0.07133983
5.66917293,0.23534286
5.68796992,0.07611218
5.70676692,0.09319912
5.72556391,0.15793684
5.74436090,0.08411572
5.76315789,0.20845535
5.78195489,0.06340490
5.80075188,0.10934258
5.81954887,0.03966410
5.83834586,0.06840272
5.85714286,0.05066797
5.87593985,0.06096394
5.89473684,0.03612079
5.91353383,0.02901095
5.93233083,0.03625455
5.95112782,0.01717131
5.96992481,0.04619447
5.98872180,0.00753997
6.00751880,0.02663079
6.02631579,-0.00106126
6.04511278,0.01676757
6.06390977,-0.00743850
6.08270677,0.00377540
6.10150376,-0.01128946
6.12030075,-0.01136357
6.13909774,-0.01712312
6.15789474,-0.02438820
6.17669173,-0.02031830
6.19548872,-0.02948484
6.21428571,-0.02915246
6.23308271,-0.04430397
6.25187970,-0.04039599
6.27067669,-0.03556827
6.28947368,-0.03253791
6.30827068,-0.07890494
6.32706767,-0.05988947
6.34586466,-0.06689649
6.36466165,-0.07356938
6.38345865,-0.09728508
6.40225564,-0.09231040
6.42105263,-0.08650752
6.43984962,-0.10426159
6.45864662,-0.14465346
6.47744361,-0.11723169
6.49624060,-0.12574664
6.51503759,-0.15067047
6.53383459,-0.22973441
6.55263158,-0.14852102
6.57142857,-0.17780181
6.59022556,-0.25088616
6.60902256,-0.29677086
6.62781955,-0.22260020
6.64661654,-0.23739265
6.66541353,-0.34962702
6.68421053,-0.34710915
6.70300752,-0.93168620
6.72180451,-0.68553289
6.74060150,0.15419993
6.75939850,-0.64794618
6.77819549,0.30199758
6.79699248,0.30509803
6.81578947,0.25170010
6.83458647,0.31583614
6.85338346,0.12128875
6.87218045,0.09601779
6.89097744,0.07652457
6.90977444,0.03419950
6.92857143,0.02494791
6.94736842,-0.02119006
6.96616541,-0.02326035
6.98496241,-0.05451826
7.00375940,-0.07710462
7.02255639,-0.09157576
7.04135338,-0.10827469
7.06015038,-0.13564556
7.07894737,-0.14875604
7.09774436,-0.16211682
7.11654135,-0.19176038
7.13533835,-0.20428415
7.15413534,-0.21844412
7.17293233,-0.24773837
7.19172932,-0.26207880
7.21052632,-0.27793190
7.22932331,-0.31130380
7.24812030,-0.31890284
7.26691729,-0.35598614
7.28571429,-0.37191004
7.30451128,-0.44459804
7.32330827,-0.44616588
7.34210526,-0.52476806
7.36090226,-0.47999883
7.37969925,-0.51873411
7.39849624,-0.71372697
7.41729323,-0.87611685
7.43609023,-1.04379691
7.45488722,-0.60665707
7.47368421,-0.09869997
7.49248120,0.35091121
7.51127820,1.27289561
7.53007519,-0.06011635
7.54887218,0.10796479
7.56766917,0.42451289
7.58646617,0.06009198
7.60526316,0.04424100
7.62406015,0.10909834
7.64285714,0.00737349
7.66165414,-0.01837263
7.68045113,0.03239078
7.69924812,-0.05937247
7.71804511,-0.03961256
7.73684211,-0.07403858
7.75563910,-0.08677618
7.77443609,-0.08884064
7.79323308,-0.11084103
7.81203008,-0.11698144
7.83082707,-0.12852664
7.84962406,-0.14773914
7.86842105,-0.14693120
7.88721805,-0.17645618
7.90601504,-0.16694718
7.92481203,-0.20583518
7.94360902,-0.18764312
7.96240602,-0.23550528
7.98120301,-0.20903754
8.00000000,-0.26006147
