# Figure 4b: 11x11 array |b_0l| vs nqR
# Parameters: R/a=0.35, n=4, k~q
nqR,abs_b0_l0,abs_b0_l1,abs_b0_l2
3.64782609,0.07860331,0.23841109,0.01850383
3.67357860,0.10030367,0.20562316,0.02415828
3.69933110,0.11411401,0.18149231,0.02774392
3.72508361,0.12346318,0.16512891,0.03025857
3.75083612,0.13047491,0.15401456,0.03224994
3.77658863,0.13627052,0.14620699,0.03400497
3.80234114,0.14145694,0.14044897,0.03568833
3.82809365,0.14638812,0.13594843,0.03740907
3.85384615,0.15129016,0.13219359,0.03925091
3.87959866,0.15632207,0.12883410,0.04128649
3.90535117,0.16160635,0.12560700,0.04358428
3.93110368,0.16724460,0.12228781,0.04621209
3.95685619,0.17332433,0.11865240,0.04923845
3.98260870,0.17991801,0.11443965,0.05273219
4.00836120,0.18707099,0.10930441,0.05675901
4.03411371,0.19476763,0.10274832,0.06137147
4.05986622,0.20284990,0.09401197,0.06658362
4.08561873,0.21083271,0.08191718,0.07230919
4.11137124,0.21752637,0.06470930,0.07822373
4.13712375,0.22047991,0.04022067,0.08352676
4.16287625,0.21609520,0.00731245,0.08684851
4.18862876,0.20296136,0.03081572,0.08724622
4.21438127,0.18725386,0.06587085,0.08626147
4.24013378,0.17861289,0.09123863,0.08705731
4.26588629,0.17969347,0.10667099,0.09093043
4.29163880,0.18712517,0.11511215,0.09716498
4.31739130,0.19749420,0.11930538,0.10479734
4.34314381,0.20913351,0.12099774,0.11333418
4.36889632,0.22161511,0.12117228,0.12273319
4.39464883,0.23517705,0.12035282,0.13329139
4.42040134,0.25045959,0.11879667,0.14560960
4.44615385,0.26846444,0.11659546,0.16064987
4.47190635,0.29068369,0.11371859,0.17991130
4.49765886,0.31944245,0.11001899,0.20581286
4.52341137,0.35864383,0.10521163,0.24251472
4.54916388,0.41542421,0.09886600,0.29778442
4.57491639,0.50397955,0.09077155,0.38752621
4.60066890,0.65306786,0.08478410,0.54611046
4.62642140,0.88697870,0.11035689,0.81935877
4.65217391,0.92256965,0.17953905,0.95841003
4.67792642,0.58547983,0.18620302,0.69819612
4.70367893,0.34900952,0.17024545,0.48948997
4.72943144,0.21964103,0.15775139,0.37325871
4.75518395,0.14246982,0.14881866,0.30501470
4.78093645,0.09191809,0.14199973,0.26199480
4.80668896,0.05634758,0.13638383,0.23352314
4.83244147,0.03004191,0.13144159,0.21423553
4.85819398,0.01086645,0.12685625,0.20126559
4.88394649,0.01110856,0.12244341,0.19305529
4.90969900,0.02412052,0.11813901,0.18883626
4.93545151,0.03659996,0.11406932,0.18843311
4.96120401,0.04858442,0.11079519,0.19228587
4.98695652,0.06107152,0.11001863,0.20174754
5.01270903,0.07588988,0.11653094,0.21998655
5.03846154,0.09705083,0.14315936,0.25477271
5.06421405,0.13603088,0.22486892,0.32933208
5.08996656,0.24446749,0.50616359,0.55033558
5.11571906,0.81975927,2.21356054,1.72647869
5.14147157,0.21636352,0.77186194,0.43629934
5.16722408,0.09569125,0.47197569,0.19921560
5.19297659,0.04556815,0.37006176,0.12037676
5.21872910,0.00937940,0.31815153,0.08077529
5.24448161,0.02407768,0.28354611,0.05456123
5.27023411,0.05599927,0.25537522,0.03370764
5.29598662,0.08424307,0.23073371,0.01627280
5.32173913,0.10708578,0.20992293,0.00228355
5.34749164,0.12465191,0.19339290,0.00826939
5.37324415,0.13820452,0.18075370,0.01584288
5.39899666,0.14914786,0.17114384,0.02107251
5.42474916,0.15860199,0.16370261,0.02453591
5.45050167,0.16737710,0.15776143,0.02667810
5.47625418,0.17607454,0.15285678,0.02782429
5.50200669,0.18519823,0.14868952,0.02822217
5.52775920,0.19525587,0.14508707,0.02809810
5.55351171,0.20686533,0.14198700,0.02773997
5.57926421,0.22089951,0.13945291,0.02764240
5.60501672,0.23873290,0.13774623,0.02875246
5.63076923,0.26273000,0.13752014,0.03275596
5.65652174,0.29733954,0.14032602,0.04222459
5.68227425,0.35190133,0.15001691,0.06113295
5.70802676,0.44927255,0.17707522,0.09802716
5.73377926,0.66029575,0.25502387,0.17951200
5.75953177,1.28480851,0.52637024,0.42296933
5.78528428,1.59493484,0.73218194,0.61021321
5.81103679,0.74423660,0.38588741,0.31553373
5.83678930,0.47481364,0.27182741,0.21270088
5.86254181,0.36405508,0.22313822,0.16519338
5.88829431,0.30874493,0.19726788,0.13707193
5.91404682,0.27808480,0.18164235,0.11742328
5.93979933,0.26018611,0.17134314,0.10195583
5.96555184,0.24975873,0.16398624,0.08874482
5.99130435,0.24424080,0.15821422,0.07691565
6.01705686,0.24226680,0.15319827,0.06611465
6.04280936,0.24297965,0.14845955,0.05624969
6.06856187,0.24573112,0.14378066,0.04738068
6.09431438,0.24997235,0.13914161,0.03974554
6.12006689,0.25521696,0.13467710,0.03391840
6.14581940,0.26101422,0.13066296,0.03097244
6.17157191,0.26691073,0.12752768,0.03211508
6.19732441,0.27240114,0.12586709,0.03762609
6.22307692,0.27687681,0.12641870,0.04671175
6.24882943,0.27958814,0.12994003,0.05839551
6.27458194,0.27964654,0.13696960,0.07188708
6.30033445,0.27610188,0.14754819,0.08645826
6.32608696,0.26812354,0.16106106,0.10129737
6.35183946,0.25526532,0.17631692,0.11549091
6.37759197,0.23771046,0.19184549,0.12813928
6.40334448,0.21634426,0.20628574,0.13854287
6.42909699,0.19257402,0.21869783,0.14634782
6.45484950,0.16798252,0.22868066,0.15156756
6.48060201,0.14400215,0.23629592,0.15448550
6.50635452,0.12174473,0.24189506,0.15551048
6.53210702,0.10199864,0.24595294,0.15505393
6.55785953,0.08532531,0.24896129,0.15345516
6.58361204,0.07216723,0.25138825,0.15094703
6.60936455,0.06287567,0.25369282,0.14764033
6.63511706,0.05757827,0.25639290,0.14350309
6.66086957,0.05594815,0.26021705,0.13830523
6.68662207,0.05715783,0.26644731,0.13146967
6.71237458,0.06013447,0.27775798,0.12167215
6.73812709,0.06378429,0.30029355,0.10572036
6.76387960,0.06686593,0.34700192,0.07586177
6.78963211,0.06841934,0.42131513,0.03588266
6.81538462,0.07285363,0.43906239,0.09125398
6.84113712,0.08067258,0.38826876,0.12818823
6.86688963,0.08713934,0.34944563,0.13714695
6.89264214,0.09229969,0.32961368,0.13745229
6.91839465,0.09663297,0.32089028,0.13516593
6.94414716,0.10033112,0.31866583,0.13198034
6.96989967,0.10343636,0.32083532,0.12843887
6.99565217,0.10590661,0.32657868,0.12477870
7.02140468,0.10762627,0.33581235,0.12120392
7.04715719,0.10838791,0.34902555,0.11804771
7.07290970,0.10785237,0.36736688,0.11598901
7.09866221,0.10550266,0.39302908,0.11648072
7.12441472,0.10072863,0.43025259,0.12267317
7.15016722,0.09410451,0.48808950,0.14148197
7.17591973,0.09784363,0.58970521,0.18932596
7.20167224,0.18700865,0.81751768,0.31950133
7.22742475,0.82403673,1.81358363,0.93948747
7.25317726,1.30407074,1.34915461,1.01939815
7.27892977,0.66152470,0.27096100,0.36743661
7.30468227,0.54781704,0.03127101,0.22035018
7.33043478,0.51695654,0.10263938,0.16673891
7.35618729,0.50226195,0.17454047,0.17322330
7.38193980,0.47183098,0.20959372,0.21373882
7.40769231,0.41684547,0.20988985,0.25030127
7.43344482,0.35353180,0.18961490,0.26740791
7.45919732,0.29899973,0.16507951,0.26970948
7.48494983,0.25839938,0.14451418,0.26504500
7.51070234,0.23000535,0.12981997,0.25808746
7.53645485,0.21061056,0.12033279,0.25091606
7.56220736,0.19746324,0.11474997,0.24432900
7.58795987,0.18858299,0.11183797,0.23858482
7.61371237,0.18263208,0.11063072,0.23373467
7.63946488,0.17873119,0.11043321,0.22976210
7.66521739,0.17631282,0.11076212,0.22664156
7.69096990,0.17502095,0.11127856,0.22436395
7.71672241,0.17464737,0.11173112,0.22294979
7.74247492,0.17509414,0.11191124,0.22245874
7.76822742,0.17635448,0.11161654,0.22299955
7.79397993,0.17850722,0.11061637,0.22474207
7.81973244,0.18172123,0.10861282,0.22793082
7.84548495,0.18626497,0.10519009,0.23289507
7.87123746,0.19250890,0.09974555,0.24003934
7.89698997,0.20088781,0.09140455,0.24977190
7.92274247,0.21174335,0.07896157,0.26227593
7.94849498,0.22490139,0.06104655,0.27696630
7.97424749,0.23888708,0.03739793,0.29158150
8.00000000,0.25027961,0.01999935,0.30163578
