# Figure 4c: 201x201 array |b_0l| vs nqR
# Parameters: R/a=0.35, n=4, k~q
nqR,abs_b0_l0,abs_b0_l1,abs_b0_l2
3.64782609,0.00522530,0.01131685,0.00079462
3.67357860,0.00694391,0.00924489,0.00103328
3.69933110,0.00508253,0.01144500,0.00081022
3.72508361,0.00748140,0.00919604,0.00126944
3.75083612,0.00762039,0.00937739,0.00143671
3.77658863,0.00758812,0.00964930,0.00152623
3.80234114,0.00858191,0.00885222,0.00175389
3.82809365,0.00715516,0.01014043,0.00150718
3.85384615,0.00919037,0.00859882,0.00190959
3.87959866,0.00940665,0.00855015,0.00195374
3.90535117,0.00995912,0.00829830,0.00215303
3.93110368,0.01056670,0.00812335,0.00248100
3.95685619,0.01159345,0.00763962,0.00292295
3.98260870,0.01187768,0.00768216,0.00315172
4.00836120,0.01330026,0.00693422,0.00371011
4.03411371,0.01359997,0.00692961,0.00392057
4.05986622,0.01442786,0.00645767,0.00415335
4.08561873,0.01733909,0.00461403,0.00507915
4.11137124,0.01698438,0.00519630,0.00530976
4.13712375,0.02230056,0.00225364,0.00733178
4.16287625,0.02417693,0.00083520,0.00829745
4.18862876,0.03572325,0.00521447,0.01335351
4.21438127,0.03535247,0.00881031,0.01407969
4.24013378,0.00623313,0.02046852,0.00221161
4.26588629,0.07258805,0.02592774,0.03018535
4.29163880,0.00991973,0.01233715,0.00433237
4.31739130,0.01281715,0.01196257,0.00577560
4.34314381,0.01464485,0.01052914,0.00700267
4.36889632,0.01769441,0.00975194,0.00933171
4.39464883,0.02116239,0.00911485,0.01210307
4.42040134,0.02412160,0.00855003,0.01439509
4.44615385,0.02964886,0.00777364,0.01879745
4.47190635,0.03720451,0.00697645,0.02543506
4.49765886,0.04243127,0.00633630,0.03005327
4.52341137,0.09175977,0.01513855,0.06818466
4.54916388,0.11134380,0.00136538,0.09282460
4.57491639,0.08778431,0.02572088,0.08103914
4.60066890,0.12194425,0.02154929,0.11917454
4.62642140,0.04792777,0.01415978,0.05263356
4.65217391,0.02613662,0.01251643,0.03308098
4.67792642,0.02390644,0.01095436,0.03241429
4.70367893,0.01735152,0.01081016,0.02604378
4.72943144,0.01178027,0.00960261,0.02178192
4.75518395,0.00905004,0.00897015,0.01981257
4.78093645,0.00757899,0.00843767,0.01902657
4.80668896,0.00477856,0.00837896,0.01631416
4.83244147,0.00359289,0.00542574,0.01822930
4.85819398,0.00188806,0.00770841,0.01431474
4.88394649,0.00073224,0.00615271,0.01523912
4.90969900,0.00068191,0.00667488,0.01334347
4.93545151,0.00159347,0.00646197,0.01255381
