# Figure 2b: |b_0|^2 vs nqR
# Parameters: R/a=0.1, n=10, 511x511 array, l_max=1, k~q
nqR,b0_squared
5.40601504,0.00022424
5.42481203,0.00035828
5.44360902,0.00039337
5.46240602,0.00069214
5.48120301,0.00066075
5.50000000,0.00217466
5.51879699,0.00256978
5.53759398,0.00392130
5.55639098,0.02762454
5.57518797,0.00163731
5.59398496,0.00260326
5.61278195,0.00234365
5.63157895,0.00247572
5.65037594,0.00078766
5.66917293,0.00037970
5.68796992,0.00030978
5.70676692,0.00015410
5.72556391,0.00038135
5.74436090,0.00016235
5.76315789,0.00038166
5.78195489,0.00007036
5.80075188,0.00013509
5.81954887,0.00003595
5.83834586,0.00012506
5.85714286,0.00004498
5.87593985,0.00010160
5.89473684,0.00002233
5.91353383,0.00003155
5.93233083,0.00001751
5.95112782,0.00002586
5.96992481,0.00002233
5.98872180,0.00000793
6.00751880,0.00000937
6.02631579,0.00000176
6.04511278,0.00001024
6.06390977,0.00000044
6.08270677,0.00000360
6.10150376,0.00000191
6.12030075,0.00000046
6.13909774,0.00000733
6.15789474,0.00000073
6.17669173,0.00001058
6.19548872,0.00000495
6.21428571,0.00002178
6.23308271,0.00002332
6.25187970,0.00002723
6.27067669,0.00002839
6.28947368,0.00004223
6.30827068,0.00007050
6.32706767,0.00005969
6.34586466,0.00006420
6.36466165,0.00008170
6.38345865,0.00015699
6.40225564,0.00014204
6.42105263,0.00012497
6.43984962,0.00017944
6.45864662,0.00031988
6.47744361,0.00035852
6.49624060,0.00022810
6.51503759,0.00041091
6.53383459,0.00075805
6.55263158,0.00073268
6.57142857,0.00050231
6.59022556,0.00096365
6.60902256,0.00237491
6.62781955,0.00123866
6.64661654,0.00297321
6.66541353,0.00394187
6.68421053,0.00456884
6.70300752,0.00269406
6.72180451,0.00390132
6.74060150,0.03978839
6.75939850,0.00183665
6.77819549,0.03054256
6.79699248,0.00036669
6.81578947,0.00136535
6.83458647,0.00034487
6.85338346,0.00038322
6.87218045,0.00008654
6.89097744,0.00009686
6.90977444,0.00002613
6.92857143,0.00000670
6.94736842,0.00000299
6.96616541,0.00001652
6.98496241,0.00002570
7.00375940,0.00007692
7.02255639,0.00014344
7.04135338,0.00020258
7.06015038,0.00032838
7.07894737,0.00050071
7.09774436,0.00072045
7.11654135,0.00112188
7.13533835,0.00153567
7.15413534,0.00269590
7.17293233,0.00450980
7.19172932,0.00699764
7.21052632,0.01749358
7.22932331,0.04919128
7.24812030,1.74954048
7.26691729,0.02297777
7.28571429,0.01074199
7.30451128,0.01560759
7.32330827,0.00316626
7.34210526,0.00247954
7.36090226,0.00117067
7.37969925,0.00184291
7.39849624,0.00109785
7.41729323,0.00148679
7.43609023,0.00030849
7.45488722,0.00030450
7.47368421,0.00038771
7.49248120,0.00061025
7.51127820,0.00015221
7.53007519,0.00008962
7.54887218,0.00017982
7.56766917,0.00010888
7.58646617,0.00002472
7.60526316,0.00006177
7.62406015,0.00005319
7.64285714,0.00000083
7.66165414,0.00002376
7.68045113,0.00000416
7.69924812,0.00000374
7.71804511,0.00000121
7.73684211,0.00001914
7.75563910,0.00001335
7.77443609,0.00004128
7.79323308,0.00005646
7.81203008,0.00007363
7.83082707,0.00010971
7.84962406,0.00014157
7.86842105,0.00017892
7.88721805,0.00026522
7.90601504,0.00027741
7.92481203,0.00048386
7.94360902,0.00041298
7.96240602,0.00087242
7.98120301,0.00063098
8.00000000,0.00140534
