# Figure 4a: Single cylinder |b_0l| vs nqR
# Parameters: R/a=0.35, n=4
nqR,abs_b0_l0,abs_b0_l1,abs_b0_l2
3.64782609,0.46204287,1.94128400,0.13144009
3.67357860,0.46191819,1.84856390,0.13571433
3.69933110,0.46182863,1.71938849,0.14012418
3.72508361,0.46176819,1.56609810,0.14467566
3.75083612,0.46173104,1.40231702,0.14937526
3.77658863,0.46171143,1.23934639,0.15423002
3.80234114,0.46170374,1.08468567,0.15924752
3.82809365,0.46170237,0.94229367,0.16443604
3.85384615,0.46170178,0.81357791,0.16980456
3.87959866,0.46169642,0.69839850,0.17536288
3.90535117,0.46168072,0.59581361,0.18112174
3.93110368,0.46164907,0.50454985,0.18709289
3.95685619,0.46159575,0.42326702,0.19328929
3.98260870,0.46151495,0.35069193,0.19972521
4.00836120,0.46140074,0.28567607,0.20641645
4.03411371,0.46124699,0.22721249,0.21338055
4.05986622,0.46104738,0.17443223,0.22063704
4.08561873,0.46079533,0.12659178,0.22820773
4.11137124,0.46048402,0.08305753,0.23611712
4.13712375,0.46010629,0.04329010,0.24439276
4.16287625,0.45965459,0.00683001,0.25306578
4.18862876,0.45912099,0.02671492,0.26217156
4.21438127,0.45849708,0.05768033,0.27175039
4.24013378,0.45777392,0.08635440,0.28184846
4.26588629,0.45694195,0.11298546,0.29251891
4.29163880,0.45599098,0.13778825,0.30382327
4.31739130,0.45491004,0.16094922,0.31583315
4.34314381,0.45368728,0.18263085,0.32863241
4.36889632,0.45230995,0.20297525,0.34231990
4.39464883,0.45076418,0.22210723,0.35701298
4.42040134,0.44903488,0.24013679,0.37285202
4.44615385,0.44710561,0.25716124,0.39000630
4.47190635,0.44495837,0.27326694,0.40868183
4.49765886,0.44257338,0.28853086,0.42913175
4.52341137,0.43992888,0.30302180,0.45167045
4.54916388,0.43700084,0.31680146,0.47669302
4.57491639,0.43376263,0.32992539,0.50470234
4.60066890,0.43018469,0.34244375,0.53634761
4.62642140,0.42623405,0.35440196,0.57248015
4.65217391,0.42187386,0.36584134,0.61423545
4.67792642,0.41706279,0.37679952,0.66315648
4.70367893,0.41175438,0.38731097,0.72138177
4.72943144,0.40589615,0.39740729,0.79193537
4.75518395,0.39942870,0.40711758,0.87917112
4.78093645,0.39228456,0.41646873,0.98941757
4.80668896,0.38438679,0.42548564,1.13172220
4.83244147,0.37564745,0.43419147,1.31774709
4.85819398,0.36596560,0.44260784,1.55606055
4.88394649,0.35522506,0.45075498,1.82361681
4.90969900,0.34329167,0.45865188,1.99572759
4.93545151,0.33001003,0.46631646,1.88578898
4.96120401,0.31519970,0.47376568,1.55131332
4.98695652,0.29865064,0.48101563,1.20421715
5.01270903,0.28011799,0.48808167,0.93006130
5.03846154,0.25931609,0.49497848,0.72644648
5.06421405,0.23591188,0.50172018,0.57434773
5.08996656,0.20951800,0.50832039,0.45792539
5.11571906,0.17968633,0.51479231,0.36632962
5.14147157,0.14590321,0.52114876,0.29237912
5.16722408,0.10758903,0.52740228,0.23128124
5.19297659,0.06410599,0.53356518,0.17976950
5.21872910,0.01478094,0.53964957,0.13556324
5.24448161,0.04104715,0.54566744,0.09703195
5.27023411,0.10394217,0.55163072,0.06298397
5.29598662,0.17423466,0.55755129,0.03253068
5.32173913,0.25182715,0.56344107,0.00499736
5.34749164,0.33595498,0.56931207,0.02013675
5.37324415,0.42495791,0.57517641,0.04327952
5.39899666,0.51617165,0.58104640,0.06475465
5.42474916,0.60607579,0.58693458,0.08482217
5.45050167,0.69077508,0.59285376,0.10369321
5.47625418,0.76672379,0.59881713,0.12154093
5.50200669,0.83142315,0.60483824,0.13850863
5.52775920,0.88379648,0.61093113,0.15471589
5.55351171,0.92412582,0.61711037,0.17026327
5.57926421,0.95366814,0.62339111,0.18523591
5.60501672,0.97417601,0.62978919,0.19970642
5.63076923,0.98749922,0.63632121,0.21373704
5.65652174,0.99533527,0.64300461,0.22738145
5.68227425,0.99911529,0.64985778,0.24068623
5.70802676,0.99998105,0.65690014,0.25369194
5.73377926,0.99881012,0.66415230,0.26643412
5.75953177,0.99625969,0.67163612,0.27894401
5.78528428,0.99281279,0.67937493,0.29124923
5.81103679,0.98881934,0.68739360,0.30337428
5.83678930,0.98452973,0.69571878,0.31534095
5.86254181,0.98012089,0.70437905,0.32716877
5.88829431,0.97571615,0.71340514,0.33887525
5.91404682,0.97139992,0.72283016,0.35047615
5.93979933,0.96722849,0.73268985,0.36198576
5.96555184,0.96323797,0.74302290,0.37341703
5.99130435,0.95945000,0.75387124,0.38478178
6.01705686,0.95587598,0.76528042,0.39609080
6.04280936,0.95252003,0.77730000,0.40735404
6.06856187,0.94938125,0.78998402,0.41858066
6.09431438,0.94645525,0.80339146,0.42977916
6.12006689,0.94373534,0.81758687,0.44095743
6.14581940,0.94121333,0.83264090,0.45212289
6.17157191,0.93888016,0.84863106,0.46328248
6.19732441,0.93672627,0.86564246,0.47444277
6.22307692,0.93474193,0.88376859,0.48561002
6.24882943,0.93291748,0.90311228,0.49679019
6.27458194,0.93124340,0.92378658,0.50798901
6.30033445,0.92971050,0.94591581,0.51921203
6.32608696,0.92830989,0.96963645,0.53046464
6.35183946,0.92703307,0.99509816,0.54175212
6.37759197,0.92587193,1.02246448,0.55307965
6.40334448,0.92481877,1.05191331,0.56445240
6.42909699,0.92386627,1.08363685,0.57587548
6.45484950,0.92300752,1.11784068,0.58735405
6.48060201,0.92223594,1.15474150,0.59889329
6.50635452,0.92154532,1.19456274,0.61049846
6.53210702,0.92092981,1.23752713,0.62217493
6.55785953,0.92038383,1.28384462,0.63392817
6.58361204,0.91990211,1.33369372,0.64576384
6.60936455,0.91947965,1.38719355,0.65768779
6.63511706,0.91911172,1.44436324,0.66970606
6.66086957,0.91879380,1.50506482,0.68182497
6.68662207,0.91852161,1.56892617,0.69405112
6.71237458,0.91829103,1.63524252,0.70639141
6.73812709,0.91809816,1.70286034,0.71885311
6.76387960,0.91793924,1.77005805,0.73144387
6.78963211,0.91781067,1.83445507,0.74417180
6.81538462,0.91770898,1.89300150,0.75704545
6.84113712,0.91763082,1.94211677,0.77007389
6.86688963,0.91757294,1.97803492,0.78326679
6.89264214,0.91753218,1.99735736,0.79663442
6.91839465,0.91750548,1.99770949,0.81018772
6.94414716,0.91748980,1.97829434,0.82393837
6.96989967,0.91748219,1.94012041,0.83789887
6.99565217,0.91747973,1.88579668,0.85208257
7.02140468,0.91747950,1.81897894,0.86650377
7.04715719,0.91747861,1.74368740,0.88117783
7.07290970,0.91747418,1.66371781,0.89612120
