time_ms,I_total_with_RE_MA,I_r_MA,I_th_with_RE_MA,I_total_baseline_MA
1.46693387e+00,1.40008660e+01,3.01931655e-02,1.39706728e+01,1.39846575e+01
1.49098196e+00,1.39929457e+01,3.05584008e-02,1.39623873e+01,1.39763636e+01
1.51503006e+00,1.39850347e+01,3.09280545e-02,1.39541066e+01,1.39680747e+01
1.53907816e+00,1.39771331e+01,3.13021798e-02,1.39458309e+01,1.39597907e+01
1.56312625e+00,1.39692409e+01,3.16808307e-02,1.39375601e+01,1.39515116e+01
1.58717435e+00,1.39613583e+01,3.20640621e-02,1.39292942e+01,1.39432374e+01
1.61122244e+00,1.39534851e+01,3.24519292e-02,1.39210332e+01,1.39349682e+01
1.63527054e+00,1.39456216e+01,3.28444882e-02,1.39127771e+01,1.39267038e+01
1.65931864e+00,1.39377677e+01,3.32417958e-02,1.39045259e+01,1.39184443e+01
1.68336673e+00,1.39299235e+01,3.36439095e-02,1.38962796e+01,1.39101898e+01
1.70741483e+00,1.39220890e+01,3.40508874e-02,1.38880382e+01,1.39019401e+01
1.73146293e+00,1.39142644e+01,3.44627884e-02,1.38798016e+01,1.38936953e+01
1.75551102e+00,1.39064496e+01,3.48796719e-02,1.38715700e+01,1.38854554e+01
1.77955912e+00,1.38986448e+01,3.53015983e-02,1.38633432e+01,1.38772204e+01
1.80360721e+00,1.38908499e+01,3.57286285e-02,1.38551213e+01,1.38689903e+01
1.82765531e+00,1.38830651e+01,3.61608244e-02,1.38469043e+01,1.38607651e+01
1.85170341e+00,1.38752904e+01,3.65982483e-02,1.38386921e+01,1.38525447e+01
1.87575150e+00,1.38675258e+01,3.70409636e-02,1.38304849e+01,1.38443292e+01
1.89979960e+00,1.38597715e+01,3.74890342e-02,1.38222825e+01,1.38361186e+01
1.92384770e+00,1.38520275e+01,3.79425249e-02,1.38140849e+01,1.38279128e+01
1.94789579e+00,1.38442938e+01,3.84015014e-02,1.38058923e+01,1.38197120e+01
1.97194389e+00,1.38365705e+01,3.88660298e-02,1.37977044e+01,1.38115160e+01
1.99599198e+00,1.38288577e+01,3.93361775e-02,1.37895215e+01,1.38033248e+01
2.02004008e+00,1.38211554e+01,3.98120127e-02,1.37813434e+01,1.37951385e+01
2.04408818e+00,1.38134637e+01,4.02936040e-02,1.37731701e+01,1.37869571e+01
2.06813627e+00,1.38057827e+01,4.07810210e-02,1.37650017e+01,1.37787805e+01
2.09218437e+00,1.37981125e+01,4.12743339e-02,1.37568381e+01,1.37706087e+01
2.11623246e+00,1.37904530e+01,4.17736143e-02,1.37486794e+01,1.37624418e+01
2.14028056e+00,1.37828045e+01,4.22789343e-02,1.37405255e+01,1.37542798e+01
2.16432866e+00,1.37751668e+01,4.27903669e-02,1.37323765e+01,1.37461226e+01
2.18837675e+00,1.37675402e+01,4.33079861e-02,1.37242322e+01,1.37379702e+01
2.21242485e+00,1.37599247e+01,4.38318668e-02,1.37160929e+01,1.37298227e+01
2.23647295e+00,1.37523204e+01,4.43620846e-02,1.37079583e+01,1.37216800e+01
2.26052104e+00,1.37447273e+01,4.48987162e-02,1.36998286e+01,1.37135421e+01
2.28456914e+00,1.37371455e+01,4.54418392e-02,1.36917036e+01,1.37054091e+01
2.30861723e+00,1.37295751e+01,4.59915322e-02,1.36835835e+01,1.36972808e+01
2.33266533e+00,1.37220161e+01,4.65478745e-02,1.36754683e+01,1.36891574e+01
2.35671343e+00,1.37144687e+01,4.71109467e-02,1.36673578e+01,1.36810388e+01
2.38076152e+00,1.37069330e+01,4.76808302e-02,1.36592521e+01,1.36729251e+01
2.40480962e+00,1.36994089e+01,4.82576072e-02,1.36511513e+01,1.36648161e+01
2.42885772e+00,1.36918966e+01,4.88413613e-02,1.36430552e+01,1.36567120e+01
2.45290581e+00,1.36843962e+01,4.94321769e-02,1.36349640e+01,1.36486126e+01
2.47695391e+00,1.36769077e+01,5.00301393e-02,1.36268776e+01,1.36405181e+01
2.50100200e+00,1.36694312e+01,5.06353349e-02,1.36187959e+01,1.36324283e+01
2.52505010e+00,1.36619669e+01,5.12478520e-02,1.36107190e+01,1.36243434e+01
2.54909820e+00,1.36545148e+01,5.18677785e-02,1.36026470e+01,1.36162632e+01
2.57314629e+00,1.36470749e+01,5.24952039e-02,1.35945797e+01,1.36081879e+01
2.59719439e+00,1.36396474e+01,5.31302191e-02,1.35865172e+01,1.36001173e+01
2.62124248e+00,1.36322324e+01,5.37729157e-02,1.35784595e+01,1.35920515e+01
2.64529058e+00,1.36248299e+01,5.44233868e-02,1.35704066e+01,1.35839905e+01
2.66933868e+00,1.36174401e+01,5.50817264e-02,1.35623584e+01,1.35759343e+01
