psi_N,eta_over_eta_axis
1.64328657e+00,6.14135348e+00
1.64729459e+00,6.26566817e+00
1.65130261e+00,6.39249927e+00
1.65531062e+00,6.52189772e+00
1.65931864e+00,6.65391548e+00
1.66332665e+00,6.78860557e+00
1.66733467e+00,6.92602209e+00
1.67134269e+00,7.06622023e+00
1.67535070e+00,7.20925629e+00
1.67935872e+00,7.35518772e+00
1.68336673e+00,7.50407312e+00
1.68737475e+00,7.65597230e+00
1.69138277e+00,7.81094626e+00
1.69539078e+00,7.96905723e+00
1.69939880e+00,8.13036873e+00
1.70340681e+00,8.29494553e+00
1.70741483e+00,8.46285373e+00
1.71142285e+00,8.63416077e+00
1.71543086e+00,8.80893544e+00
1.71943888e+00,8.98724794e+00
1.72344689e+00,9.16916989e+00
1.72745491e+00,9.35477434e+00
1.73146293e+00,9.54413584e+00
1.73547094e+00,9.73733044e+00
1.73947896e+00,9.93443573e+00
1.74348697e+00,1.01355309e+01
1.74749499e+00,1.03406966e+01
1.75150301e+00,1.05500154e+01
1.75551102e+00,1.07635712e+01
1.75951904e+00,1.09814499e+01
1.76352705e+00,1.12037390e+01
1.76753507e+00,1.14305276e+01
1.77154309e+00,1.16619070e+01
1.77555110e+00,1.18979700e+01
1.77955912e+00,1.21388115e+01
1.78356713e+00,1.23845281e+01
1.78757515e+00,1.26352186e+01
1.79158317e+00,1.28909836e+01
1.79559118e+00,1.31519259e+01
1.79959920e+00,1.34181502e+01
1.80360721e+00,1.36897635e+01
1.80761523e+00,1.39668748e+01
1.81162325e+00,1.42495955e+01
1.81563126e+00,1.45380391e+01
1.81963928e+00,1.48323215e+01
1.82364729e+00,1.51325607e+01
1.82765531e+00,1.54388775e+01
1.83166333e+00,1.57513948e+01
1.83567134e+00,1.60702382e+01
1.83967936e+00,1.63955357e+01
1.84368737e+00,1.67274179e+01
1.84769539e+00,1.70660181e+01
1.85170341e+00,1.74114724e+01
1.85571142e+00,1.77639194e+01
1.85971944e+00,1.81235008e+01
1.86372745e+00,1.84903609e+01
1.86773547e+00,1.88646470e+01
1.87174349e+00,1.92465096e+01
1.87575150e+00,1.96361019e+01
1.87975952e+00,2.00335804e+01
1.88376754e+00,2.04391047e+01
1.88777555e+00,2.08528378e+01
1.89178357e+00,2.12749457e+01
1.89579158e+00,2.17055981e+01
1.89979960e+00,2.21449678e+01
1.90380762e+00,2.25932314e+01
1.90781563e+00,2.30505688e+01
1.91182365e+00,2.35171637e+01
1.91583166e+00,2.39932036e+01
1.91983968e+00,2.44788795e+01
1.92384770e+00,2.49743866e+01
1.92785571e+00,2.54799239e+01
1.93186373e+00,2.59956944e+01
1.93587174e+00,2.65219053e+01
1.93987976e+00,2.70587678e+01
1.94388778e+00,2.76064976e+01
1.94789579e+00,2.81653147e+01
1.95190381e+00,2.87354435e+01
1.95591182e+00,2.93171130e+01
1.95991984e+00,2.99105568e+01
1.96392786e+00,3.05160132e+01
1.96793587e+00,3.11337253e+01
1.97194389e+00,3.17639414e+01
1.97595190e+00,3.24069144e+01
1.97995992e+00,3.30629026e+01
1.98396794e+00,3.37321695e+01
1.98797595e+00,3.44149839e+01
1.99198397e+00,3.51116199e+01
1.99599198e+00,3.58223575e+01
2.00000000e+00,3.65474819e+01
