time_ms,I_total_MA,I_re_MA,I_thermal_MA
1.08016032e+01,6.66758140e-01,6.83702195e-04,6.66074437e-01
1.09418838e+01,6.66615855e-01,6.84540920e-04,6.65931314e-01
1.10821643e+01,6.66467653e-01,6.85420009e-04,6.65782233e-01
1.12224449e+01,6.66313292e-01,6.86341148e-04,6.65626951e-01
1.13627255e+01,6.66152525e-01,6.87306098e-04,6.65465219e-01
1.15030060e+01,6.65985090e-01,6.88316723e-04,6.65296773e-01
1.16432866e+01,6.65810720e-01,6.89374933e-04,6.65121345e-01
1.17835671e+01,6.65629135e-01,6.90482766e-04,6.64938652e-01
1.19238477e+01,6.65440043e-01,6.91642329e-04,6.64748401e-01
1.20641283e+01,6.65243146e-01,6.92855821e-04,6.64550290e-01
1.22044088e+01,6.65038128e-01,6.94125574e-04,6.64344003e-01
1.23446894e+01,6.64824669e-01,6.95453978e-04,6.64129215e-01
1.24849699e+01,6.64602429e-01,6.96843584e-04,6.63905585e-01
1.26252505e+01,6.64371059e-01,6.98297032e-04,6.63672762e-01
1.27655311e+01,6.64130200e-01,6.99817079e-04,6.63430383e-01
1.29058116e+01,6.63879473e-01,7.01406646e-04,6.63178067e-01
1.30460922e+01,6.63618492e-01,7.03068744e-04,6.62915424e-01
1.31863727e+01,6.63346852e-01,7.04806569e-04,6.62642045e-01
1.33266533e+01,6.63064135e-01,7.06623426e-04,6.62357512e-01
1.34669339e+01,6.62769908e-01,7.08522820e-04,6.62061385e-01
1.36072144e+01,6.62463723e-01,7.10508376e-04,6.61753214e-01
1.37474950e+01,6.62145113e-01,7.12583938e-04,6.61432529e-01
1.38877756e+01,6.61813600e-01,7.14753486e-04,6.61098847e-01
1.40280561e+01,6.61468683e-01,7.17021242e-04,6.60751662e-01
1.41683367e+01,6.61109849e-01,7.19391577e-04,6.60390458e-01
1.43086172e+01,6.60736563e-01,7.21869129e-04,6.60014694e-01
1.44488978e+01,6.60348273e-01,7.24458706e-04,6.59623815e-01
1.45891784e+01,6.59944409e-01,7.27165406e-04,6.59217244e-01
1.47294589e+01,6.59524382e-01,7.29994521e-04,6.58794387e-01
1.48697395e+01,6.59087579e-01,7.32951664e-04,6.58354627e-01
1.50100200e+01,6.58633374e-01,7.36042661e-04,6.57897331e-01
1.51503006e+01,6.58161113e-01,7.39273699e-04,6.57421839e-01
1.52905812e+01,6.57670126e-01,7.42651201e-04,6.56927475e-01
1.54308617e+01,6.57159718e-01,7.46181988e-04,6.56413536e-01
1.55711423e+01,6.56629174e-01,7.49873167e-04,6.55879301e-01
1.57114228e+01,6.56077756e-01,7.53732240e-04,6.55324024e-01
1.58517034e+01,6.55504701e-01,7.57767093e-04,6.54746934e-01
1.59919840e+01,6.54909226e-01,7.61985998e-04,6.54147240e-01
1.61322645e+01,6.54290522e-01,7.66397687e-04,6.53524124e-01
1.62725451e+01,6.53647755e-01,7.71011333e-04,6.52876744e-01
1.64128257e+01,6.52980069e-01,7.75836584e-04,6.52204233e-01
1.65531062e+01,6.52286581e-01,7.80883632e-04,6.51505698e-01
1.66933868e+01,6.51566385e-01,7.86163177e-04,6.50780222e-01
1.68336673e+01,6.50818546e-01,7.91686520e-04,6.50026860e-01
1.69739479e+01,6.50042107e-01,7.97465581e-04,6.49244641e-01
1.71142285e+01,6.49236083e-01,8.03512894e-04,6.48432570e-01
1.72545090e+01,6.48399463e-01,8.09841731e-04,6.47589622e-01
1.73947896e+01,6.47531212e-01,8.16466079e-04,6.46714746e-01
1.75350701e+01,6.46630265e-01,8.23400697e-04,6.45806865e-01
1.76753507e+01,6.45695535e-01,8.30661196e-04,6.44864874e-01
1.78156313e+01,6.44725906e-01,8.38264069e-04,6.43887641e-01
1.79559118e+01,6.43720235e-01,8.46226752e-04,6.42874009e-01
1.80961924e+01,6.42677358e-01,8.54567687e-04,6.41822790e-01
1.82364729e+01,6.41596079e-01,8.63306385e-04,6.40732773e-01
1.83767535e+01,6.40475183e-01,8.72463517e-04,6.39602719e-01
1.85170341e+01,6.39313424e-01,8.82060970e-04,6.38431364e-01
1.86573146e+01,6.38109538e-01,8.92121937e-04,6.37217416e-01
1.87975952e+01,6.36862232e-01,9.02671002e-04,6.35959561e-01
1.89378758e+01,6.35570193e-01,9.13734235e-04,6.34656459e-01
1.90781563e+01,6.34232085e-01,9.25339320e-04,6.33306746e-01
1.92184369e+01,6.32846551e-01,9.37515634e-04,6.31909035e-01
1.93587174e+01,6.31412213e-01,9.50294386e-04,6.30461919e-01
1.94989980e+01,6.29927676e-01,9.63708729e-04,6.28963968e-01
1.96392786e+01,6.28391526e-01,9.77793904e-04,6.27413732e-01
1.97795591e+01,6.26802333e-01,9.92587423e-04,6.25809746e-01
1.99198397e+01,6.25158653e-01,1.00812919e-03,6.24150524e-01
2.00601202e+01,6.23459028e-01,1.02446169e-03,6.22434567e-01
2.02004008e+01,6.21701993e-01,1.04163016e-03,6.20660362e-01
2.03406814e+01,6.19886069e-01,1.05968283e-03,6.18826386e-01
2.04809619e+01,6.18009774e-01,1.07867113e-03,6.16931103e-01
2.06212425e+01,6.16071623e-01,1.09864988e-03,6.14972973e-01
2.07615230e+01,6.14070128e-01,1.11967762e-03,6.12950450e-01
2.09018036e+01,6.12003802e-01,1.14181684e-03,6.10861985e-01
2.10420842e+01,6.09871166e-01,1.16513426e-03,6.08706031e-01
2.11823647e+01,6.07670745e-01,1.18970123e-03,6.06481043e-01
2.13226453e+01,6.05401078e-01,1.21559398e-03,6.04185484e-01
2.14629259e+01,6.03060718e-01,1.24289406e-03,6.01817824e-01
2.16032064e+01,6.00648239e-01,1.27168872e-03,5.99376550e-01
2.17434870e+01,5.98162235e-01,1.30207136e-03,5.96860164e-01
2.18837675e+01,5.95601330e-01,1.33414201e-03,5.94267188e-01
2.20240481e+01,5.92964178e-01,1.36800780e-03,5.91596171e-01
2.21643287e+01,5.90249473e-01,1.40378355e-03,5.88845689e-01
2.23046092e+01,5.87455946e-01,1.44159234e-03,5.86014353e-01
2.24448898e+01,5.84582378e-01,1.48156619e-03,5.83100812e-01
2.25851703e+01,5.81627602e-01,1.52384669e-03,5.80103755e-01
2.27254509e+01,5.78590508e-01,1.56858580e-03,5.77021922e-01
2.28657315e+01,5.75470050e-01,1.61594663e-03,5.73854103e-01
2.30060120e+01,5.72265252e-01,1.66610429e-03,5.70599148e-01
2.31462926e+01,5.68975214e-01,1.71924687e-03,5.67255967e-01
2.32865731e+01,5.65599116e-01,1.77557642e-03,5.63823540e-01
2.34268537e+01,5.62136231e-01,1.83530999e-03,5.60300921e-01
2.35671343e+01,5.58585923e-01,1.89868085e-03,5.56687242e-01
2.37074148e+01,5.54947660e-01,1.96593971e-03,5.52981720e-01
2.38476954e+01,5.51221020e-01,2.03735605e-03,5.49183664e-01
2.39879760e+01,5.47405696e-01,2.11321958e-03,5.45292476e-01
2.41282565e+01,5.43501504e-01,2.19384174e-03,5.41307662e-01
2.42685371e+01,5.39508391e-01,2.27955738e-03,5.37228834e-01
2.44088176e+01,5.35426442e-01,2.37072648e-03,5.33055716e-01
2.45490982e+01,5.31255888e-01,2.46773605e-03,5.28788152e-01
2.46893788e+01,5.26997108e-01,2.57100208e-03,5.24426106e-01
2.48296593e+01,5.22650646e-01,2.68097176e-03,5.19969674e-01
2.49699399e+01,5.18217208e-01,2.79812558e-03,5.15419083e-01
2.51102204e+01,5.13697677e-01,2.92297989e-03,5.10774698e-01
2.52505010e+01,5.09093115e-01,3.05608923e-03,5.06037026e-01
2.53907816e+01,5.04404772e-01,3.19804920e-03,5.01206723e-01
2.55310621e+01,4.99634093e-01,3.34949909e-03,4.96284593e-01
2.56713427e+01,4.94782720e-01,3.51112487e-03,4.91271595e-01
2.58116232e+01,4.89852508e-01,3.68366235e-03,4.86168845e-01
2.59519038e+01,4.84845519e-01,3.86790019e-03,4.80977618e-01
2.60921844e+01,4.79764036e-01,4.06468349e-03,4.75699353e-01
2.62324649e+01,4.74610566e-01,4.27491693e-03,4.70335649e-01
2.63727455e+01,4.69387844e-01,4.49956863e-03,4.64888275e-01
2.65130261e+01,4.64098835e-01,4.73967346e-03,4.59359162e-01
2.66533066e+01,4.58746746e-01,4.99633704e-03,4.53750409e-01
2.67935872e+01,4.53335019e-01,5.27073926e-03,4.48064280e-01
2.69338677e+01,4.47867342e-01,5.56413813e-03,4.42303204e-01
2.70741483e+01,4.42347646e-01,5.87787352e-03,4.36469772e-01
2.72144289e+01,4.36780108e-01,6.21337084e-03,4.30566737e-01
2.73547094e+01,4.31169155e-01,6.57214463e-03,4.24597011e-01
2.74949900e+01,4.25519458e-01,6.95580201e-03,4.18563656e-01
2.76352705e+01,4.19835936e-01,7.36604593e-03,4.12469890e-01
2.77755511e+01,4.14123750e-01,7.80467813e-03,4.06319072e-01
2.79158317e+01,4.08388304e-01,8.27360184e-03,4.00114703e-01
2.80561122e+01,4.02635241e-01,8.77482402e-03,3.93860417e-01
2.81963928e+01,3.96870433e-01,9.31045718e-03,3.87559976e-01
2.83366733e+01,3.91099982e-01,9.88272056e-03,3.81217262e-01
2.84769539e+01,3.85330207e-01,1.04939407e-02,3.74836267e-01
2.86172345e+01,3.79567640e-01,1.11465513e-02,3.68421089e-01
2.87575150e+01,3.73819011e-01,1.18430923e-02,3.61975918e-01
2.88977956e+01,3.68091240e-01,1.25862077e-02,3.55505032e-01
2.90380762e+01,3.62391426e-01,1.33786429e-02,3.49012783e-01
2.91783567e+01,3.56726826e-01,1.42232404e-02,3.42503586e-01
2.93186373e+01,3.51104848e-01,1.51229345e-02,3.35981913e-01
2.94589178e+01,3.45533023e-01,1.60807446e-02,3.29452279e-01
2.95991984e+01,3.40018997e-01,1.70997677e-02,3.22919229e-01
2.97394790e+01,3.34570500e-01,1.81831680e-02,3.16387333e-01
2.98797595e+01,3.29195331e-01,1.93341666e-02,3.09861165e-01
3.00200401e+01,3.23901329e-01,2.05560288e-02,3.03345300e-01
3.01603206e+01,3.18696350e-01,2.18520497e-02,2.96844300e-01
3.03006012e+01,3.13588236e-01,2.32255386e-02,2.90362698e-01
3.04408818e+01,3.08584793e-01,2.46798015e-02,2.83904992e-01
3.05811623e+01,3.03693754e-01,2.62181226e-02,2.77475631e-01
3.07214429e+01,2.98922748e-01,2.78437432e-02,2.71079005e-01
3.08617234e+01,2.94279272e-01,2.95598405e-02,2.64719432e-01
3.10020040e+01,2.89770654e-01,3.13695043e-02,2.58401149e-01
3.11422846e+01,2.85404017e-01,3.32757133e-02,2.52128303e-01
3.12825651e+01,2.81186248e-01,3.52813094e-02,2.45904939e-01
3.14228457e+01,2.77123961e-01,3.73889721e-02,2.39734989e-01
3.15631263e+01,2.73223462e-01,3.96011924e-02,2.33622269e-01
3.17034068e+01,2.69490711e-01,4.19202466e-02,2.27570465e-01
3.18436874e+01,2.65931297e-01,4.43481698e-02,2.21583128e-01
3.19839679e+01,2.62550394e-01,4.68867293e-02,2.15663665e-01
3.21242485e+01,2.59352735e-01,4.95374004e-02,2.09815335e-01
3.22645291e+01,2.56342583e-01,5.23013416e-02,2.04041241e-01
3.24048096e+01,2.53523698e-01,5.51793717e-02,1.98344326e-01
3.25450902e+01,2.50899318e-01,5.81719495e-02,1.92727368e-01
3.26853707e+01,2.48472129e-01,6.12791534e-02,1.87192976e-01
