S_inv,gamma_fRE_0.0,gamma_fRE_0.5,gamma_fRE_1.0
1.53436841e-05,1.24245277e-02,9.86135413e-03,1.07721735e-07
1.62575567e-05,1.26664553e-02,1.00533723e-02,1.07721735e-07
1.72258597e-05,1.29130938e-02,1.02491293e-02,1.07721735e-07
1.82518349e-05,1.31645347e-02,1.04486982e-02,1.07721735e-07
1.93389175e-05,1.34208717e-02,1.06521529e-02,1.07721735e-07
2.04907469e-05,1.36822000e-02,1.08595693e-02,1.07721735e-07
2.17111795e-05,1.39486168e-02,1.10710245e-02,1.07721735e-07
2.30043012e-05,1.42202212e-02,1.12865971e-02,1.07721735e-07
2.43744415e-05,1.44971143e-02,1.15063672e-02,1.07721735e-07
2.58261876e-05,1.47793989e-02,1.17304167e-02,1.07721735e-07
2.73644000e-05,1.50671801e-02,1.19588288e-02,1.07721735e-07
2.89942285e-05,1.53605650e-02,1.21916885e-02,1.07721735e-07
3.07211300e-05,1.56596626e-02,1.24290824e-02,1.07721735e-07
3.25508860e-05,1.59645841e-02,1.26710988e-02,1.07721735e-07
3.44896226e-05,1.62754430e-02,1.29178277e-02,1.07721735e-07
3.65438307e-05,1.65923549e-02,1.31693608e-02,1.07721735e-07
3.87203878e-05,1.69154376e-02,1.34257917e-02,1.07721735e-07
4.10265811e-05,1.72448113e-02,1.36872158e-02,1.07721735e-07
4.34701316e-05,1.75805985e-02,1.39537303e-02,1.07721735e-07
4.60592204e-05,1.79229241e-02,1.42254343e-02,1.07721735e-07
4.88025158e-05,1.82719154e-02,1.45024288e-02,1.07721735e-07
5.17092024e-05,1.86277021e-02,1.47848170e-02,1.07721735e-07
5.47890118e-05,1.89904167e-02,1.50727037e-02,1.07721735e-07
5.80522552e-05,1.93601939e-02,1.53661961e-02,1.07721735e-07
6.15098579e-05,1.97371714e-02,1.56654033e-02,1.07721735e-07
6.51733960e-05,2.01214893e-02,1.59704366e-02,1.07721735e-07
6.90551352e-05,2.05132905e-02,1.62814095e-02,1.07721735e-07
7.31680714e-05,2.09127208e-02,1.65984375e-02,1.07721735e-07
7.75259749e-05,2.13199288e-02,1.69216387e-02,1.07721735e-07
8.21434358e-05,2.17350658e-02,1.72511332e-02,1.07721735e-07
8.70359136e-05,2.21582863e-02,1.75870435e-02,1.07721735e-07
9.22197882e-05,2.25897476e-02,1.79294945e-02,1.07721735e-07
9.77124154e-05,2.30296102e-02,1.82786137e-02,1.07721735e-07
1.03532184e-04,2.34780378e-02,1.86345309e-02,1.07721735e-07
1.09698580e-04,2.39351970e-02,1.89973784e-02,1.07721735e-07
1.16232247e-04,2.44012579e-02,1.93672912e-02,1.07721735e-07
1.23155060e-04,2.48763939e-02,1.97444069e-02,1.07721735e-07
