r_over_a,j_prequench_Am2,j_total_postquench_Am2,j_re_postquench_Am2,j_thermal_postquench_Am2
9.14572864e-01,6.97626019e+04,8.95720224e+03,8.95716326e+03,3.89792336e-02
9.19597990e-01,6.58312526e+04,7.97611469e+03,7.97607791e+03,3.67826271e-02
9.24623116e-01,6.18783616e+04,7.04701008e+03,7.04697551e+03,3.45739844e-02
9.29648241e-01,5.79039290e+04,6.17082874e+03,6.17079638e+03,3.23533055e-02
9.34673367e-01,5.39079547e+04,5.34851608e+03,5.34848596e+03,3.01205904e-02
9.39698492e-01,4.98904388e+04,4.58102266e+03,4.58099479e+03,2.78758391e-02
9.44723618e-01,4.58513812e+04,3.86930418e+03,3.86927856e+03,2.56190516e-02
9.49748744e-01,4.17907821e+04,3.21432142e+03,3.21429807e+03,2.33502279e-02
9.54773869e-01,3.77086412e+04,2.61704032e+03,2.61701925e+03,2.10693680e-02
9.59798995e-01,3.36049588e+04,2.07843194e+03,2.07841316e+03,1.87764719e-02
9.64824121e-01,2.94797347e+04,1.59947245e+03,1.59945598e+03,1.64715396e-02
9.69849246e-01,2.53329689e+04,1.18114315e+03,1.18112900e+03,1.41545711e-02
9.74874372e-01,2.11646615e+04,8.24430471e+02,8.24418646e+02,1.18255665e-02
9.79899497e-01,1.69748125e+04,5.30325963e+02,5.30316479e+02,9.48452556e-03
9.84924623e-01,1.27634218e+04,2.99826301e+02,2.99819170e+02,7.13144847e-03
9.89949749e-01,8.53048953e+03,1.33933283e+02,1.33928517e+02,4.76633518e-03
9.94974874e-01,4.27601559e+03,3.36538336e+01,3.36514444e+01,2.38918569e-03
1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
