kDelta,eta_exact,eta_short_wavelength,eta_long_wavelength
7.71771543e+00,1.60392381e+00,1.60392388e+00,3.27417262e+00
7.73773547e+00,1.60600278e+00,1.60600285e+00,3.28054056e+00
7.75775551e+00,1.60807907e+00,1.60807913e+00,3.28690437e+00
7.77777555e+00,1.61015268e+00,1.61015274e+00,3.29326408e+00
7.79779559e+00,1.61222362e+00,1.61222368e+00,3.29961969e+00
7.81781563e+00,1.61429191e+00,1.61429196e+00,3.30597123e+00
7.83783567e+00,1.61635754e+00,1.61635760e+00,3.31231871e+00
7.85785571e+00,1.61842055e+00,1.61842060e+00,3.31866213e+00
7.87787575e+00,1.62048092e+00,1.62048097e+00,3.32500151e+00
7.89789579e+00,1.62253868e+00,1.62253873e+00,3.33133687e+00
7.91791583e+00,1.62459383e+00,1.62459388e+00,3.33766821e+00
7.93793587e+00,1.62664639e+00,1.62664643e+00,3.34399556e+00
7.95795591e+00,1.62869636e+00,1.62869640e+00,3.35031891e+00
7.97797595e+00,1.63074375e+00,1.63074379e+00,3.35663829e+00
7.99799599e+00,1.63278857e+00,1.63278862e+00,3.36295371e+00
8.01801603e+00,1.63483084e+00,1.63483088e+00,3.36926517e+00
8.03803607e+00,1.63687056e+00,1.63687060e+00,3.37557270e+00
8.05805611e+00,1.63890774e+00,1.63890778e+00,3.38187630e+00
8.07807615e+00,1.64094239e+00,1.64094243e+00,3.38817598e+00
8.09809619e+00,1.64297452e+00,1.64297456e+00,3.39447176e+00
8.11811623e+00,1.64500415e+00,1.64500418e+00,3.40076366e+00
8.13813627e+00,1.64703127e+00,1.64703130e+00,3.40705167e+00
8.15815631e+00,1.64905589e+00,1.64905592e+00,3.41333582e+00
8.17817635e+00,1.65107804e+00,1.65107807e+00,3.41961612e+00
8.19819639e+00,1.65309771e+00,1.65309774e+00,3.42589257e+00
8.21821643e+00,1.65511492e+00,1.65511494e+00,3.43216520e+00
8.23823647e+00,1.65712967e+00,1.65712969e+00,3.43843400e+00
8.25825651e+00,1.65914197e+00,1.65914200e+00,3.44469900e+00
8.27827655e+00,1.66115184e+00,1.66115186e+00,3.45096020e+00
8.29829659e+00,1.66315928e+00,1.66315930e+00,3.45721761e+00
8.31831663e+00,1.66516430e+00,1.66516432e+00,3.46347126e+00
8.33833667e+00,1.66716690e+00,1.66716693e+00,3.46972114e+00
8.35835671e+00,1.66916711e+00,1.66916713e+00,3.47596727e+00
8.37837675e+00,1.67116492e+00,1.67116494e+00,3.48220966e+00
8.39839679e+00,1.67316034e+00,1.67316036e+00,3.48844833e+00
8.41841683e+00,1.67515339e+00,1.67515341e+00,3.49468328e+00
8.43843687e+00,1.67714407e+00,1.67714409e+00,3.50091452e+00
8.45845691e+00,1.67913239e+00,1.67913241e+00,3.50714206e+00
8.47847695e+00,1.68111836e+00,1.68111837e+00,3.51336593e+00
8.49849699e+00,1.68310198e+00,1.68310200e+00,3.51958612e+00
8.51851703e+00,1.68508327e+00,1.68508329e+00,3.52580265e+00
8.53853707e+00,1.68706223e+00,1.68706225e+00,3.53201552e+00
8.55855711e+00,1.68903888e+00,1.68903889e+00,3.53822476e+00
8.57857715e+00,1.69101321e+00,1.69101322e+00,3.54443036e+00
8.59859719e+00,1.69298524e+00,1.69298525e+00,3.55063235e+00
8.61861723e+00,1.69495498e+00,1.69495499e+00,3.55683073e+00
8.63863727e+00,1.69692243e+00,1.69692244e+00,3.56302551e+00
8.65865731e+00,1.69888760e+00,1.69888761e+00,3.56921670e+00
8.67867735e+00,1.70085050e+00,1.70085051e+00,3.57540431e+00
8.69869739e+00,1.70281114e+00,1.70281115e+00,3.58158836e+00
8.71871743e+00,1.70476952e+00,1.70476953e+00,3.58776885e+00
8.73873747e+00,1.70672565e+00,1.70672566e+00,3.59394579e+00
8.75875752e+00,1.70867955e+00,1.70867956e+00,3.60011919e+00
8.77877756e+00,1.71063122e+00,1.71063122e+00,3.60628907e+00
8.79879760e+00,1.71258066e+00,1.71258066e+00,3.61245543e+00
8.81881764e+00,1.71452788e+00,1.71452789e+00,3.61861829e+00
8.83883768e+00,1.71647289e+00,1.71647290e+00,3.62477765e+00
8.85885772e+00,1.71841571e+00,1.71841572e+00,3.63093352e+00
8.87887776e+00,1.72035633e+00,1.72035633e+00,3.63708591e+00
8.89889780e+00,1.72229476e+00,1.72229477e+00,3.64323484e+00
8.91891784e+00,1.72423101e+00,1.72423102e+00,3.64938031e+00
8.93893788e+00,1.72616510e+00,1.72616510e+00,3.65552233e+00
8.95895792e+00,1.72809701e+00,1.72809702e+00,3.66166092e+00
8.97897796e+00,1.73002677e+00,1.73002678e+00,3.66779607e+00
8.99899800e+00,1.73195438e+00,1.73195439e+00,3.67392781e+00
9.01901804e+00,1.73387985e+00,1.73387985e+00,3.68005614e+00
9.03903808e+00,1.73580318e+00,1.73580318e+00,3.68618107e+00
9.05905812e+00,1.73772438e+00,1.73772439e+00,3.69230260e+00
9.07907816e+00,1.73964346e+00,1.73964347e+00,3.69842076e+00
9.09909820e+00,1.74156043e+00,1.74156043e+00,3.70453554e+00
9.11911824e+00,1.74347528e+00,1.74347529e+00,3.71064697e+00
9.13913828e+00,1.74538804e+00,1.74538804e+00,3.71675503e+00
9.15915832e+00,1.74729870e+00,1.74729871e+00,3.72285976e+00
9.17917836e+00,1.74920728e+00,1.74920728e+00,3.72896115e+00
9.19919840e+00,1.75111377e+00,1.75111378e+00,3.73505921e+00
9.21921844e+00,1.75301820e+00,1.75301820e+00,3.74115396e+00
9.23923848e+00,1.75492055e+00,1.75492056e+00,3.74724540e+00
9.25925852e+00,1.75682085e+00,1.75682085e+00,3.75333354e+00
9.27927856e+00,1.75871909e+00,1.75871909e+00,3.75941839e+00
9.29929860e+00,1.76061529e+00,1.76061529e+00,3.76549996e+00
9.31931864e+00,1.76250944e+00,1.76250945e+00,3.77157825e+00
9.33933868e+00,1.76440156e+00,1.76440157e+00,3.77765329e+00
9.35935872e+00,1.76629166e+00,1.76629166e+00,3.78372506e+00
9.37937876e+00,1.76817974e+00,1.76817974e+00,3.78979360e+00
9.39939880e+00,1.77006580e+00,1.77006580e+00,3.79585889e+00
9.41941884e+00,1.77194985e+00,1.77194985e+00,3.80192096e+00
9.43943888e+00,1.77383190e+00,1.77383190e+00,3.80797980e+00
9.45945892e+00,1.77571196e+00,1.77571196e+00,3.81403544e+00
9.47947896e+00,1.77759003e+00,1.77759003e+00,3.82008787e+00
9.49949900e+00,1.77946612e+00,1.77946612e+00,3.82613710e+00
9.51951904e+00,1.78134023e+00,1.78134023e+00,3.83218315e+00
9.53953908e+00,1.78321237e+00,1.78321237e+00,3.83822602e+00
9.55955912e+00,1.78508255e+00,1.78508255e+00,3.84426573e+00
9.57957916e+00,1.78695077e+00,1.78695077e+00,3.85030227e+00
9.59959920e+00,1.78881704e+00,1.78881704e+00,3.85633565e+00
9.61961924e+00,1.79068136e+00,1.79068136e+00,3.86236590e+00
9.63963928e+00,1.79254375e+00,1.79254375e+00,3.86839300e+00
9.65965932e+00,1.79440420e+00,1.79440420e+00,3.87441698e+00
9.67967936e+00,1.79626273e+00,1.79626273e+00,3.88043784e+00
9.69969940e+00,1.79811933e+00,1.79811933e+00,3.88645558e+00
9.71971944e+00,1.79997402e+00,1.79997402e+00,3.89247022e+00
9.73973948e+00,1.80182680e+00,1.80182680e+00,3.89848177e+00
9.75975952e+00,1.80367768e+00,1.80367768e+00,3.90449022e+00
9.77977956e+00,1.80552666e+00,1.80552666e+00,3.91049560e+00
9.79979960e+00,1.80737375e+00,1.80737375e+00,3.91649790e+00
9.81981964e+00,1.80921895e+00,1.80921895e+00,3.92249714e+00
9.83983968e+00,1.81106227e+00,1.81106227e+00,3.92849332e+00
9.85985972e+00,1.81290372e+00,1.81290372e+00,3.93448645e+00
9.87987976e+00,1.81474330e+00,1.81474330e+00,3.94047654e+00
9.89989980e+00,1.81658102e+00,1.81658102e+00,3.94646360e+00
9.91991984e+00,1.81841688e+00,1.81841688e+00,3.95244763e+00
9.93993988e+00,1.82025089e+00,1.82025089e+00,3.95842864e+00
9.95995992e+00,1.82208305e+00,1.82208305e+00,3.96440664e+00
9.97997996e+00,1.82391337e+00,1.82391337e+00,3.97038164e+00
1.00000000e+01,1.82574186e+00,1.82574186e+00,3.97635364e+00
