kDelta,eta_exact,eta_short_wavelength,eta_long_wavelength
1.77176353e+00,7.63495231e-01,7.68497132e-01,1.08589872e+00
1.79178357e+00,7.67996584e-01,7.72826752e-01,1.09508836e+00
1.81180361e+00,7.72468115e-01,7.77132251e-01,1.10425238e+00
1.83182365e+00,7.76910403e-01,7.81414028e-01,1.11339111e+00
1.85184369e+00,7.81324009e-01,7.85672469e-01,1.12250490e+00
1.87186373e+00,7.85709481e-01,7.89907954e-01,1.13159410e+00
1.89188377e+00,7.90067351e-01,7.94120849e-01,1.14065902e+00
1.91190381e+00,7.94398137e-01,7.98311511e-01,1.14970000e+00
1.93192385e+00,7.98702341e-01,8.02480290e-01,1.15871734e+00
1.95194389e+00,8.02980453e-01,8.06627524e-01,1.16771134e+00
1.97196393e+00,8.07232951e-01,8.10753544e-01,1.17668232e+00
1.99198397e+00,8.11460297e-01,8.14858672e-01,1.18563055e+00
2.01200401e+00,8.15662944e-01,8.18943223e-01,1.19455633e+00
2.03202405e+00,8.19841332e-01,8.23007503e-01,1.20345993e+00
2.05204409e+00,8.23995887e-01,8.27051810e-01,1.21234163e+00
2.07206413e+00,8.28127028e-01,8.31076436e-01,1.22120169e+00
2.09208417e+00,8.32235160e-01,8.35081666e-01,1.23004037e+00
2.11210421e+00,8.36320678e-01,8.39067778e-01,1.23885794e+00
2.13212425e+00,8.40383969e-01,8.43035042e-01,1.24765463e+00
2.15214429e+00,8.44425407e-01,8.46983724e-01,1.25643070e+00
2.17216433e+00,8.48445359e-01,8.50914083e-01,1.26518639e+00
2.19218437e+00,8.52444181e-01,8.54826370e-01,1.27392192e+00
2.21220441e+00,8.56422220e-01,8.58720833e-01,1.28263753e+00
2.23222445e+00,8.60379817e-01,8.62597714e-01,1.29133344e+00
2.25224449e+00,8.64317301e-01,8.66457248e-01,1.30000988e+00
2.27226453e+00,8.68234994e-01,8.70299667e-01,1.30866705e+00
2.29228457e+00,8.72133211e-01,8.74125195e-01,1.31730518e+00
2.31230461e+00,8.76012260e-01,8.77934054e-01,1.32592447e+00
2.33232465e+00,8.79872438e-01,8.81726460e-01,1.33452512e+00
2.35234469e+00,8.83714038e-01,8.85502624e-01,1.34310734e+00
2.37236473e+00,8.87537344e-01,8.89262753e-01,1.35167131e+00
2.39238477e+00,8.91342636e-01,8.93007049e-01,1.36021724e+00
2.41240481e+00,8.95130184e-01,8.96735712e-01,1.36874530e+00
2.43242485e+00,8.98900253e-01,9.00448934e-01,1.37725569e+00
2.45244489e+00,9.02653102e-01,9.04146907e-01,1.38574859e+00
2.47246493e+00,9.06388983e-01,9.07829817e-01,1.39422417e+00
2.49248497e+00,9.10108144e-01,9.11497846e-01,1.40268261e+00
2.51250501e+00,9.13810825e-01,9.15151173e-01,1.41112409e+00
2.53252505e+00,9.17497262e-01,9.18789974e-01,1.41954876e+00
2.55254509e+00,9.21167685e-01,9.22414421e-01,1.42795680e+00
2.57256513e+00,9.24822318e-01,9.26024681e-01,1.43634837e+00
2.59258517e+00,9.28461382e-01,9.29620921e-01,1.44472363e+00
2.61260521e+00,9.32085091e-01,9.33203302e-01,1.45308274e+00
2.63262525e+00,9.35693654e-01,9.36771984e-01,1.46142585e+00
2.65264529e+00,9.39287278e-01,9.40327122e-01,1.46975311e+00
2.67266533e+00,9.42866163e-01,9.43868870e-01,1.47806467e+00
2.69268537e+00,9.46430505e-01,9.47397377e-01,1.48636069e+00
2.71270541e+00,9.49980496e-01,9.50912791e-01,1.49464130e+00
2.73272545e+00,9.53516324e-01,9.54415257e-01,1.50290664e+00
2.75274549e+00,9.57038172e-01,9.57904917e-01,1.51115686e+00
2.77276553e+00,9.60546221e-01,9.61381910e-01,1.51939209e+00
2.79278557e+00,9.64040646e-01,9.64846373e-01,1.52761247e+00
2.81280561e+00,9.67521619e-01,9.68298441e-01,1.53581814e+00
2.83282565e+00,9.70989309e-01,9.71738245e-01,1.54400921e+00
2.85284569e+00,9.74443880e-01,9.75165916e-01,1.55218583e+00
2.87286573e+00,9.77885495e-01,9.78581581e-01,1.56034811e+00
2.89288577e+00,9.81314311e-01,9.81985365e-01,1.56849618e+00
2.91290581e+00,9.84730484e-01,9.85377392e-01,1.57663017e+00
2.93292585e+00,9.88134164e-01,9.88757782e-01,1.58475020e+00
2.95294589e+00,9.91525501e-01,9.92126654e-01,1.59285638e+00
2.97296593e+00,9.94904641e-01,9.95484125e-01,1.60094883e+00
2.99298597e+00,9.98271725e-01,9.98830311e-01,1.60902767e+00
3.01300601e+00,1.00162689e+00,1.00216532e+00,1.61709301e+00
3.03302605e+00,1.00497028e+00,1.00548928e+00,1.62514497e+00
3.05304609e+00,1.00830203e+00,1.00880228e+00,1.63318365e+00
3.07306613e+00,1.01162227e+00,1.01210443e+00,1.64120916e+00
3.09308617e+00,1.01493112e+00,1.01539585e+00,1.64922161e+00
3.11310621e+00,1.01822871e+00,1.01867663e+00,1.65722111e+00
3.13312625e+00,1.02151517e+00,1.02194688e+00,1.66520775e+00
3.15314629e+00,1.02479063e+00,1.02520669e+00,1.67318165e+00
3.17316633e+00,1.02805519e+00,1.02845618e+00,1.68114290e+00
3.19318637e+00,1.03130897e+00,1.03169543e+00,1.68909160e+00
3.21320641e+00,1.03455210e+00,1.03492454e+00,1.69702786e+00
3.23322645e+00,1.03778469e+00,1.03814361e+00,1.70495176e+00
3.25324649e+00,1.04100683e+00,1.04135272e+00,1.71286340e+00
3.27326653e+00,1.04421865e+00,1.04455198e+00,1.72076288e+00
3.29328657e+00,1.04742026e+00,1.04774147e+00,1.72865030e+00
3.31330661e+00,1.05061174e+00,1.05092128e+00,1.73652573e+00
3.33332665e+00,1.05379322e+00,1.05409150e+00,1.74438928e+00
3.35334669e+00,1.05696478e+00,1.05725221e+00,1.75224103e+00
3.37336673e+00,1.06012654e+00,1.06040350e+00,1.76008106e+00
3.39338677e+00,1.06327858e+00,1.06354545e+00,1.76790948e+00
3.41340681e+00,1.06642100e+00,1.06667815e+00,1.77572636e+00
3.43342685e+00,1.06955390e+00,1.06980167e+00,1.78353178e+00
3.45344689e+00,1.07267737e+00,1.07291610e+00,1.79132583e+00
3.47346693e+00,1.07579149e+00,1.07602152e+00,1.79910860e+00
3.49348697e+00,1.07889637e+00,1.07911800e+00,1.80688016e+00
3.51350701e+00,1.08199208e+00,1.08220562e+00,1.81464059e+00
3.53352705e+00,1.08507872e+00,1.08528446e+00,1.82238998e+00
3.55354709e+00,1.08815636e+00,1.08835458e+00,1.83012839e+00
3.57356713e+00,1.09122510e+00,1.09141607e+00,1.83785592e+00
3.59358717e+00,1.09428501e+00,1.09446900e+00,1.84557263e+00
3.61360721e+00,1.09733618e+00,1.09751343e+00,1.85327860e+00
3.63362725e+00,1.10037868e+00,1.10054945e+00,1.86097390e+00
3.65364729e+00,1.10341259e+00,1.10357711e+00,1.86865862e+00
3.67366733e+00,1.10643800e+00,1.10659648e+00,1.87633281e+00
3.69368737e+00,1.10945497e+00,1.10960764e+00,1.88399655e+00
3.71370741e+00,1.11246357e+00,1.11261066e+00,1.89164992e+00
3.73372745e+00,1.11546390e+00,1.11560558e+00,1.89929298e+00
3.75374749e+00,1.11845600e+00,1.11859249e+00,1.90692580e+00
3.77376754e+00,1.12143997e+00,1.12157145e+00,1.91454845e+00
3.79378758e+00,1.12441586e+00,1.12454251e+00,1.92216099e+00
3.81380762e+00,1.12738374e+00,1.12750575e+00,1.92976350e+00
3.83382766e+00,1.13034369e+00,1.13046121e+00,1.93735604e+00
3.85384770e+00,1.13329577e+00,1.13340897e+00,1.94493868e+00
3.87386774e+00,1.13624005e+00,1.13634909e+00,1.95251147e+00
3.89388778e+00,1.13917658e+00,1.13928161e+00,1.96007448e+00
3.91390782e+00,1.14210544e+00,1.14220661e+00,1.96762778e+00
3.93392786e+00,1.14502669e+00,1.14512414e+00,1.97517143e+00
3.95394790e+00,1.14794039e+00,1.14803425e+00,1.98270549e+00
3.97396794e+00,1.15084660e+00,1.15093700e+00,1.99023001e+00
3.99398798e+00,1.15374538e+00,1.15383245e+00,1.99774507e+00
4.01400802e+00,1.15663679e+00,1.15672065e+00,2.00525071e+00
4.03402806e+00,1.15952089e+00,1.15960166e+00,2.01274700e+00
4.05404810e+00,1.16239774e+00,1.16247553e+00,2.02023399e+00
4.07406814e+00,1.16526739e+00,1.16534232e+00,2.02771175e+00
4.09408818e+00,1.16812991e+00,1.16820206e+00,2.03518033e+00
4.11410822e+00,1.17098533e+00,1.17105483e+00,2.04263978e+00
4.13412826e+00,1.17383373e+00,1.17390066e+00,2.05009016e+00
4.15414830e+00,1.17667515e+00,1.17673961e+00,2.05753153e+00
4.17416834e+00,1.17950965e+00,1.17957172e+00,2.06496394e+00
4.19418838e+00,1.18233727e+00,1.18239705e+00,2.07238744e+00
4.21420842e+00,1.18515808e+00,1.18521565e+00,2.07980209e+00
