gamma_max,r_diss_over_l_zeta_0.05,r_diss_over_l_zeta_0.1,r_diss_over_l_zeta_0.3,r_diss_over_l_zeta_0.5
7.66682207e+01,2.82144771e+07,7.05361929e+06,7.83735476e+05,2.82144771e+05
8.02938485e+01,3.09460901e+07,7.73652253e+06,8.59613614e+05,3.09460901e+05
8.40909316e+01,3.39421669e+07,8.48554173e+06,9.42837971e+05,3.39421669e+05
8.80675782e+01,3.72283120e+07,9.30707799e+06,1.03411978e+06,3.72283120e+05
9.22322797e+01,4.08326084e+07,1.02081521e+07,1.13423912e+06,4.08326084e+05
9.65939293e+01,4.47858584e+07,1.11964646e+07,1.24405162e+06,4.47858584e+05
1.01161841e+02,4.91218463e+07,1.22804616e+07,1.36449573e+06,4.91218463e+05
1.05945768e+02,5.38776273e+07,1.34694068e+07,1.49660076e+06,5.38776273e+05
1.10955926e+02,5.90938439e+07,1.47734610e+07,1.64149566e+06,5.90938439e+05
1.16203014e+02,6.48150738e+07,1.62037685e+07,1.80041872e+06,6.48150738e+05
1.21698235e+02,7.10902103e+07,1.77725526e+07,1.97472807e+06,7.10902103e+05
1.27453325e+02,7.79728805e+07,1.94932201e+07,2.16591335e+06,7.79728805e+05
1.33480572e+02,8.55219033e+07,2.13804758e+07,2.37560843e+06,8.55219033e+05
1.39792847e+02,9.38017924e+07,2.34504481e+07,2.60560534e+06,9.38017924e+05
1.46403628e+02,1.02883307e+08,2.57208268e+07,2.85786964e+06,1.02883307e+06
1.53327032e+02,1.12844058e+08,2.82110145e+07,3.13455717e+06,1.12844058e+06
1.60577843e+02,1.23769169e+08,3.09422922e+07,3.43803247e+06,1.23769169e+06
1.68171543e+02,1.35752005e+08,3.39380014e+07,3.77088904e+06,1.35752005e+06
1.76124348e+02,1.48894972e+08,3.72237431e+07,4.13597145e+06,1.48894972e+06
1.84453240e+02,1.63310389e+08,4.08275972e+07,4.53639969e+06,1.63310389e+06
1.93176004e+02,1.79121448e+08,4.47803621e+07,4.97559578e+06,1.79121448e+06
2.02311266e+02,1.96463271e+08,4.91158178e+07,5.45731309e+06,1.96463271e+06
2.11878533e+02,2.15484060e+08,5.38710151e+07,5.98566834e+06,2.15484060e+06
2.21898234e+02,2.36346366e+08,5.90865916e+07,6.56517684e+06,2.36346366e+06
2.32391766e+02,2.59228477e+08,6.48071193e+07,7.20079104e+06,2.59228477e+06
2.43381535e+02,2.84325943e+08,7.10814858e+07,7.89794286e+06,2.84325943e+06
2.54891008e+02,3.11853245e+08,7.79633112e+07,8.66259014e+06,3.11853245e+06
2.66944763e+02,3.42045630e+08,8.55114076e+07,9.50126751e+06,3.42045630e+06
2.79568537e+02,3.75161122e+08,9.37902805e+07,1.04211423e+07,3.75161122e+06
2.92789288e+02,4.11482723e+08,1.02870681e+08,1.14300756e+07,4.11482723e+06
3.06635246e+02,4.51320837e+08,1.12830209e+08,1.25366899e+07,4.51320837e+06
3.21135978e+02,4.95015917e+08,1.23753979e+08,1.37504421e+07,4.95015917e+06
3.36322446e+02,5.42941381e+08,1.35735345e+08,1.50817050e+07,5.42941381e+06
3.52227080e+02,5.95506796e+08,1.48876699e+08,1.65418555e+07,5.95506796e+06
3.68883842e+02,6.53161385e+08,1.63290346e+08,1.81433718e+07,6.53161385e+06
3.86328299e+02,7.16397862e+08,1.79099465e+08,1.98999406e+07,7.16397862e+06
4.04597702e+02,7.85756641e+08,1.96439160e+08,2.18265734e+07,7.85756641e+06
4.23731061e+02,8.61830460e+08,2.15457615e+08,2.39397350e+07,8.61830460e+06
4.43769235e+02,9.45269442e+08,2.36317361e+08,2.62574845e+07,9.45269442e+06
4.64755010e+02,1.03678665e+09,2.59196663e+08,2.87996293e+07,1.03678665e+07
4.86733199e+02,1.13716420e+09,2.84291049e+08,3.15878943e+07,1.13716420e+07
5.09750734e+02,1.24725989e+09,3.11814973e+08,3.46461081e+07,1.24725989e+07
5.33856763e+02,1.36801461e+09,3.42003653e+08,3.80004058e+07,1.36801461e+07
5.59102763e+02,1.50046032e+09,3.75115080e+08,4.16794533e+07,1.50046032e+07
5.85542643e+02,1.64572889e+09,4.11432224e+08,4.57146915e+07,1.64572889e+07
6.13232859e+02,1.80506179e+09,4.51265448e+08,5.01406053e+07,1.80506179e+07
6.42232542e+02,1.97982066e+09,4.94955166e+08,5.49950184e+07,1.97982066e+07
6.72603615e+02,2.17149899e+09,5.42874748e+08,6.03194164e+07,2.17149899e+07
7.04410931e+02,2.38173485e+09,5.95433712e+08,6.61593014e+07,2.38173485e+07
7.37722410e+02,2.61232490e+09,6.53081226e+08,7.25645806e+07,2.61232490e+07
7.72609184e+02,2.86523976e+09,7.16309941e+08,7.95899935e+07,2.86523976e+07
8.09145747e+02,3.14264083e+09,7.85660208e+08,8.72955787e+07,3.14264083e+07
8.47410119e+02,3.44689876e+09,8.61724691e+08,9.57471879e+07,3.44689876e+07
8.87484006e+02,3.78061373e+09,9.45153433e+08,1.05017048e+08,3.78061373e+07
9.29452981e+02,4.14663765e+09,1.03665941e+09,1.15184379e+08,4.14663765e+07
9.73406662e+02,4.54809855e+09,1.13702464e+09,1.26336071e+08,4.54809855e+07
1.01943891e+03,4.98842728e+09,1.24710682e+09,1.38567424e+08,4.98842728e+07
1.06764801e+03,5.47138688e+09,1.36784672e+09,1.51982969e+08,5.47138688e+07
1.11813691e+03,6.00110470e+09,1.50027618e+09,1.66697353e+08,6.00110470e+07
1.17101342e+03,6.58210769e+09,1.64552692e+09,1.82836325e+08,6.58210769e+07
1.22639046e+03,7.21936106e+09,1.80484026e+09,2.00537807e+08,7.21936106e+07
1.28438626e+03,7.91831076e+09,1.97957769e+09,2.19953077e+08,7.91831076e+07
1.34512468e+03,8.68492997e+09,2.17123249e+09,2.41248055e+08,8.68492997e+07
