r_over_l_AGN,gamma_AGN,r_over_l_GRB,gamma_GRB,r_over_l_Pulsar,gamma_Pulsar
5.08485532e+02,4.85460285e+00,5.22760360e+04,1.05558949e+02,5.30047356e+05,4.92227338e+02
5.21267426e+02,4.89494371e+00,5.45884380e+04,1.07092994e+02,5.58625437e+05,5.00919273e+02
5.34370621e+02,4.93561979e+00,5.70031277e+04,1.08649334e+02,5.88744336e+05,5.09764694e+02
5.47803194e+02,4.97663389e+00,5.95246300e+04,1.10228291e+02,6.20487128e+05,5.18766311e+02
5.61573423e+02,5.01798881e+00,6.21576695e+04,1.11830195e+02,6.53941367e+05,5.27926881e+02
5.75689797e+02,5.05968737e+00,6.49071801e+04,1.13455378e+02,6.89199328e+05,5.37249213e+02
5.90161018e+02,5.10173245e+00,6.77783137e+04,1.15104179e+02,7.26358261e+05,5.46736161e+02
6.04996003e+02,5.14412691e+00,7.07764504e+04,1.16776942e+02,7.65520657e+05,5.56390634e+02
6.20203899e+02,5.18687366e+00,7.39072081e+04,1.18474015e+02,8.06794537e+05,5.66215589e+02
6.35794078e+02,5.22997563e+00,7.71764531e+04,1.20195750e+02,8.50293744e+05,5.76214037e+02
6.51776151e+02,5.27343577e+00,8.05903114e+04,1.21942506e+02,8.96138257e+05,5.86389041e+02
6.68159968e+02,5.31725706e+00,8.41551798e+04,1.23714648e+02,9.44454527e+05,5.96743720e+02
6.84955627e+02,5.36144249e+00,8.78777383e+04,1.25512543e+02,9.95375822e+05,6.07281245e+02
7.02173483e+02,5.40599510e+00,9.17649621e+04,1.27336567e+02,1.04904259e+06,6.18004845e+02
7.19824146e+02,5.45091793e+00,9.58241351e+04,1.29187098e+02,1.10560287e+06,6.28917807e+02
7.37918498e+02,5.49621406e+00,1.00062863e+05,1.31064522e+02,1.16521265e+06,6.40023474e+02
7.56467691e+02,5.54188659e+00,1.04489090e+05,1.32969230e+02,1.22803636e+06,6.51325250e+02
7.75483158e+02,5.58793865e+00,1.09111107e+05,1.34901619e+02,1.29424728e+06,6.62826596e+02
7.94976621e+02,5.63437340e+00,1.13937578e+05,1.36862090e+02,1.36402803e+06,6.74531037e+02
8.14960094e+02,5.68119401e+00,1.18977544e+05,1.38851051e+02,1.43757109e+06,6.86442160e+02
8.35445895e+02,5.72840369e+00,1.24240451e+05,1.40868918e+02,1.51507930e+06,6.98563614e+02
8.56446652e+02,5.77600568e+00,1.29736159e+05,1.42916110e+02,1.59676645e+06,7.10899113e+02
8.77975309e+02,5.82400323e+00,1.35474968e+05,1.44993052e+02,1.68285785e+06,7.23452437e+02
9.00045136e+02,5.87239963e+00,1.41467629e+05,1.47100178e+02,1.77359096e+06,7.36227432e+02
9.22669735e+02,5.92119819e+00,1.47725372e+05,1.49237926e+02,1.86921605e+06,7.49228013e+02
9.45863054e+02,5.97040226e+00,1.54259923e+05,1.51406740e+02,1.96999687e+06,7.62458163e+02
9.69639387e+02,6.02001521e+00,1.61083527e+05,1.53607074e+02,2.07621140e+06,7.75921936e+02
9.94013390e+02,6.07004044e+00,1.68208969e+05,1.55839384e+02,2.18815260e+06,7.89623457e+02
1.01900009e+03,6.12048136e+00,1.75649601e+05,1.58104135e+02,2.30612923e+06,8.03566925e+02
1.04461488e+03,6.17134144e+00,1.83419365e+05,1.60401799e+02,2.43046670e+06,8.17756612e+02
1.07087356e+03,6.22262416e+00,1.91532821e+05,1.62732854e+02,2.56150796e+06,8.32196866e+02
1.09779230e+03,6.27433303e+00,2.00005170e+05,1.65097785e+02,2.69961445e+06,8.46892111e+02
1.12538771e+03,6.32647158e+00,2.08852290e+05,1.67497085e+02,2.84516710e+06,8.61846850e+02
1.15367679e+03,6.37904341e+00,2.18090757e+05,1.69931253e+02,2.99856738e+06,8.77065666e+02
1.18267697e+03,6.43205209e+00,2.27737883e+05,1.72400796e+02,3.16023841e+06,8.92553222e+02
1.21240614e+03,6.48550126e+00,2.37811743e+05,1.74906227e+02,3.33062611e+06,9.08314262e+02
1.24288261e+03,6.53939459e+00,2.48331216e+05,1.77448069e+02,3.51020044e+06,9.24353617e+02
1.27412518e+03,6.59373576e+00,2.59316012e+05,1.80026851e+02,3.69945672e+06,9.40676201e+02
1.30615310e+03,6.64852850e+00,2.70786714e+05,1.82643109e+02,3.89891696e+06,9.57287015e+02
1.33898611e+03,6.70377655e+00,2.82764817e+05,1.85297388e+02,4.10913132e+06,9.74191149e+02
1.37264445e+03,6.75948371e+00,2.95272764e+05,1.87990240e+02,4.33067961e+06,9.91393783e+02
1.40714887e+03,6.81565378e+00,3.08333994e+05,1.90722227e+02,4.56417291e+06,1.00890019e+03
1.44252063e+03,6.87229061e+00,3.21972979e+05,1.93493916e+02,4.81025527e+06,1.02671573e+03
1.47878153e+03,6.92939809e+00,3.36215278e+05,1.96305886e+02,5.06960542e+06,1.04484586e+03
1.51595393e+03,6.98698012e+00,3.51087578e+05,1.99158720e+02,5.34293872e+06,1.06329614e+03
1.55406075e+03,7.04504065e+00,3.66617745e+05,2.02053014e+02,5.63100908e+06,1.08207222e+03
1.59312546e+03,7.10358364e+00,3.82834881e+05,2.04989369e+02,5.93461107e+06,1.10117986e+03
1.63317214e+03,7.16261312e+00,3.99769373e+05,2.07968398e+02,6.25458209e+06,1.12062491e+03
1.67422549e+03,7.22213313e+00,4.17452953e+05,2.10990719e+02,6.59180469e+06,1.14041332e+03
1.71631081e+03,7.28214773e+00,4.35918757e+05,2.14056962e+02,6.94720902e+06,1.16055117e+03
1.75945403e+03,7.34266104e+00,4.55201385e+05,2.17167766e+02,7.32177536e+06,1.18104462e+03
1.80368174e+03,7.40367721e+00,4.75336970e+05,2.20323778e+02,7.71653686e+06,1.20189995e+03
1.84902122e+03,7.46520041e+00,4.96363241e+05,2.23525655e+02,8.13258235e+06,1.22312355e+03
1.89550041e+03,7.52723486e+00,5.18319598e+05,2.26774064e+02,8.57105938e+06,1.24472193e+03
1.94314795e+03,7.58978481e+00,5.41247183e+05,2.30069680e+02,9.03317738e+06,1.26670170e+03
1.99199322e+03,7.65285453e+00,5.65188956e+05,2.33413191e+02,9.52021098e+06,1.28906959e+03
2.04206632e+03,7.71644835e+00,5.90189781e+05,2.36805291e+02,1.00335035e+07,1.31183247e+03
2.09339811e+03,7.78057062e+00,6.16296504e+05,2.40246687e+02,1.05744708e+07,1.33499730e+03
2.14602025e+03,7.84522574e+00,6.43558044e+05,2.43738096e+02,1.11446049e+07,1.35857118e+03
2.19996515e+03,7.91041813e+00,6.72025482e+05,2.47280244e+02,1.17454784e+07,1.38256134e+03
2.25526608e+03,7.97615225e+00,7.01752163e+05,2.50873868e+02,1.23787487e+07,1.40697513e+03
2.31195712e+03,8.04243262e+00,7.32793787e+05,2.54519717e+02,1.30461624e+07,1.43182003e+03
2.37007321e+03,8.10926376e+00,7.65208520e+05,2.58218550e+02,1.37495605e+07,1.45710364e+03
2.42965017e+03,8.17665026e+00,7.99057101e+05,2.61971137e+02,1.44908830e+07,1.48283373e+03
2.49072474e+03,8.24459672e+00,8.34402956e+05,2.65778258e+02,1.52721747e+07,1.50901816e+03
2.55333454e+03,8.31310781e+00,8.71312315e+05,2.69640707e+02,1.60955907e+07,1.53566497e+03
2.61751818e+03,8.38218821e+00,9.09854340e+05,2.73559287e+02,1.69634020e+07,1.56278232e+03
2.68331521e+03,8.45184266e+00,9.50101250e+05,2.77534814e+02,1.78780023e+07,1.59037852e+03
2.75076620e+03,8.52207593e+00,9.92128460e+05,2.81568116e+02,1.88419142e+07,1.61846202e+03
2.81991272e+03,8.59289282e+00,1.03601472e+06,2.85660033e+02,1.98577965e+07,1.64704144e+03
2.89079738e+03,8.66429818e+00,1.08184227e+06,2.89811415e+02,2.09284513e+07,1.67612551e+03
2.96346388e+03,8.73629691e+00,1.12969697e+06,2.94023128e+02,2.20568315e+07,1.70572317e+03
3.03795702e+03,8.80889394e+00,1.17966850e+06,2.98296048e+02,2.32460496e+07,1.73584347e+03
3.11432270e+03,8.88209424e+00,1.23185049e+06,3.02631065e+02,2.44993857e+07,1.76649564e+03
3.19260801e+03,8.95590281e+00,1.28634072e+06,3.07029081e+02,2.58202968e+07,1.79768909e+03
3.27286118e+03,9.03032473e+00,1.34324130e+06,3.11491011e+02,2.72124262e+07,1.82943336e+03
3.35513169e+03,9.10536507e+00,1.40265885e+06,3.16017785e+02,2.86796138e+07,1.86173818e+03
3.43947025e+03,9.18102899e+00,1.46470470e+06,3.20610345e+02,3.02259064e+07,1.89461345e+03
3.52592885e+03,9.25732166e+00,1.52949511e+06,3.25269646e+02,3.18555691e+07,1.92806925e+03
3.61456077e+03,9.33424830e+00,1.59715149e+06,3.29996659e+02,3.35730968e+07,1.96211582e+03
3.70542065e+03,9.41181420e+00,1.66780062e+06,3.34792368e+02,3.53832269e+07,1.99676360e+03
3.79856449e+03,9.49002465e+00,1.74157487e+06,3.39657771e+02,3.72909521e+07,2.03202321e+03
3.89404970e+03,9.56888502e+00,1.81861248e+06,3.44593881e+02,3.93015344e+07,2.06790544e+03
3.99193514e+03,9.64840070e+00,1.89905781e+06,3.49601726e+02,4.14205194e+07,2.10442129e+03
4.09228115e+03,9.72857714e+00,1.98306160e+06,3.54682347e+02,4.36537518e+07,2.14158195e+03
4.19514957e+03,9.80941984e+00,2.07078124e+06,3.59836804e+02,4.60073914e+07,2.17939881e+03
4.30060381e+03,9.89093432e+00,2.16238112e+06,3.65066167e+02,4.84879300e+07,2.21788345e+03
4.40870888e+03,9.97312617e+00,2.25803287e+06,3.70371527e+02,5.11022096e+07,2.25704767e+03
4.51953141e+03,1.00000000e+01,2.35791572e+06,3.75753988e+02,5.38574409e+07,2.29690347e+03
4.63313970e+03,1.00000000e+01,2.46221684e+06,3.81214670e+02,5.67612235e+07,2.33746306e+03
4.74960378e+03,1.00000000e+01,2.57113166e+06,3.86754710e+02,5.98215666e+07,2.37873886e+03
4.86899544e+03,1.00000000e+01,2.68486426e+06,3.92375261e+02,6.30469116e+07,2.42074352e+03
4.99138828e+03,1.00000000e+01,2.80362777e+06,3.98077493e+02,6.64461545e+07,2.46348992e+03
5.11685772e+03,1.00000000e+01,2.92764471e+06,4.03862593e+02,7.00286713e+07,2.50699115e+03
5.24548111e+03,1.00000000e+01,3.05714748e+06,4.09731766e+02,7.38043434e+07,2.55126055e+03
5.37733773e+03,1.00000000e+01,3.19237873e+06,4.15686234e+02,7.77835849e+07,2.59631166e+03
5.51250886e+03,1.00000000e+01,3.33359186e+06,4.21727235e+02,8.19773716e+07,2.64215831e+03
5.65107781e+03,1.00000000e+01,3.48105147e+06,4.27856027e+02,8.63972709e+07,2.68881454e+03
5.79312999e+03,1.00000000e+01,3.63503389e+06,4.34073887e+02,9.10554739e+07,2.73629464e+03
5.93875296e+03,1.00000000e+01,3.79582763e+06,4.40382109e+02,9.59648289e+07,2.78461316e+03
6.08803648e+03,1.00000000e+01,3.96373399e+06,4.46782005e+02,1.01138877e+08,2.83378490e+03
6.24107257e+03,1.00000000e+01,4.13906760e+06,4.53274909e+02,1.06591890e+08,2.88382494e+03
6.39795556e+03,1.00000000e+01,4.32215699e+06,4.59862171e+02,1.12338908e+08,2.93474861e+03
6.55878214e+03,1.00000000e+01,4.51334525e+06,4.66545163e+02,1.18395782e+08,2.98657150e+03
6.72365145e+03,1.00000000e+01,4.71299061e+06,4.73325277e+02,1.24779220e+08,3.03930950e+03
6.89266511e+03,1.00000000e+01,4.92146718e+06,4.80203923e+02,1.31506827e+08,3.09297877e+03
7.06592730e+03,1.00000000e+01,5.13916559e+06,4.87182534e+02,1.38597161e+08,3.14759576e+03
7.24354481e+03,1.00000000e+01,5.36649378e+06,4.94262562e+02,1.46069778e+08,3.20317719e+03
7.42562713e+03,1.00000000e+01,5.60387770e+06,5.01445482e+02,1.53945289e+08,3.25974009e+03
7.61228648e+03,1.00000000e+01,5.85176217e+06,5.08732787e+02,1.62245417e+08,3.31730181e+03
7.80363793e+03,1.00000000e+01,6.11061168e+06,5.16125997e+02,1.70993056e+08,3.37587997e+03
7.99979941e+03,1.00000000e+01,6.38091125e+06,5.23626649e+02,1.80212333e+08,3.43549253e+03
8.20089183e+03,1.00000000e+01,6.66316738e+06,5.31236305e+02,1.89928677e+08,3.49615775e+03
8.40703915e+03,1.00000000e+01,6.95790895e+06,5.38956549e+02,2.00168888e+08,3.55789422e+03
8.61836844e+03,1.00000000e+01,7.26568826e+06,5.46788988e+02,2.10961212e+08,3.62072085e+03
8.83500995e+03,1.00000000e+01,7.58708201e+06,5.54735253e+02,2.22335415e+08,3.68465690e+03
9.05709722e+03,1.00000000e+01,7.92269244e+06,5.62796997e+02,2.34322872e+08,3.74972196e+03
9.28476713e+03,1.00000000e+01,8.27314842e+06,5.70975900e+02,2.46956644e+08,3.81593596e+03
9.51816003e+03,1.00000000e+01,8.63910662e+06,5.79273664e+02,2.60271581e+08,3.88331919e+03
9.75741977e+03,1.00000000e+01,9.02125279e+06,5.87692015e+02,2.74304407e+08,3.95189230e+03
1.00026938e+04,1.00000000e+01,9.42030298e+06,5.96232707e+02,2.89093827e+08,4.02167631e+03
1.02541334e+04,1.00000000e+01,9.83700494e+06,6.04897518e+02,3.04680636e+08,4.09269258e+03
1.05118934e+04,1.00000000e+01,1.02721395e+07,6.13688251e+02,3.21107824e+08,4.16496288e+03
1.07761328e+04,1.00000000e+01,1.07265220e+07,6.22606736e+02,3.38420702e+08,4.23850936e+03
1.10470144e+04,1.00000000e+01,1.12010038e+07,6.31654830e+02,3.56667023e+08,4.31335456e+03
1.13247053e+04,1.00000000e+01,1.16964741e+07,6.40834416e+02,3.75897114e+08,4.38952139e+03
1.16093765e+04,1.00000000e+01,1.22138613e+07,6.50147405e+02,3.96164017e+08,4.46703321e+03
1.19012035e+04,1.00000000e+01,1.27541347e+07,6.59595736e+02,4.17523631e+08,4.54591376e+03
1.22003662e+04,1.00000000e+01,1.33183069e+07,6.69181376e+02,4.40034872e+08,4.62618722e+03
1.25070491e+04,1.00000000e+01,1.39074350e+07,6.78906321e+02,4.63759832e+08,4.70787817e+03
1.28214410e+04,1.00000000e+01,1.45226228e+07,6.88772594e+02,4.88763948e+08,4.79101166e+03
1.31437360e+04,1.00000000e+01,1.51650231e+07,6.98782249e+02,5.15116189e+08,4.87561314e+03
1.34741325e+04,1.00000000e+01,1.58358396e+07,7.08937371e+02,5.42889239e+08,4.96170855e+03
1.38128342e+04,1.00000000e+01,1.65363293e+07,7.19240073e+02,5.72159704e+08,5.04932427e+03
1.41600500e+04,1.00000000e+01,1.72678048e+07,7.29692501e+02,6.03008318e+08,5.13848714e+03
1.45159937e+04,1.00000000e+01,1.80316367e+07,7.40296829e+02,6.35520168e+08,5.22922447e+03
1.48808849e+04,1.00000000e+01,1.88292563e+07,7.51055265e+02,6.69784930e+08,5.32156409e+03
1.52549485e+04,1.00000000e+01,1.96621582e+07,7.61970050e+02,7.05897114e+08,5.41553427e+03
1.56384149e+04,1.00000000e+01,2.05319030e+07,7.73043455e+02,7.43956326e+08,5.51116381e+03
1.60315206e+04,1.00000000e+01,2.14401206e+07,7.84277785e+02,7.84067541e+08,5.60848201e+03
1.64345079e+04,1.00000000e+01,2.23885126e+07,7.95675379e+02,8.26341397e+08,5.70751870e+03
1.68476251e+04,1.00000000e+01,2.33788562e+07,8.07238610e+02,8.70894493e+08,5.80830421e+03
1.72711270e+04,1.00000000e+01,2.44130072e+07,8.18969885e+02,9.17849719e+08,5.91086943e+03
1.77052745e+04,1.00000000e+01,2.54929032e+07,8.30871645e+02,9.67336586e+08,6.01524578e+03
1.81503352e+04,1.00000000e+01,2.66205679e+07,8.42946370e+02,1.01949159e+09,6.12146525e+03
1.86065835e+04,1.00000000e+01,2.77981142e+07,8.55196571e+02,1.07445859e+09,6.22956039e+03
1.90743006e+04,1.00000000e+01,2.90277486e+07,8.67624799e+02,1.13238920e+09,6.33956431e+03
1.95537748e+04,1.00000000e+01,3.03117752e+07,8.80233642e+02,1.19344319e+09,6.45151072e+03
2.00453016e+04,1.00000000e+01,3.16526000e+07,8.93025724e+02,1.25778898e+09,6.56543392e+03
2.05491841e+04,1.00000000e+01,3.30527355e+07,9.06003709e+02,1.32560405e+09,6.68136883e+03
2.10657327e+04,1.00000000e+01,3.45148052e+07,9.19170297e+02,1.39707543e+09,6.79935095e+03
2.15952659e+04,1.00000000e+01,3.60415488e+07,9.32528230e+02,1.47240028e+09,6.91941645e+03
2.21381100e+04,1.00000000e+01,3.76358270e+07,9.46080288e+02,1.55178634e+09,7.04160210e+03
2.26945998e+04,1.00000000e+01,3.93006273e+07,9.59829293e+02,1.63545259e+09,7.16594536e+03
2.32650781e+04,1.00000000e+01,4.10390691e+07,9.73778107e+02,1.72362980e+09,7.29248432e+03
2.38498966e+04,1.00000000e+01,4.28544099e+07,9.87929633e+02,1.81656118e+09,7.42125775e+03
2.44494159e+04,1.00000000e+01,4.47500513e+07,1.00000000e+03,1.91450305e+09,7.55230511e+03
2.50640053e+04,1.00000000e+01,4.67295454e+07,1.00000000e+03,2.01772557e+09,7.68566655e+03
2.56940438e+04,1.00000000e+01,4.87966014e+07,1.00000000e+03,2.12651344e+09,7.82138295e+03
2.63399197e+04,1.00000000e+01,5.09550924e+07,1.00000000e+03,2.24116673e+09,7.95949587e+03
2.70020311e+04,1.00000000e+01,5.32090631e+07,1.00000000e+03,2.36200167e+09,8.10004764e+03
2.76807861e+04,1.00000000e+01,5.55627370e+07,1.00000000e+03,2.48935157e+09,8.24308133e+03
2.83766031e+04,1.00000000e+01,5.80205243e+07,1.00000000e+03,2.62356767e+09,8.38864076e+03
2.90899110e+04,1.00000000e+01,6.05870305e+07,1.00000000e+03,2.76502018e+09,8.53677053e+03
2.98211495e+04,1.00000000e+01,6.32670647e+07,1.00000000e+03,2.91409925e+09,8.68751603e+03
3.05707692e+04,1.00000000e+01,6.60656488e+07,1.00000000e+03,3.07121609e+09,8.84092346e+03
3.13392322e+04,1.00000000e+01,6.89880267e+07,1.00000000e+03,3.23680405e+09,8.99703981e+03
3.21270122e+04,1.00000000e+01,7.20396744e+07,1.00000000e+03,3.41131986e+09,9.15591292e+03
3.29345948e+04,1.00000000e+01,7.52263101e+07,1.00000000e+03,3.59524489e+09,9.31759148e+03
3.37624778e+04,1.00000000e+01,7.85539049e+07,1.00000000e+03,3.78908643e+09,9.48212501e+03
3.46111714e+04,1.00000000e+01,8.20286940e+07,1.00000000e+03,3.99337915e+09,9.64956394e+03
3.54811988e+04,1.00000000e+01,8.56571885e+07,1.00000000e+03,4.20868654e+09,9.81995957e+03
3.63730962e+04,1.00000000e+01,8.94461875e+07,1.00000000e+03,4.43560246e+09,9.99336411e+03
3.72874134e+04,1.00000000e+01,9.34027908e+07,1.00000000e+03,4.67475280e+09,1.00000000e+04
3.82247139e+04,1.00000000e+01,9.75344122e+07,1.00000000e+03,4.92679719e+09,1.00000000e+04
3.91855756e+04,1.00000000e+01,1.01848794e+08,1.00000000e+03,5.19243082e+09,1.00000000e+04
4.01705906e+04,1.00000000e+01,1.06354020e+08,1.00000000e+03,5.47238639e+09,1.00000000e+04
4.11803661e+04,1.00000000e+01,1.11058532e+08,1.00000000e+03,5.76743606e+09,1.00000000e+04
4.22155245e+04,1.00000000e+01,1.15971145e+08,1.00000000e+03,6.07839366e+09,1.00000000e+04
4.32767039e+04,1.00000000e+01,1.21101065e+08,1.00000000e+03,6.40611687e+09,1.00000000e+04
4.43645584e+04,1.00000000e+01,1.26457905e+08,1.00000000e+03,6.75150964e+09,1.00000000e+04
4.54797584e+04,1.00000000e+01,1.32051701e+08,1.00000000e+03,7.11552464e+09,1.00000000e+04
4.66229915e+04,1.00000000e+01,1.37892936e+08,1.00000000e+03,7.49916590e+09,1.00000000e+04
4.77949622e+04,1.00000000e+01,1.43992555e+08,1.00000000e+03,7.90349160e+09,1.00000000e+04
4.89963929e+04,1.00000000e+01,1.50361987e+08,1.00000000e+03,8.32961695e+09,1.00000000e+04
5.02280242e+04,1.00000000e+01,1.57013168e+08,1.00000000e+03,8.77871732e+09,1.00000000e+04
5.14906153e+04,1.00000000e+01,1.63958559e+08,1.00000000e+03,9.25203143e+09,1.00000000e+04
5.27849443e+04,1.00000000e+01,1.71211177e+08,1.00000000e+03,9.75086478e+09,1.00000000e+04
5.41118092e+04,1.00000000e+01,1.78784610e+08,1.00000000e+03,1.02765933e+10,1.00000000e+04
5.54720277e+04,1.00000000e+01,1.86693049e+08,1.00000000e+03,1.08306670e+10,1.00000000e+04
5.68664382e+04,1.00000000e+01,1.94951314e+08,1.00000000e+03,1.14146142e+10,1.00000000e+04
5.82959003e+04,1.00000000e+01,2.03574879e+08,1.00000000e+03,1.20300456e+10,1.00000000e+04
5.97612950e+04,1.00000000e+01,2.12579903e+08,1.00000000e+03,1.26786586e+10,1.00000000e+04
6.12635257e+04,1.00000000e+01,2.21983259e+08,1.00000000e+03,1.33622423e+10,1.00000000e+04
6.28035182e+04,1.00000000e+01,2.31802567e+08,1.00000000e+03,1.40826821e+10,1.00000000e+04
6.43822217e+04,1.00000000e+01,2.42056227e+08,1.00000000e+03,1.48419653e+10,1.00000000e+04
6.60006095e+04,1.00000000e+01,2.52763452e+08,1.00000000e+03,1.56421860e+10,1.00000000e+04
6.76596789e+04,1.00000000e+01,2.63944306e+08,1.00000000e+03,1.64855515e+10,1.00000000e+04
6.93604527e+04,1.00000000e+01,2.75619738e+08,1.00000000e+03,1.73743879e+10,1.00000000e+04
7.11039791e+04,1.00000000e+01,2.87811627e+08,1.00000000e+03,1.83111470e+10,1.00000000e+04
7.28913329e+04,1.00000000e+01,3.00542817e+08,1.00000000e+03,1.92984124e+10,1.00000000e+04
7.47236157e+04,1.00000000e+01,3.13837164e+08,1.00000000e+03,2.03389073e+10,1.00000000e+04
7.66019570e+04,1.00000000e+01,3.27719580e+08,1.00000000e+03,2.14355017e+10,1.00000000e+04
7.85275144e+04,1.00000000e+01,3.42216077e+08,1.00000000e+03,2.25912201e+10,1.00000000e+04
8.05014750e+04,1.00000000e+01,3.57353818e+08,1.00000000e+03,2.38092503e+10,1.00000000e+04
8.25250553e+04,1.00000000e+01,3.73161169e+08,1.00000000e+03,2.50929520e+10,1.00000000e+04
8.45995028e+04,1.00000000e+01,3.89667750e+08,1.00000000e+03,2.64458658e+10,1.00000000e+04
8.67260960e+04,1.00000000e+01,4.06904490e+08,1.00000000e+03,2.78717235e+10,1.00000000e+04
8.89061458e+04,1.00000000e+01,4.24903688e+08,1.00000000e+03,2.93744578e+10,1.00000000e+04
9.11409959e+04,1.00000000e+01,4.43699071e+08,1.00000000e+03,3.09582137e+10,1.00000000e+04
9.34320239e+04,1.00000000e+01,4.63325857e+08,1.00000000e+03,3.26273595e+10,1.00000000e+04
9.57806418e+04,1.00000000e+01,4.83820824e+08,1.00000000e+03,3.43864992e+10,1.00000000e+04
9.81882974e+04,1.00000000e+01,5.05222374e+08,1.00000000e+03,3.62404847e+10,1.00000000e+04
1.00656475e+05,1.00000000e+01,5.27570610e+08,1.00000000e+03,3.81944299e+10,1.00000000e+04
1.03186695e+05,1.00000000e+01,5.50907408e+08,1.00000000e+03,4.02537242e+10,1.00000000e+04
1.05780518e+05,1.00000000e+01,5.75276496e+08,1.00000000e+03,4.24240476e+10,1.00000000e+04
1.08439542e+05,1.00000000e+01,6.00723538e+08,1.00000000e+03,4.47113863e+10,1.00000000e+04
1.11165407e+05,1.00000000e+01,6.27296216e+08,1.00000000e+03,4.71220494e+10,1.00000000e+04
1.13959792e+05,1.00000000e+01,6.55044321e+08,1.00000000e+03,4.96626861e+10,1.00000000e+04
1.16824420e+05,1.00000000e+01,6.84019849e+08,1.00000000e+03,5.23403039e+10,1.00000000e+04
1.19761057e+05,1.00000000e+01,7.14277094e+08,1.00000000e+03,5.51622884e+10,1.00000000e+04
1.22771513e+05,1.00000000e+01,7.45872752e+08,1.00000000e+03,5.81364232e+10,1.00000000e+04
1.25857643e+05,1.00000000e+01,7.78866026e+08,1.00000000e+03,6.12709118e+10,1.00000000e+04
1.29021350e+05,1.00000000e+01,8.13318739e+08,1.00000000e+03,6.45743998e+10,1.00000000e+04
1.32264583e+05,1.00000000e+01,8.49295450e+08,1.00000000e+03,6.80559988e+10,1.00000000e+04
1.35589342e+05,1.00000000e+01,8.86863570e+08,1.00000000e+03,7.17253122e+10,1.00000000e+04
1.38997676e+05,1.00000000e+01,9.26093496e+08,1.00000000e+03,7.55924605e+10,1.00000000e+04
1.42491686e+05,1.00000000e+01,9.67058737e+08,1.00000000e+03,7.96681103e+10,1.00000000e+04
1.46073526e+05,1.00000000e+01,1.00983605e+09,1.00000000e+03,8.39635033e+10,1.00000000e+04
1.49745403e+05,1.00000000e+01,1.05450560e+09,1.00000000e+03,8.84904870e+10,1.00000000e+04
1.53509581e+05,1.00000000e+01,1.10115108e+09,1.00000000e+03,9.32615480e+10,1.00000000e+04
1.57368379e+05,1.00000000e+01,1.14985990e+09,1.00000000e+03,9.82898459e+10,1.00000000e+04
1.61324177e+05,1.00000000e+01,1.20072332e+09,1.00000000e+03,1.03589250e+11,1.00000000e+04
1.65379413e+05,1.00000000e+01,1.25383666e+09,1.00000000e+03,1.09174377e+11,1.00000000e+04
1.69536585e+05,1.00000000e+01,1.30929944e+09,1.00000000e+03,1.15060633e+11,1.00000000e+04
1.73798257e+05,1.00000000e+01,1.36721559e+09,1.00000000e+03,1.21264252e+11,1.00000000e+04
1.78167056e+05,1.00000000e+01,1.42769362e+09,1.00000000e+03,1.27802346e+11,1.00000000e+04
1.82645674e+05,1.00000000e+01,1.49084687e+09,1.00000000e+03,1.34692949e+11,1.00000000e+04
1.87236872e+05,1.00000000e+01,1.55679367e+09,1.00000000e+03,1.41955066e+11,1.00000000e+04
1.91943480e+05,1.00000000e+01,1.62565759e+09,1.00000000e+03,1.49608728e+11,1.00000000e+04
1.96768398e+05,1.00000000e+01,1.69756766e+09,1.00000000e+03,1.57675046e+11,1.00000000e+04
2.01714601e+05,1.00000000e+01,1.77265864e+09,1.00000000e+03,1.66176267e+11,1.00000000e+04
2.06785138e+05,1.00000000e+01,1.85107123e+09,1.00000000e+03,1.75135842e+11,1.00000000e+04
2.11983134e+05,1.00000000e+01,1.93295235e+09,1.00000000e+03,1.84578482e+11,1.00000000e+04
2.17311793e+05,1.00000000e+01,2.01845545e+09,1.00000000e+03,1.94530231e+11,1.00000000e+04
2.22774400e+05,1.00000000e+01,2.10774072e+09,1.00000000e+03,2.05018541e+11,1.00000000e+04
2.28374321e+05,1.00000000e+01,2.20097548e+09,1.00000000e+03,2.16072339e+11,1.00000000e+04
2.34115008e+05,1.00000000e+01,2.29833443e+09,1.00000000e+03,2.27722114e+11,1.00000000e+04
2.40000000e+05,1.00000000e+01,2.40000000e+09,1.00000000e+03,2.40000000e+11,1.00000000e+04
