# pi-pi scattering phase shift in rho channel (I=1, J=1)
# Columns: k_MeV, delta_11_deg
k_MeV,delta_11_deg
233.88777555,8.15001333
234.86973948,8.27476629
235.85170341,8.40150219
236.83366733,8.53026300
237.81563126,8.66109186
238.79759519,8.79403312
239.77955912,8.92913240
240.76152305,9.06643664
241.74348697,9.20599407
242.72545090,9.34785437
243.70741483,9.49206862
244.68937876,9.63868939
245.67134269,9.78777081
246.65330661,9.93936858
247.63527054,10.09354005
248.61723447,10.25034428
249.59919840,10.40984210
250.58116232,10.57209615
251.56312625,10.73717097
252.54509018,10.90513307
253.52705411,11.07605095
254.50901804,11.24999525
255.49098196,11.42703877
256.47294589,11.60725655
257.45490982,11.79072598
258.43687375,11.97752687
259.41883768,12.16774152
260.40080160,12.36145485
261.38276553,12.55875446
262.36472946,12.75973072
263.34669339,12.96447694
264.32865731,13.17308939
265.31062124,13.38566745
266.29258517,13.60231375
267.27454910,13.82313424
268.25651303,14.04823834
269.23847695,14.27773907
270.22044088,14.51175317
271.20240481,14.75040123
272.18436874,14.99380788
273.16633267,15.24210186
274.14829659,15.49541625
275.13026052,15.75388858
276.11222445,16.01766101
277.09418838,16.28688049
278.07615230,16.56169894
279.05811623,16.84227346
280.04008016,17.12876644
281.02204409,17.42134583
282.00400802,17.72018530
282.98597194,18.02546442
283.96793587,18.33736893
284.94989980,18.65609089
285.93186373,18.98182893
286.91382766,19.31478846
287.89579158,19.65518190
288.87775551,20.00322889
289.85971944,20.35915656
290.84168337,20.72319973
291.82364729,21.09560114
292.80561122,21.47661173
293.78757515,21.86649079
294.76953908,22.26550630
295.75150301,22.67393504
296.73346693,23.09206291
297.71543086,23.52018508
298.69739479,23.95860619
299.67935872,24.40764058
300.66132265,24.86761242
301.64328657,25.33885588
302.62525050,25.82171523
303.60721443,26.31654498
304.58917836,26.82370986
305.57114228,27.34358495
306.55310621,27.87655554
307.53507014,28.42301713
308.51703407,28.98337524
309.49899800,29.55804523
310.48096192,30.14745197
311.46292585,30.75202947
312.44488978,31.37222041
313.42685371,32.00847549
314.40881764,32.66125275
315.39078156,33.33101667
316.37274549,34.01823711
317.35470942,34.72338817
318.33667335,35.44694673
319.31863727,36.18939086
320.30060120,36.95119799
321.28256513,37.73284284
322.26452906,38.53479505
323.24649299,39.35751657
324.22845691,40.20145875
325.21042084,41.06705906
326.19238477,41.95473759
327.17434870,42.86489309
328.15631263,43.79789878
329.13827655,44.75409777
330.12024048,45.73379812
331.10220441,46.73726764
332.08416834,47.76472832
333.06613226,48.81635060
334.04809619,49.89224726
335.03006012,50.99246729
336.01202405,52.11698961
336.99398798,53.26571669
337.97595190,54.43846843
338.95791583,55.63497602
339.93987976,56.85487629
340.92184369,58.09770643
341.90380762,59.36289933
342.88577154,60.64977960
343.86773547,61.95756066
344.84969940,63.28534269
345.83166333,64.63211193
346.81362725,65.99674125
347.79559118,67.37799213
348.77755511,68.77451829
349.75951904,70.18487072
350.74148297,71.60750451
351.72344689,73.04078705
352.70541082,74.48300788
353.68737475,75.93238981
354.66933868,77.38710135
355.65130261,78.84527006
356.63326653,80.30499676
357.61523046,81.76437022
358.59719439,83.22148207
359.57915832,84.67444171
360.56112224,86.12139081
361.54308617,87.56051721
362.52505010,88.99006800
363.50701403,90.40836140
364.48897796,91.81379745
365.47094188,93.20486723
366.45290581,94.58016054
367.43486974,95.93837201
368.41683367,97.27830564
369.39879760,98.59887774
370.38076152,99.89911838
371.36272545,101.17817146
372.34468938,102.43529345
373.32665331,103.66985105
374.30861723,104.88131775
375.29058116,106.06926967
376.27254509,107.23338060
377.25450902,108.37341656
378.23647295,109.48922993
379.21843687,110.58075337
380.20040080,111.64799349
381.18236473,112.69102459
382.16432866,113.70998236
383.14629259,114.70505780
384.12825651,115.67649122
385.11022044,116.62456658
386.09218437,117.54960604
387.07414830,118.45196488
388.05611222,119.33202670
389.03807615,120.19019897
390.02004008,121.02690895
391.00200401,121.84259989
391.98396794,122.63772760
392.96593186,123.41275736
393.94789579,124.16816112
394.92985972,124.90441491
395.91182365,125.62199671
396.89378758,126.32138438
397.87575150,127.00305395
398.85771543,127.66747807
399.83967936,128.31512474
400.82164329,128.94645612
401.80360721,129.56192756
402.78557114,130.16198681
403.76753507,130.74707334
404.74949900,131.31761775
405.73146293,131.87404135
406.71342685,132.41675579
407.69539078,132.94616283
408.67735471,133.46265411
409.65931864,133.96661106
410.64128257,134.45840483
411.62324649,134.93839630
412.60521042,135.40693609
413.58717435,135.86436463
414.56913828,136.31101229
415.55110220,136.74719952
416.53306613,137.17323698
417.51503006,137.58942570
418.49699399,137.99605735
419.47895792,138.39341436
420.46092184,138.78177017
421.44288577,139.16138948
422.42484970,139.53252840
423.40681363,139.89543478
424.38877756,140.25034836
425.37074148,140.59750106
426.35270541,140.93711718
427.33466934,141.26941364
428.31663327,141.59460022
429.29859719,141.91287979
430.28056112,142.22444851
431.26252505,142.52949607
432.24448898,142.82820591
433.22645291,143.12075539
434.20841683,143.40731606
435.19038076,143.68805379
436.17234469,143.96312902
437.15430862,144.23269693
438.13627255,144.49690760
439.11823647,144.75590623
440.10020040,145.00983328
441.08216433,145.25882465
442.06412826,145.50301183
443.04609218,145.74252207
444.02805611,145.97747855
445.01002004,146.20800046
445.99198397,146.43420322
446.97394790,146.65619854
447.95591182,146.87409462
448.93787575,147.08799623
449.91983968,147.29800485
450.90180361,147.50421878
451.88376754,147.70673326
452.86573146,147.90564056
453.84769539,148.10103011
454.82965932,148.29298860
455.81162325,148.48160005
