# Figure S4: Volume dependence at Mpi~320 MeV, a~0.125 fm
# Columns: L_over_a, MpiL, aM_pi, aM_pi_err, aM_N, aM_N_err
L_over_a,MpiL,aM_pi,aM_pi_err,aM_N,aM_N_err
# 32.82412060,0.20352433,0.60721808
# 32.96482412,0.20352277,0.60720912
# 33.10552764,0.20352126,0.60720047
# 33.24623116,0.20351981,0.60719212
# 33.38693467,0.20351841,0.60718407
# 33.52763819,0.20351705,0.60717630
# 33.66834171,0.20351575,0.60716879
# 33.80904523,0.20351449,0.60716156
# 33.94974874,0.20351327,0.60715457
# 34.09045226,0.20351210,0.60714783
# 34.23115578,0.20351096,0.60714132
# 34.37185930,0.20350987,0.60713504
# 34.51256281,0.20350881,0.60712898
# 34.65326633,0.20350779,0.60712312
# 34.79396985,0.20350681,0.60711747
# 34.93467337,0.20350586,0.60711202
# 35.07537688,0.20350494,0.60710676
# 35.21608040,0.20350406,0.60710168
# 35.35678392,0.20350321,0.60709677
# 35.49748744,0.20350238,0.60709203
# 35.63819095,0.20350158,0.60708746
# 35.77889447,0.20350082,0.60708304
# 35.91959799,0.20350007,0.60707878
# 36.06030151,0.20349936,0.60707467
# 36.20100503,0.20349866,0.60707069
# 36.34170854,0.20349800,0.60706685
# 36.48241206,0.20349735,0.60706315
# 36.62311558,0.20349673,0.60705957
# 36.76381910,0.20349613,0.60705611
# 36.90452261,0.20349555,0.60705278
# 37.04522613,0.20349498,0.60704956
# 37.18592965,0.20349444,0.60704644
# 37.32663317,0.20349392,0.60704344
# 37.46733668,0.20349341,0.60704053
# 37.60804020,0.20349293,0.60703773
# 37.74874372,0.20349245,0.60703502
# 37.88944724,0.20349200,0.60703241
# 38.03015075,0.20349156,0.60702988
# 38.17085427,0.20349113,0.60702744
# 38.31155779,0.20349072,0.60702508
# 38.45226131,0.20349033,0.60702281
# 38.59296482,0.20348994,0.60702061
# 38.73366834,0.20348957,0.60701848
# 38.87437186,0.20348922,0.60701643
# 39.01507538,0.20348887,0.60701445
# 39.15577889,0.20348854,0.60701253
# 39.29648241,0.20348822,0.60701068
# 39.43718593,0.20348790,0.60700889
# 39.57788945,0.20348760,0.60700717
# 39.71859296,0.20348731,0.60700550
# 39.85929648,0.20348703,0.60700388
# 40.00000000,0.20348676,0.60700233
