# Luscher phase shift function and pi-pi scattering
# Part 1: phi(q) function
q,phi_approx
1.05883768,3.52215646
1.06282565,3.54873793
1.06681363,3.57541932
1.07080160,3.60220063
1.07478958,3.62908188
1.07877756,3.65606305
1.08276553,3.68314415
1.08675351,3.71032518
1.09074148,3.73760613
1.09472946,3.76498701
1.09871743,3.79246782
1.10270541,3.82004856
1.10669339,3.84772923
1.11068136,3.87550982
1.11466934,3.90339034
1.11865731,3.93137079
1.12264529,3.95945116
1.12663327,3.98763146
1.13062124,4.01591169
1.13460922,4.04429185
1.13859719,4.07277193
1.14258517,4.10135195
1.14657315,4.13003189
1.15056112,4.15881175
1.15454910,4.18769155
1.15853707,4.21667127
1.16252505,4.24575092
1.16651303,4.27493050
1.17050100,4.30421000
1.17448898,4.33358943
1.17847695,4.36306879
1.18246493,4.39264808
1.18645291,4.42232729
1.19044088,4.45210644
1.19442886,4.48198551
1.19841683,4.51196450
1.20240481,4.54204343
1.20639279,4.57222228
1.21038076,4.60250106
1.21436874,4.63287976
1.21835671,4.66335840
1.22234469,4.69393696
1.22633267,4.72461545
1.23032064,4.75539387
1.23430862,4.78627221
1.23829659,4.81725048
1.24228457,4.84832868
1.24627255,4.87950681
1.25026052,4.91078486
1.25424850,4.94216284
1.25823647,4.97364075
1.26222445,5.00521859
1.26621242,5.03689635
1.27020040,5.06867404
1.27418838,5.10055166
1.27817635,5.13252921
1.28216433,5.16460668
1.28615230,5.19678409
1.29014028,5.22906141
1.29412826,5.26143867
1.29811623,5.29391585
1.30210421,5.32649297
1.30609218,5.35917000
1.31008016,5.39194697
1.31406814,5.42482386
1.31805611,5.45780069
1.32204409,5.49087743
1.32603206,5.52405411
1.33002004,5.55733071
1.33400802,5.59070724
1.33799599,5.62418370
1.34198397,5.65776009
1.34597194,5.69143640
1.34995992,5.72521264
1.35394790,5.75908881
1.35793587,5.79306491
1.36192385,5.82714093
1.36591182,5.86131688
1.36989980,5.89559276
1.37388778,5.92996857
1.37787575,5.96444430
1.38186373,5.99901996
1.38585170,6.03369555
1.38983968,6.06847107
1.39382766,6.10334651
1.39781563,6.13832188
1.40180361,6.17339718
1.40579158,6.20857240
1.40977956,6.24384756
1.41376754,6.27922264
1.41775551,6.31469765
1.42174349,6.35027258
1.42573146,6.38594744
1.42971944,6.42172224
1.43370741,6.45759695
1.43769539,6.49357160
1.44168337,6.52964617
1.44567134,6.56582067
1.44965932,6.60209510
1.45364729,6.63846946
1.45763527,6.67494374
1.46162325,6.71151795
1.46561122,6.74819209
1.46959920,6.78496615
1.47358717,6.82184015
1.47757515,6.85881407
1.48156313,6.89588791
1.48555110,6.93306169
1.48953908,6.97033539
1.49352705,7.00770902
1.49751503,7.04518258
1.50150301,7.08275607
1.50549098,7.12042948
1.50947896,7.15820282
1.51346693,7.19607609
1.51745491,7.23404928
1.52144289,7.27212240
1.52543086,7.31029545
1.52941884,7.34856843
1.53340681,7.38694134
1.53739479,7.42541417
1.54138277,7.46398693
1.54537074,7.50265962
1.54935872,7.54143223
1.55334669,7.58030477
1.55733467,7.61927724
1.56132265,7.65834964
1.56531062,7.69752197
1.56929860,7.73679422
1.57328657,7.77616640
1.57727455,7.81563851
1.58126253,7.85521054
1.58525050,7.89488250
1.58923848,7.93465439
1.59322645,7.97452621
1.59721443,8.01449795
1.60120240,8.05456963
1.60519038,8.09474123
1.60917836,8.13501275
1.61316633,8.17538421
1.61715431,8.21585559
1.62114228,8.25642690
1.62513026,8.29709814
1.62911824,8.33786930
1.63310621,8.37874039
1.63709419,8.41971141
1.64108216,8.46078236
1.64507014,8.50195323
1.64905812,8.54322404
1.65304609,8.58459477
1.65703407,8.62606542
1.66102204,8.66763601
1.66501002,8.70930652
1.66899800,8.75107696
1.67298597,8.79294733
1.67697395,8.83491762
1.68096192,8.87698784
1.68494990,8.91915799
1.68893788,8.96142807
1.69292585,9.00379807
1.69691383,9.04626800
1.70090180,9.08883786
1.70488978,9.13150765
1.70887776,9.17427736
1.71286573,9.21714700
1.71685371,9.26011657
1.72084168,9.30318607
1.72482966,9.34635549
1.72881764,9.38962485
1.73280561,9.43299412
1.73679359,9.47646333
1.74078156,9.52003247
1.74476954,9.56370153
1.74875752,9.60747052
1.75274549,9.65133943
1.75673347,9.69530828
1.76072144,9.73937705
1.76470942,9.78354575
1.76869739,9.82781437
1.77268537,9.87218293
1.77667335,9.91665141
1.78066132,9.96121982
1.78464930,10.00588815
1.78863727,10.05065642
1.79262525,10.09552461
1.79661323,10.14049273
1.80060120,10.18556077
1.80458918,10.23072875
1.80857715,10.27599665
1.81256513,10.32136448
1.81655311,10.36683223
1.82054108,10.41239992
1.82452906,10.45806753
1.82851703,10.50383506
1.83250501,10.54970253
1.83649299,10.59566992
1.84048096,10.64173724
1.84446894,10.68790449
1.84845691,10.73417167
1.85244489,10.78053877
1.85643287,10.82700580
1.86042084,10.87357276
1.86440882,10.92023965
1.86839679,10.96700646
1.87238477,11.01387320
1.87637275,11.06083987
1.88036072,11.10790647
1.88434870,11.15507299
1.88833667,11.20233944
1.89232465,11.24970582
1.89631263,11.29717212
1.90030060,11.34473836
1.90428858,11.39240452
1.90827655,11.44017060
1.91226453,11.48803662
1.91625251,11.53600256
1.92024048,11.58406843
1.92422846,11.63223423
1.92821643,11.68049996
1.93220441,11.72886561
1.93619238,11.77733119
1.94018036,11.82589670
1.94416834,11.87456213
1.94815631,11.92332750
1.95214429,11.97219279
1.95613226,12.02115800
1.96012024,12.07022315
1.96410822,12.11938822
1.96809619,12.16865322
1.97208417,12.21801815
1.97607214,12.26748301
1.98006012,12.31704779
1.98404810,12.36671250
1.98803607,12.41647714
1.99202405,12.46634170
1.99601202,12.51630619
2.00000000,12.56637061
